arm,fold,month,n,known,mean_net_bp
baseline,2023H1,2023-01,11,11,-3.222244003918386
baseline,2023H1,2023-02,12,12,-40.86716647362542
baseline,2023H1,2023-03,5,5,-26.531170058363983
baseline,2023H1,2023-04,12,12,4.082131370991653
baseline,2023H1,2023-05,6,6,23.684523387071927
baseline,2023H1,2023-06,9,9,-7.044065478098948
baseline,2023H2,2023-07,14,14,-22.486792259665485
baseline,2023H2,2023-08,10,10,-5.49501154622288
baseline,2023H2,2023-09,11,11,-34.94977684177336
baseline,2023H2,2023-10,9,9,-46.06051844609126
baseline,2023H2,2023-11,10,10,-29.33695889102586
baseline,2023H2,2023-12,12,12,-24.507458125943504
baseline,2024H1,2024-01,10,10,-5.578883010316485
baseline,2024H1,2024-02,9,9,-40.12615673922103
baseline,2024H1,2024-03,10,10,24.851295381484228
baseline,2024H1,2024-04,9,9,-33.1397327248247
baseline,2024H1,2024-05,11,11,-26.17919516495762
baseline,2024H1,2024-06,6,6,-30.397179901791386
baseline,2024H2,2024-07,10,10,-5.73149438942006
baseline,2024H2,2024-08,12,12,13.691053744464405
baseline,2024H2,2024-09,9,9,-5.899275732930296
baseline,2024H2,2024-10,16,16,-47.98024619077598
baseline,2024H2,2024-11,16,16,-26.283774145565587
baseline,2024H2,2024-12,12,12,5.980849960643908
candidate,2023H1,2023-01,11,11,-6.853867436474158
candidate,2023H1,2023-02,12,12,-46.997949678480964
candidate,2023H1,2023-03,5,5,-21.961494626615004
candidate,2023H1,2023-04,12,12,-0.18134652636915954
candidate,2023H1,2023-05,6,6,18.339640890728536
candidate,2023H1,2023-06,9,9,-3.2239747626466397
candidate,2023H2,2023-07,14,14,-23.12324225287034
candidate,2023H2,2023-08,10,10,-7.892107324208196
candidate,2023H2,2023-09,11,11,-36.545699975564446
candidate,2023H2,2023-10,9,9,-41.27700687298107
candidate,2023H2,2023-11,10,10,-28.444189569318905
candidate,2023H2,2023-12,12,12,-16.254883381274073
candidate,2024H1,2024-01,10,10,3.5631354990785096
candidate,2024H1,2024-02,9,9,-39.28815246723076
candidate,2024H1,2024-03,10,10,22.461988846900056
candidate,2024H1,2024-04,9,9,-37.63339222867482
candidate,2024H1,2024-05,11,11,-39.07082454362893
candidate,2024H1,2024-06,6,6,-31.303703644808696
candidate,2024H2,2024-07,10,10,-7.604763661919816
candidate,2024H2,2024-08,12,12,34.18078818900987
candidate,2024H2,2024-09,9,9,-5.5269630560138845
candidate,2024H2,2024-10,16,16,-51.94173260149271
candidate,2024H2,2024-11,16,16,-22.4801349426747
candidate,2024H2,2024-12,12,12,6.080554075391359
