event_id,mother_decision_time,baseline_net_bp,baseline_exit_time,baseline_exit_reason,baseline_mfe_r,baseline_hold_minutes,candidate_net_bp,candidate_exit_time,candidate_exit_reason,candidate_mfe_r,candidate_hold_minutes,delta_net_bp,exit_delay_minutes,outcome_transition,baseline_failed_full,candidate_confirmed_full,candidate_partial_executed,candidate_pending_created,candidate_pending_cancelled,candidate_pending_terminated,recovered_winner,newly_unknown
2023-01-02T02:00:00+00:00_L::control0,2023-01-08 05:00:00+00:00,-20.413267053169758,2023-01-08 06:30:00+00:00,fast_failed_launch,0.3018473976024848,90.0,-17.579435831434274,2023-01-08 06:35:00+00:00,fast_failed_launch,0.3018473976024848,95.0,2.8338312217354833,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-02T02:00:00+00:00_L::control1,2023-01-03 05:00:00+00:00,-8.134333724860369,2023-01-03 07:35:00+00:00,fast_failed_launch,2.0783124578179257,155.0,-5.018098137449961,2023-01-03 07:40:00+00:00,fast_failed_launch,2.0783124578179257,160.0,3.116235587410408,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-02T02:00:00+00:00_L::control2,2023-01-08 04:00:00+00:00,-25.546737161368746,2023-01-08 06:30:00+00:00,fast_failed_launch,0.003950010580483489,150.0,-22.71436073854215,2023-01-08 06:35:00+00:00,fast_failed_launch,0.003950010580483489,155.0,2.832376422826595,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-23T20:00:00+00:00_L::control0,2023-01-16 20:00:00+00:00,-55.338176493777105,2023-01-16 21:15:00+00:00,fast_failed_launch,0.8115904030331593,75.0,-125.00938150581062,2023-01-16 21:20:00+00:00,hard_stop,0.8115904030331593,80.0,-69.67120501203351,5.0,loss_to_loss,True,False,False,1,0,1,False,False
2023-01-23T20:00:00+00:00_L::control1,2023-01-14 21:00:00+00:00,-5.4960078120512375,2023-01-15 00:20:00+00:00,fast_failed_launch,0.6372823297488089,200.0,-2.193118501924293,2023-01-15 00:25:00+00:00,fast_failed_launch,0.6372823297488089,205.0,3.3028893101269445,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-23T20:00:00+00:00_L::control2,2023-01-15 18:00:00+00:00,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,0.0,0.0,loss_to_loss,False,False,False,0,0,0,False,False
2023-01-25T20:00:00+00:00_L::control0,2023-01-31 19:00:00+00:00,-53.36196218402165,2023-01-31 19:20:00+00:00,fast_failed_launch,0.13107184377438133,20.0,-45.50701119114721,2023-01-31 19:25:00+00:00,fast_failed_launch,0.13107184377438133,25.0,7.854950992874443,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-25T20:00:00+00:00_L::control1,2023-01-27 19:00:00+00:00,-28.32535307261606,2023-01-27 20:50:00+00:00,fast_failed_launch,1.795322115399108,110.0,-59.513074686613,2023-01-27 20:55:00+00:00,fast_failed_launch,1.795322115399108,115.0,-31.187721613996942,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-25T20:00:00+00:00_L::control2,2023-01-06 19:00:00+00:00,34.893536211931824,2023-01-07 05:00:00+00:00,transition_colour_exit,3.42682134116847,600.0,34.893536211931824,2023-01-07 05:00:00+00:00,transition_colour_exit,3.42682134116847,600.0,0.0,0.0,win_to_win,False,False,True,0,0,0,False,False
2023-02-05T11:00:00+00:00_S::control0,2023-02-25 16:00:00+00:00,-24.303281360706258,2023-02-25 16:05:00+00:00,fast_failed_launch,0.007142139594195597,5.0,-26.867863181733224,2023-02-25 16:10:00+00:00,fast_failed_launch,0.007142139594195597,10.0,-2.564581821026966,5.0,loss_to_loss,True,True,False,1,0,0,False,False
