group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,196,196,-50.835845668531626,-52.61160734859368,-1.7757616800620553,-348.0492892921628
loss_to_win,4,4,-10.467283215336149,95.94495800299211,106.41224121832826,425.64896487331305
win_to_win,51,51,112.13872471475189,112.13872471475189,0.0,0.0
