event_id,mother_decision_time,baseline_net_bp,baseline_exit_time,baseline_exit_reason,baseline_mfe_r,baseline_hold_minutes,candidate_net_bp,candidate_exit_time,candidate_exit_reason,candidate_mfe_r,candidate_hold_minutes,delta_net_bp,exit_delay_minutes,outcome_transition,baseline_failed_full,candidate_confirmed_full,candidate_partial_executed,candidate_pending_created,candidate_pending_cancelled,candidate_pending_terminated,recovered_winner,newly_unknown
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,26.4176990083498,2023-01-02 14:00:00+00:00,transition_colour_exit,5.547400611620716,660.0,26.4176990083498,2023-01-02 14:00:00+00:00,transition_colour_exit,5.547400611620716,660.0,0.0,0.0,win_to_win,False,False,True,0,0,0,False,False
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,-37.910624796133206,2023-01-06 01:55:00+00:00,fast_failed_launch,0.04411764705882353,55.0,-40.164279571806,2023-01-06 02:00:00+00:00,hard_stop,0.04411764705882353,60.0,-2.2536547756727927,5.0,loss_to_loss,True,False,False,1,0,1,False,False
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,-33.97842486154377,2023-01-08 16:30:00+00:00,hard_stop,3.016877637130709,90.0,-33.97842486154377,2023-01-08 16:30:00+00:00,hard_stop,3.016877637130709,90.0,0.0,0.0,loss_to_loss,False,False,False,0,0,0,False,False
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,126.02325293608054,2023-01-09 14:15:00+00:00,transition_colour_exit,7.439359267734397,1035.0,126.02325293608054,2023-01-09 14:15:00+00:00,transition_colour_exit,7.439359267734397,1035.0,0.0,0.0,win_to_win,False,False,True,0,0,0,False,False
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,-0.6496396173668304,2023-01-18 18:30:00+00:00,fast_failed_launch,1.201974183750952,150.0,-7.115607705912557,2023-01-18 18:35:00+00:00,fast_failed_launch,1.201974183750952,155.0,-6.4659680885457265,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,-30.387524495790437,2023-01-23 13:15:00+00:00,fast_failed_launch,0.4922644163150593,135.0,-38.33092558080665,2023-01-23 13:30:00+00:00,fast_failed_launch,0.4922644163150593,150.0,-7.9434010850162124,15.0,loss_to_loss,True,True,False,2,1,0,False,False
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,-75.67063135359535,2023-01-23 22:55:00+00:00,fast_failed_launch,0.09921377761138205,115.0,-77.10365072541177,2023-01-23 23:20:00+00:00,fast_failed_launch,0.09921377761138205,140.0,-1.433019371816414,25.0,loss_to_loss,True,True,False,3,2,0,False,False
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,44.80427930579013,2023-01-26 06:15:00+00:00,transition_colour_exit,4.812802582033411,555.0,44.80427930579013,2023-01-26 06:15:00+00:00,transition_colour_exit,4.812802582033411,555.0,0.0,0.0,win_to_win,False,False,True,0,0,0,False,False
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,-8.026902728310109,2023-01-27 20:50:00+00:00,fast_failed_launch,1.838374291115293,230.0,-39.27798333275701,2023-01-27 20:55:00+00:00,fast_failed_launch,1.838374291115293,235.0,-31.2510806044469,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,-31.843698020534976,2023-01-28 21:30:00+00:00,transition_colour_exit,0.3417085427135676,30.0,-31.843698020534976,2023-01-28 21:30:00+00:00,transition_colour_exit,0.3417085427135676,30.0,0.0,0.0,loss_to_loss,False,False,False,0,0,0,False,False
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,-14.22246942004803,2023-01-30 14:15:00+00:00,fast_failed_launch,0.6465852304275329,255.0,-4.823203252663484,2023-01-30 14:20:00+00:00,fast_failed_launch,0.6465852304275329,260.0,9.399266167384546,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,149.54740262798472,2023-02-05 23:00:00+00:00,transition_colour_exit,12.98286937901477,660.0,149.54740262798472,2023-02-05 23:00:00+00:00,transition_colour_exit,12.98286937901477,660.0,0.0,0.0,win_to_win,False,False,True,0,0,0,False,False
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,-38.72699859656136,2023-02-07 13:25:00+00:00,fast_failed_launch,0.37490829053556457,205.0,-37.38004510121704,2023-02-07 13:30:00+00:00,fast_failed_launch,0.37490829053556457,210.0,1.3469534953443159,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,-22.61158812048127,2023-02-12 00:50:00+00:00,fast_failed_launch,0.4526901669758837,170.0,-26.093705614456283,2023-02-12 00:55:00+00:00,fast_failed_launch,0.4526901669758837,175.0,-3.4821174939750144,5.0,loss_to_loss,True,True,False,1,0,0,False,False
2023-02-13T01:00:00+00:00_S,2023-02-13 02:00:00+00:00,-42.89004029936672,2023-02-13 03:00:00+00:00,fast_failed_launch,0.6990291262136122,60.0,-42.19919401266552,2023-02-13 03:05:00+00:00,fast_failed_launch,0.6990291262136122,65.0,0.6908462867011949,5.0,loss_to_loss,True,True,False,1,0,0,False,False
