group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,397,397,-39.74251023796158,-43.389099403255415,-3.6465891652938294,-1447.6958986216503
loss_to_win,8,8,-32.294078642543575,94.31300793293748,126.60708657548106,1012.8566926038485
win_to_win,57,57,110.54133803415719,110.54133803415719,0.0,0.0
