kind,symbol,decision_i,event_id,v9_i,seed
joint:same_bar,1000CHEEMSUSDT,2605,1000CHEEMSUSDT|1h|J|20250314T0000Z,2605,91509
joint:same_bar,BICOUSDT,6773,BICOUSDT|1h|J|20250417T1700Z,6773,91509
joint:spike_first,GOATUSDT,8786,GOATUSDT|1h|J|20251025T1500Z,8785,91509
joint:spike_first,HOOKUSDT,11260,HOOKUSDT|1h|J|20251021T1600Z,11259,91509
joint:break_first,EDUUSDT,15527,EDUUSDT|1h|J|20260417T1100Z,15527,91509
joint:break_first,JASMYUSDT,15255,JASMYUSDT|1h|J|20260406T0300Z,15255,91509
v9_not_joint:no_available_line,1000SHIBUSDT,2324,1000SHIBUSDT|1h|V9L|20241014T0800Z,2324,91509
v9_not_joint:window_expired,API3USDT,5346,API3USDT|1h|V9L|20250217T0600Z,5346,91509
v9_not_joint:no_available_line,FOGOUSDT,890,FOGOUSDT|1h|V9L|20260216T1600Z,890,91509
v9_not_joint:no_available_line,ICPUSDT,7765,ICPUSDT|1h|V9L|20250529T0100Z,7765,91509
v9_not_joint:no_available_line,NEARUSDT,8039,NEARUSDT|1h|V9L|20250609T1100Z,8039,91509
v9_not_joint:no_available_line,SKYUSDT,4063,SKYUSDT|1h|V9L|20260225T1400Z,4063,91509
