comparison,original_trades,other_trades,only_original,only_other,diff_signal_i,diff_entry_i,diff_entry_time,diff_entry_price,diff_initial_stop,diff_initial_risk,diff_exit_i,diff_exit_time,diff_exit_price,diff_exit_reason,diff_net_r,diff_gross_r,diff_censored,diff_mfe_r,diff_spike_i,diff_break_i,diff_order,diff_uid,diff_score,diff_control_signal_i,diff_control_net_r
original run_v1 vs original_code_rerun,8041,8041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
original run_v1 vs new_runner_head,8041,8041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
"original joints vs new runner joints (all bars, incl. warm-up)",1608,1608,0,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
original controls vs new controls (same trade_key),8041,8041,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0
