period,months,months_without_A,months_without_C,reps,valid_reps,A_closed,C_closed,C_per_A_trades,A_mean_r,C_mean_r,diff_mean_r,ci95_low_r,ci95_high_r,A_mean_bp,C_mean_bp,diff_mean_bp,ci95_low_bp,ci95_high_bp,A_total_r,C_total_r,diff_total_r
full,20,0,0,2000,2000,6551,1594,0.2433216302854526,-0.005127224201856419,0.09257354641641535,0.09770077061827177,-0.023298343189298028,0.2162929097587384,-34.30699279750211,14.930506422366026,49.23749921986814,-5.76324706343147,105.72533927552591,-33.5884457463614,147.56223298776607,181.15067873412747
earlier,13,0,0,2000,2000,3625,807,0.22262068965517243,0.11928093440754153,0.2742704087412532,0.15498947433371166,-0.012104515266778753,0.3386084284760053,-3.625378123596752,71.12017065343036,74.74554877702712,-6.16994334289338,162.8511779092331,432.39338722733805,221.3362198541913,-211.05716737314674
later,8,0,0,2000,2000,2926,787,0.26896787423103213,-0.15925558201425133,-0.09374077111362795,0.06551481090062337,-0.0883740782509071,0.21845718043035917,-72.31822081968491,-42.68710353248651,29.631117287198407,-36.25616025087354,102.89324190460752,-465.9818329736994,-73.7739868664252,392.2078461072742
