arm,period,signals,trades_taken,closed,censored_boundary,censored_gap,skipped_in_position,risk_invalid,no_next_bar,win_rate,mean_gross_r,mean_net_r,mean_net_bp,pf,total_net_r,event_drawdown_r,median_hold_h,concurrent_median,concurrent_max,random_mean_r,excess_vs_random_r,p_vs_random
A · V9_ONLY,full,7757,6565,6551,14,0,1192,0,0,0.29720653335368646,0.05070070576002977,-0.005127224201856419,-34.30699279750211,0.992366319441702,-33.5884457463614,707.866044695844,40.0,24.0,212,-0.08496967039450876,0.08161189598772788,0.13943028485757122
A · V9_ONLY,earlier,4332,3625,3625,0,0,707,0,0,0.3326896551724138,0.17439291561241055,0.11928093440754153,-3.625378123596752,1.1878576396091165,432.39338722733805,527.0412163827389,46.0,22.0,212,0.001576101059259758,0.11802807032525126,0.2028985507246377
A · V9_ONLY,later,3425,2940,2926,14,0,485,0,0,0.2532467532467532,-0.10254066837355891,-0.15925558201425133,-72.31822081968491,0.777926775790459,-465.9818329736994,709.6101727345983,33.0,27.0,160,-0.193271423070081,0.03604137948248454,0.23138430784607697
B · BREAK_ONLY,full,25226,16557,16522,35,0,8669,0,0,0.28271395714804504,0.030938005163252215,-0.0422265948382593,-36.440438505530174,0.9406425248611544,-697.6677999177202,2534.461643927859,32.0,61.0,275,-0.18031492288933904,0.13632331354920707,0.014492753623188406
B · BREAK_ONLY,earlier,11453,7724,7720,4,0,3729,0,0,0.34209844559585495,0.24958359093744503,0.16543061209800827,42.875759071915496,1.2473742027340644,1277.1243253966238,985.1105299558899,37.0,45.0,258,-0.07056357479583236,0.23379191064606394,0.017991004497751123
B · BREAK_ONLY,later,13773,8833,8802,31,0,4940,0,0,0.23062940240854352,-0.16083022048736906,-0.22435720578440627,-106.00656498790694,0.7003778329416509,-1974.792125314344,2492.396339135102,29.0,74.0,271,-0.27682193088296714,0.05061682481305089,0.17341329335332334
C · JOINT,full,1651,1594,1594,0,0,57,0,0,0.328732747804266,0.14961766915082086,0.09257354641641535,14.930506422366026,1.1428924053943403,147.56223298776607,220.18919904799796,41.0,9.5,68,-0.13647523742964818,0.22923627891273618,0.008995502248875561
C · JOINT,earlier,835,807,807,0,0,28,0,0,0.39776951672862454,0.33200061937545045,0.2742704087412532,71.12017065343036,1.4754152203057693,221.3362198541913,104.4037269730563,48.0,7.0,68,-0.0410763640020598,0.3153467727433129,0.05897051474262868
C · JOINT,later,816,787,787,0,0,29,0,0,0.2579415501905972,-0.03740017180378655,-0.09374077111362795,-42.68710353248651,0.8699139247807016,-73.7739868664252,220.18919904799785,35.0,10.0,47,-0.23479821425731587,0.14048638297241,0.04247876061969016
