period,months,months_without_A,months_without_C,reps,valid_reps,A_closed,C_closed,C_per_A_trades,A_mean_r,C_mean_r,diff_mean_r,ci95_low_r,ci95_high_r,A_mean_bp,C_mean_bp,diff_mean_bp,ci95_low_bp,ci95_high_bp,A_total_r,C_total_r,diff_total_r
full,20,0,0,2000,2000,6551,1476,0.2253091131125019,-0.005127224201856419,0.08780392982366154,0.09293115402551796,-0.04562261606663772,0.22262122453304584,-34.30699279750211,17.66883916086445,51.97583195836656,-9.472197376030767,114.23143165787292,-33.5884457463614,129.59860041972445,163.18704616608585
earlier,13,0,0,2000,2000,3625,747,0.20606896551724138,0.11928093440754153,0.24896687184010924,0.1296859374325677,-0.0706117240867469,0.33688222663993295,-3.625378123596752,72.45649792928455,76.08187605288131,-18.79282760417308,172.6507403750006,432.39338722733805,185.9782532645616,-246.41513396277645
later,8,0,0,2000,2000,2926,729,0.24914559125085442,-0.15925558201425133,-0.0773383440944268,0.08191723791982453,-0.08804011892985263,0.24673303374301556,-72.31822081968491,-38.47160130554134,33.84661951414357,-40.45163223937989,115.2758463950191,-465.9818329736994,-56.37965284483714,409.60218012886224
