pair_status,v9_events,shadow_closed,shadow_mean_r,shadow_total_r,ge3r,ge10r,share
no_available_line,5161,5147,-0.02507256161268493,-129.04847462048934,305,39,0.6653345365476344
joint,1528,1528,0.14735264457920702,225.1548409170283,113,12,0.19698336985948176
window_expired,527,527,0.2780840782932735,146.5503092605551,47,9,0.06793863607064587
no_ma_support_or_raw_short,373,373,-0.6476975184873474,-241.59117439578057,8,0,0.048085600103132654
pair_refused:momentum,71,70,0.0907786240226128,6.354503681582896,6,0,0.009153023075931417
pair_refused:gate,58,58,0.42081261880617066,24.4071318907579,3,0,0.007477117442310171
overwritten_by_newer_v9,14,14,0.47701201859496695,6.678168260329537,2,0,0.0018048214515921104
pair_refused:parent_not_recovered,10,10,-0.6522910251999479,-6.522910251999479,0,0,0.0012891581797086502
v9_reference_exit,9,9,-1.079392545300518,-9.714532907704662,0,0,0.0011602423617377853
line_expired,6,6,0.20925223986894845,1.2555134392136906,1,0,0.0007734949078251901
