arm,candidates,closed,censored_boundary,censored_gap,skipped_in_position,risk_invalid,no_next_bar,next_bar_is_gap,status_sum_equals_candidates,taken_equals_trade_rows
A · V9_ONLY,7757,6551,14,0,1192,0,0,0,True,True
B · BREAK_ONLY,23291,15494,35,0,7762,0,0,0,True,True
C · JOINT,1528,1476,0,0,52,0,0,0,True,True
