period,pending_v9_events,enter_all_at_v9_trades,enter_all_at_v9_total_r,enter_all_at_v9_total_bp,wait_for_joint_trades,wait_for_joint_total_r,wait_for_joint_total_bp,same_events_entered_at_v9_total_r
full,1373,1372,62.118429706486225,-35049.443701016244,305,55.10891736771436,25191.110232164196,134.70142072953178
earlier,673,673,124.42769038086881,2617.949586495282,161,37.744616533803516,10510.29098240051,90.1830744041354
later,700,699,-62.3092606743826,-37667.393287511535,144,17.364300833910853,14680.819249763688,44.5183463253964
