group,trades,closed,mean_net_r,total_net_r
"C trades, all",1476,1476,0.08780392982366154,129.59860041972445
"C trades, A closed",1345,1345,0.06347308048186154,85.37129324810377
"C trades, A skipped_in_position",131,131,0.33761303184443286,44.22730717162071
C trades while A held a position at the joint bar,388,388,0.13213879995277936,51.26985438167839
paired V9 events whose joint C skipped (C in position / invalid),52,52,0.39976226674386073,20.787637870680758
V9 events A skipped in position,1192,1191,0.04795283041129701,57.111821019854744
  of which later paired into a joint,182,182,0.37545765619079535,68.33329342672475
