symbol,gap_i,gap_bar_open,window_end_i,raw_signals,v9_final_long,v9_final_any,joint_events,break_events,in_eval_window
AIAUSDT,456,2026-01-20 11:00:00+00:00,479,0,0,0,0,0,True
CTKUSDT,696,2025-04-30 10:00:00+00:00,719,0,0,0,0,0,True
CVCUSDT,360,2025-05-16 08:00:00+00:00,383,0,0,0,0,0,True
CVXUSDT,528,2025-07-23 11:00:00+00:00,551,0,0,0,0,0,True
LITUSDT,528,2025-12-23 17:00:00+00:00,551,0,0,0,0,0,True
MAVIAUSDT,600,2025-03-26 17:00:00+00:00,623,0,0,0,0,0,True
PUMPUSDT,216,2025-07-10 07:00:00+00:00,239,0,0,0,0,0,True
SLPUSDT,528,2025-07-23 11:00:00+00:00,551,0,0,0,0,0,True
