period,group,v9_events,shadow_closed,shadow_censored,shadow_no_trade,mean_net_r,total_net_r,win_rate,loss_r,profit_r,ge3r,ge10r,mean_net_bp
full,paired_into_joint,1528,1528,0,0,0.14735264457920702,225.1548409170283,0.3416230366492147,-968.6170160964948,1193.771857013523,113,12,39.220816993643
full,not_paired_decided,6229,6214,15,0,-0.03244793460629785,-201.63146564353485,0.28644995172191823,-4263.1213460625095,4061.4898804189743,372,48,-43.92442239750808
full,pending_at_data_end,0,0,0,0,,0.0,,0.0,0.0,0,0,
earlier,paired_into_joint,772,772,0,0,0.3069957004499788,237.00068074738365,0.4106217616580311,-436.68136410185986,673.6820448492435,71,3,96.49530885214276
earlier,not_paired_decided,3560,3560,0,0,0.08710696635823655,310.1008002353221,0.3160112359550562,-2330.805166930617,2640.905967165939,246,32,-11.494545163538673
earlier,pending_at_data_end,0,0,0,0,,0.0,,0.0,0.0,0,0,
later,paired_into_joint,756,756,0,0,-0.01566910030470286,-11.845839830355361,0.27116402116402116,-531.9356519946348,520.0898121642795,42,9,-19.26583342270863
later,not_paired_decided,2669,2654,15,0,-0.1928154732022822,-511.732265878857,0.2467972871137905,-1932.3161791318926,1420.5839132530357,126,16,-87.42493594420405
later,pending_at_data_end,0,0,0,0,,0.0,,0.0,0.0,0,0,
