period,at_v9_bar,v9_events,shadow_closed,mean_net_r,total_net_r,ge3r,ge10r
full,joint_now,1223,1223,0.07396027815821467,90.45342018749653,82,10
full,no_line_now,5161,5147,-0.025072561612684927,-129.04847462048932,305,39
full,pending,1373,1372,0.04527582340122903,62.118429706486225,98,11
earlier,joint_now,611,611,0.24029068141284493,146.81760634324826,51,3
earlier,no_line_now,3048,3048,0.09050399746016688,275.85618425858866,206,26
earlier,pending,673,673,0.1848851268660755,124.42769038086881,60,6
later,joint_now,612,612,-0.09209834339175126,-56.36418615575177,31,7
later,no_line_now,2113,2099,-0.19290360118107575,-404.904658879078,99,13
later,pending,700,699,-0.08914057321084778,-62.3092606743826,38,5
