symbol,timeframe,trades,parity
1000PEPEUSDT,15m,106,True
1000PEPEUSDT,1h,36,True
1000PEPEUSDT,4h,8,True
AAVEUSDT,15m,117,True
AAVEUSDT,1h,36,True
AAVEUSDT,4h,11,True
AEROUSDT,15m,104,True
AEROUSDT,1h,26,True
AEROUSDT,4h,5,True
API3USDT,15m,101,True
API3USDT,1h,23,True
API3USDT,4h,7,True
APTUSDT,15m,117,True
APTUSDT,1h,26,True
APTUSDT,4h,14,True
ARBUSDT,15m,106,True
ARBUSDT,1h,38,True
ARBUSDT,4h,11,True
ARUSDT,15m,111,True
ARUSDT,1h,26,True
ARUSDT,4h,6,True
BOMEUSDT,15m,115,True
BOMEUSDT,1h,27,True
BOMEUSDT,4h,11,True
BTCUSDT,15m,88,True
BTCUSDT,1h,39,True
BTCUSDT,4h,8,True
DASHUSDT,15m,122,True
DASHUSDT,1h,27,True
DASHUSDT,4h,8,True
ENAUSDT,15m,103,True
ENAUSDT,1h,32,True
ENAUSDT,4h,13,True
ETHUSDT,15m,96,True
ETHUSDT,1h,34,True
ETHUSDT,4h,10,True
FILUSDT,15m,122,True
FILUSDT,1h,32,True
FILUSDT,4h,16,True
HYPEUSDT,15m,69,True
HYPEUSDT,1h,18,True
HYPEUSDT,4h,3,True
JUPUSDT,15m,83,True
JUPUSDT,1h,33,True
JUPUSDT,4h,8,True
MUBARAKUSDT,15m,83,True
MUBARAKUSDT,1h,23,True
MUBARAKUSDT,4h,3,True
NEARUSDT,15m,111,True
NEARUSDT,1h,37,True
NEARUSDT,4h,12,True
ONEUSDT,15m,108,True
ONEUSDT,1h,26,True
ONEUSDT,4h,12,True
OPUSDT,15m,91,True
OPUSDT,1h,36,True
OPUSDT,4h,7,True
PENDLEUSDT,15m,103,True
PENDLEUSDT,1h,32,True
PENDLEUSDT,4h,10,True
PIEVERSEUSDT,15m,27,True
PIEVERSEUSDT,1h,11,True
PIEVERSEUSDT,4h,2,True
PUMPUSDT,15m,62,True
PUMPUSDT,1h,14,True
PUMPUSDT,4h,2,True
SOLUSDT,15m,102,True
SOLUSDT,1h,34,True
SOLUSDT,4h,10,True
UNIUSDT,15m,113,True
UNIUSDT,1h,35,True
UNIUSDT,4h,7,True
USELESSUSDT,15m,62,True
USELESSUSDT,1h,17,True
USELESSUSDT,4h,3,True
WIFUSDT,15m,109,True
WIFUSDT,1h,29,True
WIFUSDT,4h,9,True
XTZUSDT,15m,101,True
XTZUSDT,1h,26,True
XTZUSDT,4h,8,True
ZECUSDT,15m,121,True
ZECUSDT,1h,23,True
ZECUSDT,4h,6,True
ZENUSDT,15m,130,True
ZENUSDT,1h,28,True
ZENUSDT,4h,12,True
