timeframe,scope,period,selected_length,baseline_closed,selected_closed,baseline_net_r,selected_net_r,baseline_10r,retained_10r,retention_10r,net_r_months,net_r_delta,net_r_low95,net_r_high95,net_r_p,net_return_months,net_return_delta,net_return_low95,net_return_high95,net_return_p,holm_p,verdict
15m,actual,later,50,1195,1157,51.765202736979596,69.04157098396617,5,5,1.0,8,17.276368246986582,-3.358910588433833,42.218218522459594,0.11328125,8,0.1861555689593275,-0.5250450469427591,0.9501548168204671,0.31640625,0.33984375,not_accepted
1h,actual,later,20,325,321,47.16221727716108,51.41194523003816,2,2,1.0,8,4.249727952877073,1.0410458015267192,8.542016047047122,0.125,8,0.14361439067718584,0.03397764669357328,0.27904414821323653,0.125,0.33984375,not_accepted
4h,actual,later,0,99,99,-4.479355345881746,-4.479355345881746,0,0,1.0,8,0.0,0.0,0.0,1.0,8,0.0,0.0,0.0,1.0,1.0,baseline_selected
