timeframe,scope,period,length,removed,removed_losses,removed_winners,saved_loss_r,lost_profit_r,added,added_net_r,net_delta_r
15m,actual,earlier,50,85,61,24,62.296053255722306,44.8039984964614,14,0.08747534363467757,17.579530102895575
15m,actual,later,50,45,34,11,36.516089861907766,25.960632371372157,7,6.720910756450972,17.27636824698657
15m,common,earlier,50,85,61,24,62.296053255722306,44.8039984964614,14,0.08747534363467757,17.579530102895546
15m,common,later,50,45,34,11,36.516089861907766,25.960632371372157,7,6.720910756450972,17.27636824698657
1h,actual,earlier,20,3,3,0,3.1958242197848037,0.0,0,0.0,3.1958242197848072
1h,actual,later,20,4,4,0,4.249727952877076,0.0,0,0.0,4.249727952877073
1h,common,earlier,20,3,3,0,3.1958242197848037,0.0,0,0.0,3.195824219784811
1h,common,later,20,4,4,0,4.249727952877076,0.0,0,0.0,4.249727952877073
4h,actual,earlier,0,0,0,0,-0.0,0.0,0,0.0,0.0
4h,actual,later,0,0,0,0,-0.0,0.0,0,0.0,0.0
4h,common,earlier,0,0,0,0,-0.0,0.0,0,0.0,0.0
4h,common,later,0,0,0,0,-0.0,0.0,0,0.0,0.0
