scope,timeframe,symbol,length,period,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r
actual,15m,1000PEPEUSDT,0,earlier,65,65,0,0.38461538461538464,31.109432947606894,37.16741916864211,0.47860666073241376,2983.1939719186144,45.89529187567099,1.7654473446371848,1.2648108553783746,11.243750136586586,0
actual,15m,1000PEPEUSDT,0,later,41,41,0,0.36585365853658536,12.955439359337507,17.51907475396829,0.3159863258375002,1886.1214458517093,46.00296209394413,1.47219958372743,1.3387312457185352,8.972223847986907,0
actual,15m,1000PEPEUSDT,0,full,106,106,0,0.37735849056603776,44.064872306944395,54.686493922610396,0.4157063425183433,4869.315417770324,45.936937903493614,1.6472654011356238,1.2892621800769237,11.243750136586586,0
actual,15m,1000PEPEUSDT,20,earlier,65,65,0,0.38461538461538464,31.109432947606894,37.16741916864211,0.47860666073241376,2983.1939719186144,45.89529187567099,1.7654473446371848,1.2648108553783746,11.243750136586586,0
actual,15m,1000PEPEUSDT,20,later,40,40,0,0.375,12.425393162863013,16.768691322306054,0.31063482907157536,1795.7978197755262,44.89494549438816,1.4732533561061192,1.3302461139600539,9.123251740773338,0
actual,15m,1000PEPEUSDT,20,full,105,105,0,0.38095238095238093,43.53482611046991,53.93611049094816,0.41461739152828486,4778.9917916941395,45.51420753994419,1.6507698214245794,1.2861135047753476,11.243750136586586,0
actual,15m,1000PEPEUSDT,30,earlier,65,65,0,0.38461538461538464,31.109432947606894,37.16741916864211,0.47860666073241376,2983.1939719186144,45.89529187567099,1.7654473446371848,1.2648108553783746,11.243750136586586,0
actual,15m,1000PEPEUSDT,30,later,41,41,0,0.36585365853658536,12.955439359337507,17.51907475396829,0.3159863258375002,1886.1214458517093,46.00296209394413,1.47219958372743,1.3387312457185352,8.972223847986907,0
actual,15m,1000PEPEUSDT,30,full,106,106,0,0.37735849056603776,44.064872306944395,54.686493922610396,0.4157063425183433,4869.315417770324,45.936937903493614,1.6472654011356238,1.2892621800769237,11.243750136586586,0
actual,15m,1000PEPEUSDT,50,earlier,61,61,0,0.39344262295081966,31.57404438776,37.19915455212167,0.5176072850452459,3336.800332225874,54.701644790588105,1.8314187785090106,1.31313651169219,10.165260596837633,0
actual,15m,1000PEPEUSDT,50,later,41,41,0,0.36585365853658536,12.955439359337507,17.51907475396829,0.3159863258375002,1886.1214458517093,46.00296209394413,1.47219958372743,1.3387312457185352,8.972223847986907,0
