timeframe,side,length,candidates,unknown,pass,known_reject,common_ready
15m,-1,20,1731,0,1722,9,1731
15m,-1,30,1731,0,1726,5,1731
15m,-1,50,1731,0,1671,60,1731
15m,-1,60,1731,0,1637,94,1731
15m,-1,90,1731,0,1435,296,1731
15m,-1,120,1731,0,1308,423,1731
15m,-1,150,1731,0,1237,494,1731
15m,-1,200,1731,0,1133,598,1731
15m,1,20,1629,0,1621,8,1628
15m,1,30,1629,0,1623,6,1628
15m,1,50,1629,0,1555,74,1628
15m,1,60,1629,0,1496,133,1628
15m,1,90,1629,0,1233,396,1628
15m,1,120,1629,0,1047,582,1628
15m,1,150,1629,0,958,671,1628
15m,1,200,1629,1,892,736,1628
1h,-1,20,473,0,468,5,471
1h,-1,30,473,0,471,2,471
1h,-1,50,473,0,457,16,471
1h,-1,60,473,0,454,19,471
1h,-1,90,473,0,415,58,471
1h,-1,120,473,0,388,85,471
1h,-1,150,473,0,363,110,471
1h,-1,200,473,2,338,133,471
1h,1,20,512,0,509,3,511
1h,1,30,512,0,510,2,511
1h,1,50,512,0,492,20,511
1h,1,60,512,0,466,46,511
1h,1,90,512,0,343,169,511
1h,1,120,512,0,268,244,511
1h,1,150,512,0,218,294,511
1h,1,200,512,1,205,306,511
4h,-1,20,125,0,125,0,122
4h,-1,30,125,0,121,4,122
4h,-1,50,125,0,113,12,122
4h,-1,60,125,0,110,15,122
4h,-1,90,125,0,102,23,122
4h,-1,120,125,0,102,23,122
4h,-1,150,125,2,94,29,122
4h,-1,200,125,3,93,29,122
4h,1,20,146,0,146,0,143
4h,1,30,146,0,141,5,143
4h,1,50,146,0,110,36,143
4h,1,60,146,0,93,53,143
4h,1,90,146,0,65,81,143
4h,1,120,146,0,54,92,143
4h,1,150,146,1,44,101,143
4h,1,200,146,3,38,105,143
