scope,timeframe,length,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r,random_pairs,random_mean_r,paired_strategy_mean_r,random_excess_r
actual,15m,0,full,both,2883,2882,1,0.3240804996530187,204.19318899963332,521.6987874734289,0.07085121061749942,27301.84591498263,9.473228978134154,1.1024497196914724,1.060255438877995,118.58547336056824,25,2879,-0.06366799428446805,0.06864945941874159,0.13231745370320963
actual,15m,0,full,long,1397,1397,0,0.30851825340014316,-48.44728669738914,103.86028839613503,-0.03467951803678535,-17361.615829707454,-12.42778513221722,0.9505539056682359,0.9236232891876655,112.903591988008,10,1395,-0.15529103004149403,-0.03872012467552495,0.11657090536596906
actual,15m,0,full,short,1486,1485,1,0.3387205387205387,252.64047569702245,417.8384990772938,0.17012826646264137,44663.46174469009,30.07640521527952,1.249322910118584,1.1978130761127457,93.61447826150489,15,1484,0.02246012895074168,0.16957976252622262,0.14711963357548094
actual,15m,0,earlier,both,1686,1686,0,0.330367734282325,153.0765175126537,330.5783885666393,0.09079271501343636,10450.676801640566,6.198503441067952,1.1333681075779158,1.038572017872862,73.49575504877454,20,1685,-0.05777124021965831,0.08998255503379937,0.1477537952534577
actual,15m,0,earlier,long,836,836,0,0.3253588516746411,22.462358791257216,110.18931391347593,0.026868850228776574,-4813.808659426387,-5.758144329457401,1.039421251258084,0.9639769831815249,112.903591988008,8,835,-0.15980264597157862,0.025157420970725097,0.18496006694230377
actual,15m,0,earlier,short,850,850,0,0.3352941176470588,130.61415872139648,220.3890746531633,0.15366371614281937,15264.485461066957,17.958218189490537,1.2259872975273192,1.1111697830693157,78.92496245670125,12,850,0.042459611313110476,0.15366371614281937,0.1112041048297089
actual,15m,0,later,both,1196,1195,1,0.31548117154811717,51.765202736979596,191.61258640678955,0.0433181612861754,16934.131336008475,14.170821201680731,1.0612835631926427,1.0930040660324876,118.58547336056787,5,1192,-0.07346530974886578,0.03793104647978466,0.11139635622865043
actual,15m,0,later,long,561,561,0,0.28342245989304815,-70.90964548864638,-6.329025517340892,-0.12639865505997572,-12547.807170281068,-22.366857701035773,0.8270482855555257,0.8660625808795045,107.02758204287679,2,559,-0.15136597285250017,-0.13681025530163607,0.01455571755086412
actual,15m,0,later,short,635,634,1,0.3438485804416404,122.67484822562598,197.94161192413043,0.19349345145997787,29481.938506289538,46.501480293832074,1.2822145158302702,1.3335235656295983,57.52951007608239,3,633,-0.004671517213428747,0.19224445516195557,0.19691597237538427
actual,15m,0,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,0,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
actual,15m,0,cross_split,short,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,20,full,both,2869,2868,1,0.32426778242677823,197.05521693698,512.3482416501877,0.06870823463632497,25118.03221672632,8.758030758970126,1.0994556142855796,1.0556449625652298,116.25175984806361,25,2865,-0.07233311122302237,0.06649348049001876,0.13882659171304115
actual,15m,20,full,long,1391,1391,0,0.308411214953271,-56.52766748413456,94.76732696258188,-0.04063815059966539,-19160.987836269043,-13.77497328272397,0.9420258298163665,0.9155037289808577,116.40404929198283,10,1389,-0.1641201995493542,-0.04470479100727339,0.11941540854208077
actual,15m,20,full,short,1478,1477,1,0.3392010832769127,253.58288442111464,417.58091468760574,0.1716878025870783,44279.02005299536,29.979025086659007,1.2519980421888488,1.1971190308534487,98.14767153881583,15,1476,0.014043762547489064,0.17113738232588518,0.15709361977839612
actual,15m,20,earlier,both,1676,1676,0,0.3305489260143198,153.0230623444966,328.92559459611294,0.0913025431649741,9795.278952736555,5.844438515952598,1.1342920711425033,1.0363217615807954,69.93677883835885,20,1675,-0.060081735498141206,0.09048785078435512,0.15056958628249634
actual,15m,20,earlier,long,832,832,0,0.32572115384615385,23.758445253617847,110.7941043326376,0.028555823622136836,-4770.177165042132,-5.73338601567564,1.041958741391234,0.9641915135182433,110.62731834966377,8,831,-0.15945681176580484,0.026838186489670394,0.18629499825547524
actual,15m,20,earlier,short,844,844,0,0.3353080568720379,129.2646170908787,218.1314902634753,0.1531571292545956,14565.456117778685,17.25764942864773,1.2254958918918408,1.1067323398309938,83.4581557340122,12,844,0.037762682011845135,0.1531571292545956,0.1153944472427505
actual,15m,20,later,both,1192,1191,1,0.3157010915197313,44.68068584248346,183.91483455407473,0.03751526938915488,15405.71548665616,12.935109560584516,1.0531147657521998,1.0848171463997978,116.25175984806319,5,1188,-0.09108795466360378,0.03209536238165588,0.12318331704525966
actual,15m,20,later,long,559,559,0,0.2826475849731664,-80.28611273775246,-16.026777370055736,-0.1436245308367665,-14390.810671226907,-25.743847354609855,0.8036129322401908,0.8461758767524202,116.4040492919828,2,557,-0.17391768025062967,-0.1541353679761591,0.019782312274470575
actual,15m,20,later,short,633,632,1,0.3449367088607595,124.96679858023592,199.94161192413046,0.1977322762345505,29796.52615788307,47.14640214854916,1.2890110210633257,1.3382863531814746,56.37689305480579,3,631,-0.017972016229414547,0.19648603878308687,0.21445805501250131
actual,15m,20,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,20,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
actual,15m,20,cross_split,short,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,30,full,both,2873,2872,1,0.32381615598885793,201.65832276767924,517.9452467488368,0.07021529344278525,25932.48308317617,9.029416115312037,1.10152789663811,1.0573598397849493,117.41518075761701,25,2869,-0.06073650026538158,0.0680052030096211,0.12874170327500267
actual,15m,30,full,long,1392,1392,0,0.3074712643678161,-51.09029859156284,100.71178968834977,-0.03670280071232963,-18049.373548945274,-12.96650398631126,0.9477374866340109,0.9204508278940362,115.40932345540813,10,1390,-0.1527919494463001,-0.04076085310541799,0.11203109634088208
actual,15m,30,full,short,1481,1480,1,0.33918918918918917,252.7486213592421,417.23345706048707,0.1707760955130014,43981.85663212144,29.717470697379348,1.2505773779960425,1.195296175835426,98.14767153881586,15,1479,0.025779439127097625,0.17022617528812306,0.14444673616102544
actual,15m,30,earlier,both,1678,1678,0,0.3295589988081049,148.2997586777485,324.8248478420473,0.08837887883060103,8644.539447532265,5.15169216181899,1.1297295386991935,1.0319722796242252,71.3970102597948,20,1677,-0.05404558898564965,0.08756341466729087,0.1416090036529405
actual,15m,30,earlier,long,832,832,0,0.3233173076923077,18.747746897083523,106.04081520569066,0.022533349635917695,-5800.895987602752,-6.972230754330231,1.0329691312866187,0.956551185884813,115.40932345540813,8,831,-0.15673966369112532,0.020808465242336645,0.177548128933462
actual,15m,30,earlier,short,846,846,0,0.33569739952718675,129.552011780665,218.78403263635664,0.15313476569818557,14445.435435135014,17.074982783847535,1.2255038606855422,1.1055451059381614,83.45815573401222,12,846,0.04682766879242402,0.15313476569818557,0.10630709690576158
actual,15m,30,later,both,1194,1193,1,0.3160100586756077,54.00709533993071,193.61258640678955,0.04526998771159322,17370.905858310296,14.560692253403433,1.064107835282341,1.0956322824851603,117.41518075761675,5,1190,-0.0716248739312891,0.039878739501558354,0.11150361343284743
actual,15m,30,later,long,560,560,0,0.2839285714285714,-69.83804548864637,-5.329025517340892,-0.12471079551543995,-12248.477561342523,-21.87228135954022,0.8292155889958059,0.8688386027089083,105.95598204287677,2,558,-0.14972750986731817,-0.13513500486310853,0.01459250500420964
actual,15m,30,later,short,634,633,1,0.344391785150079,123.84514082857707,198.94161192413043,0.19564793179869996,29619.38341965282,46.79207491256369,1.285675899830319,1.3356002747043079,56.35921747313128,3,632,-0.0026671668865039413,0.19440036822859016,0.19706753511509406
actual,15m,30,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,30,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
actual,15m,30,cross_split,short,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,50,full,both,2774,2773,1,0.3263613415073927,239.04908734951547,542.792846933956,0.08620594567238207,31677.625904551584,11.423593907158883,1.1251847834464266,1.072423243868898,118.01316160385457,24,2770,-0.05145593557029958,0.08393418484347985,0.13539012041377943
actual,15m,50,full,long,1336,1336,0,0.31362275449101795,-14.08838720254947,131.79948718130575,-0.010545200001908285,-9801.420342528034,-7.336392471952121,0.9848900497860196,0.9547845850495917,102.87779051505152,10,1334,-0.14980594460613622,-0.014734388626325055,0.13507155597981113
actual,15m,50,full,short,1438,1437,1,0.33820459290187893,253.13747455206496,410.9933597526502,0.17615690643845858,41479.04624707962,28.86502870360447,1.2590493771210463,1.1880076994957849,85.75444754917861,14,1436,0.03990820931396648,0.17559426632587524,0.13568605701190875
actual,15m,50,earlier,both,1615,1615,0,0.33250773993808047,170.65604761554928,340.4980824633771,0.10566937932851349,12964.901101616237,8.027802539700456,1.1556762753650602,1.049647540888968,64.64277983942668,19,1614,-0.04509347303967801,0.1048327976052339,0.14992627064491193
actual,15m,50,earlier,long,799,799,0,0.32916145181476847,42.2076038189053,126.8233366972612,0.05282553669449975,-960.6098070513092,-1.2022650901768575,1.0776997820052001,0.9924886921333707,102.87779051505152,8,798,-0.1541238444439272,0.05106728262932774,0.205191127073255
actual,15m,50,earlier,short,816,816,0,0.33578431372549017,128.44844379664403,213.67474576611593,0.15741230857431865,13925.510908667551,17.065577093955334,1.2322714950877167,1.104506374646596,71.06493174437497,11,816,0.06153181664241864,0.15741230857431865,0.09588049193189993
actual,15m,50,later,both,1158,1157,1,0.3180639585133967,69.04157098396617,202.7869519705788,0.05967292219876073,18795.687025601743,16.245191897667883,1.0849535960159011,1.1066881732728961,118.01316160385396,5,1154,-0.061843249124331263,0.05415093210649039,0.11599418123082163
actual,15m,50,later,long,537,537,0,0.2905027932960894,-56.29599102145478,4.976150484044531,-0.1048342477122063,-8840.810535476721,-16.463334330496686,0.8553462128216461,0.9005344788965661,96.40194497649168,2,535,-0.1462955206378755,-0.11563229578770645,0.030663224850169018
actual,15m,50,later,short,621,620,1,0.3419354838709677,125.33756200542095,197.81080148653422,0.2021573580732596,27636.497561078464,44.57499606625559,1.2959424808350961,1.316602356102512,55.77834959068569,3,619,0.011148617208053466,0.20089410968871219,0.18974549248065872
actual,15m,50,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,50,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
actual,15m,50,cross_split,short,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,60,full,both,2701,2700,1,0.3274074074074074,245.00624609425083,536.5398042493333,0.09074305410898179,30798.671077876657,11.406915214028391,1.132042846401503,1.0716836514574155,104.5756848312883,23,2697,-0.06748651220083686,0.08841485011537803,0.15590136231621485
actual,15m,60,full,long,1292,1292,0,0.3142414860681115,-9.613650166799275,128.59203559508913,-0.007440905701857024,-10101.120266638736,-7.818204540742057,0.9893125690989448,0.9523325650836973,112.57614287132365,9,1290,-0.16340276975839677,-0.011768168520749956,0.15163460123764683
actual,15m,60,full,short,1409,1408,1,0.33948863636363635,254.6198962610501,407.9477686542441,0.1808379945035867,40899.791344515375,29.04814726172967,1.26634521133591,1.187838718923703,75.73292511980766,14,1407,0.02045376658327992,0.1802670846858152,0.15981331810253527
actual,15m,60,earlier,both,1583,1583,0,0.3297536323436513,142.15178783656575,306.74049982874544,0.08979898157711039,6896.125710446501,4.356364946586545,1.1319513161919106,1.0266764365736996,82.30643986079107,18,1582,-0.06273175483256874,0.08893544598980024,0.15166720082236898
actual,15m,60,earlier,long,785,785,0,0.3235668789808917,19.800081622403134,101.61034502257982,0.02522303391388934,-5334.494897708416,-6.7955349015393836,1.0368958393828858,0.9581018943443332,112.57614287132365,7,784,-0.16374465916083358,0.023398175180741547,0.18714283434157516
actual,15m,60,earlier,short,798,798,0,0.3358395989974937,122.35170621416265,205.13015480616562,0.1533229401179983,12230.620608154913,15.32659224079563,1.2263020149986967,1.0932287733943715,75.48475358604547,11,798,0.03650899327941077,0.1533229401179983,0.11681394683858744
actual,15m,60,later,both,1117,1116,1,0.32437275985663083,103.50298950768507,230.29149192058784,0.0927446142541981,23985.507590096557,21.492390313706593,1.1331138625910933,1.1402217571451956,104.57568483128777,5,1113,-0.07581717943065769,0.08710835056119387,0.16292552999185161
actual,15m,60,later,long,507,507,0,0.29980276134122286,-29.413731789202423,26.981690572509294,-0.05801525007732233,-4766.625368930313,-9.401627946608114,0.9189437635294806,0.9436486032329683,75.93077144770488,2,505,-0.16600309209736613,-0.06926934458251602,0.09673374751485013
actual,15m,60,later,short,610,609,1,0.3448275862068966,132.91672129688746,203.3098013480785,0.2182540579587643,28752.132959026865,47.21204098362375,1.320534791664911,1.3325230749387935,55.04502454869791,3,608,-0.0009094723637370336,0.21699442958680815,0.21790390195054515
actual,15m,60,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,60,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
actual,15m,60,cross_split,short,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,1,0.197232142857145,-0.6485312499999961,-0.8457633928571411
actual,15m,90,full,both,2319,2318,1,0.3287316652286454,179.02420649264863,425.73611503078683,0.07723218571727723,20179.51489721593,8.705571569118176,1.1124646846325033,1.0542386318848065,100.21784710015211,18,2314,-0.051959634276844885,0.07512491351610469,0.12708454779294956
