minutes,window,policy,schedule,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
3,common,original,fixed,233,185,185,48,0,49,0,0,136,49,107,0,13,9,10,136,1.0,1.0,1.3771960595404833,0.08507818029049785,0,0,0.0,-85.07818029049797,35.55129685076643,126.55870318299537,-211.63688347349319,,,,,1000,914.9218197095022,85.07818029049781,-85.07818029049781,0.2648648648648649,0.0,0.7351351351351352,-0.45988205562431334,0.192169172166305,0.5979992764297459
3,common,original,double,233,11,11,0,222,3,0,0,8,3,4,0,4,2,4,8,128.0,256.0,8.670343597910094,0.13220746641006453,0,0,0.0,-10.84313898316715,-0.734578587899957,68.03529115829929,-200.2427575683638,,,,,1000,867.7925335899355,132.2074664100645,-132.2074664100645,0.2727272727272727,0.0,0.7272727272727273,-0.9857399075606499,-0.06677987162726882,0.3397640543132838
3,common,arrows_augment_profit,fixed,233,192,192,41,0,69,0,0,123,69,100,0,11,8,9,123,1.0,1.0,1.3750230103768792,0.11482449474320011,0,0,0.0,-114.82449474320023,8.527928281766044,81.43183682104234,-196.2563315642425,,,,,1000,885.1755052567999,114.82449474320015,-114.82449474320015,0.359375,0.0,0.640625,-0.5980442434541678,0.04441629313419815,0.41492590925346257
3,common,arrows_augment_profit,double,233,24,24,2,207,8,0,0,16,8,13,0,6,4,6,7,128.0,128.0,9.40129646366532,0.15127953572838682,3,0,0.0,-15.584325608649308,-0.3922959550809444,269.97349438128583,-351.8784674905437,,,,,1000,918.0950268907421,163.6451520487011,-81.90497310925787,0.3333333333333333,0.0,0.6666666666666666,-0.6493469003603879,-0.01634566479503935,0.7672350522230833
3,common,arrows_augment_any,fixed,233,201,201,32,0,54,0,0,147,54,82,0,13,5,9,147,1.0,1.0,1.3767702936304993,0.11745079397454361,0,0,0.0,-117.45079397454326,11.065055474467817,66.49476987085848,-183.94556384540203,,,,,1000,882.5492060254564,117.45079397454356,-117.45079397454356,0.26865671641791045,0.0,0.7313432835820896,-0.584332308331061,0.055050027236158296,0.3614915656609384
3,common,arrows_augment_any,double,233,20,20,2,211,6,0,0,14,6,4,0,7,2,3,7,128.0,128.0,9.731500169001245,0.0842662220753152,2,0,0.0,-5.598695216645667,5.734011041820311,248.9519197028269,-179.5964288338689,,,,,1000,1069.355490868958,61.77693163690333,69.35549086895799,0.3,0.0,0.7,-0.27993476083228336,0.2867005520910156,1.3861741089134545
3,common,arrows_replace_trail_profit,fixed,233,192,192,41,0,66,0,0,126,66,105,0,11,11,11,126,1.0,1.0,1.3736870977459503,0.11062755644517341,0,0,0.0,-110.6275564451735,12.724866579792701,93.11911008620609,-203.74666653137956,,,,,1000,889.3724435548265,110.62755644517347,-110.62755644517347,0.34375,0.0,0.65625,-0.576185189818612,0.06627534676975365,0.457033784510357
3,common,arrows_replace_trail_profit,double,233,24,24,2,207,8,0,0,16,8,13,0,6,4,6,7,128.0,128.0,9.406676282581806,0.15135963262380536,3,0,0.0,-15.727435149285297,-0.5354054957169807,269.4010562187417,-351.8784674905437,,,,,1000,917.522588728198,163.6451520487011,-82.477411271802,0.3333333333333333,0.0,0.6666666666666666,-0.6553097978868874,-0.022308562321540864,0.7656082457673586
3,common,arrows_replace_trail_any,fixed,233,201,201,32,0,51,0,0,150,51,86,0,13,6,9,150,1.0,1.0,1.3767702936304993,0.11375250197751952,0,0,0.0,-113.75250197751916,14.763347471491898,77.11253232732702,-190.86503430484652,,,,,1000,886.2474980224805,113.7525019775195,-113.7525019775195,0.2537313432835821,0.0,0.746268656716418,-0.5659328456592994,0.07344948990791988,0.40401602424551025
3,common,arrows_replace_trail_any,double,233,20,20,2,211,6,0,0,14,6,4,0,7,2,3,7,128.0,128.0,9.731500169001245,0.0842662220753152,2,0,0.0,-5.598695216645667,5.734011041820311,248.9519197028269,-179.5964288338689,,,,,1000,1069.355490868958,61.77693163690333,69.35549086895799,0.3,0.0,0.7,-0.27993476083228336,0.2867005520910156,1.3861741089134545
