minutes,window,start,end,policy,candidates,natural,open,wins,losses,net_zero,win_rate,sum_gross_r,sum_net_r,mean_net_r,mean_cost_r,profit_factor,max_net_loss_streak,max_initial_stop_streak,initial_stops,fanshen_exits,gross3r,net3r,legacy_mfe1r,legacy_mfe1r_then_net_loss,max_realized_drawdown_r,boundary_net_r,paired_n,paired_delta_net_r,paired_improved,paired_worsened,saved_losers,lost_3r_winners,matched_n,matched_missing,months,random_mean_net_r,excess_net_r,p,p_holm
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,original,233,185,0,49,136,0,0.2648648648648649,35.551296850766406,-85.078180290498,-0.4598820556243135,0.6520512277906184,0.5979992764297452,13,9,107,0,15,13,86,37,85.07818029049797,0.0,185,0.0,0,0,0,0,185,0,4,-0.5223970039338969,0.06251494830958335,0.3788,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,233,192,0,69,123,0,0.359375,8.527928281766041,-114.8244947432003,-0.5980442434541683,0.6424605365883663,0.4149259092534618,11,8,100,58,8,6,80,24,114.82449474320023,0.0,185,-26.71998060039184,32,24,17,9,192,0,4,-0.5350107340761853,-0.06303350937798292,0.7482,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_augment_any,233,201,0,54,147,0,0.26865671641791045,11.065055474467812,-117.45079397454333,-0.5843323083310613,0.6393823355672196,0.36149156566093893,13,5,82,100,6,6,66,23,117.45079397454326,0.0,185,-25.088920733075376,59,34,13,9,201,0,4,-0.587924255543489,0.0035919472124276712,0.5018,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_profit,233,192,0,66,126,0,0.34375,12.724866579792696,-110.62755644517357,-0.5761851898186123,0.642460536588366,0.45703378451035626,11,11,105,66,10,8,80,27,110.6275564451735,0.0,185,-21.078431497706937,38,32,17,9,192,0,4,-0.5307527642421047,-0.04543242557650768,0.6225,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,arrows_replace_trail_any,233,201,0,51,150,0,0.2537313432835821,14.763347471491885,-113.75250197751927,-0.5659328456592999,0.6393823355672196,0.40401602424551075,13,6,86,105,8,8,66,26,113.75250197751916,0.0,185,-18.388895223353565,63,39,13,9,201,0,4,-0.5939760901216986,0.028043244462398784,0.4383,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_profit,233,192,0,67,125,0,0.3489583333333333,10.381262929822313,-112.97116009514409,-0.5883914588288754,0.6424605365883665,0.43285675968987075,12,9,102,54,9,7,82,26,112.97116009514403,0.0,185,-24.866645952335627,31,21,15,8,192,0,4,-0.5483792838882301,-0.04001217494064534,0.7482,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_augment_any,233,198,0,59,139,0,0.29797979797979796,15.888253227752392,-110.44991799240742,-0.5578278686485223,0.6380715718189889,0.40877212500352633,14,5,87,84,8,7,71,23,110.44991799240735,0.0,185,-22.94445354696601,51,27,12,8,198,0,4,-0.5596236633689706,0.0017957947204482912,0.4997,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_profit,233,192,0,63,129,0,0.328125,23.893257526722504,-99.45916549824383,-0.51801648697002,0.6424605365883663,0.5234929792219198,12,12,107,61,13,10,82,30,99.45916549824376,0.0,185,-9.91004055077719,36,32,15,8,192,0,4,-0.529643301705059,0.011626814735039062,0.4413,1.0
3,common,2026-01-01 00:00:00+00:00,2026-05-01T00:00:00Z,alerts_replace_trail_any,233,198,0,55,143,0,0.2777777777777778,30.623754568390552,-95.71441665176923,-0.4834061447059052,0.6380715718189888,0.5094665232430373,15,6,91,91,12,10,71,27,95.71441665176918,0.0,185,-6.764341401669631,56,37,12,8,198,0,4,-0.5263556381354406,0.04294949342953546,0.4413,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,original,1807,1453,0,354,1099,0,0.24363386097728837,6.532009176137468,-901.247598590775,-0.6202667574609602,0.6247622902731675,0.44732882564916615,27,12,845,0,85,69,708,354,901.2475985907754,0.0,1453,0.0,0,0,0,0,1453,0,33,-0.6249437964944742,0.004677039033514076,0.4638,1.0
3,available,2023-08-03 14:15:00+00:00,2026-05-01T00:00:00Z,arrows_augment_profit,1807,1509,0,546,963,0,0.36182902584493043,-40.85554458058304,-974.6802079736005,-0.6459113372919818,0.6188367550649553,0.35761175285564956,26,12,807,487,53,32,638,218,974.6802079736011,0.0,1453,-46.40790662187096,284,183,170,50,1509,0,33,-0.640550435391935,-0.0053609019000469,0.5427,1.0
