i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image
0,W_USDT_SWAP_31792,W_USDT_SWAP,31792,2026-04-30 21:45:00+00:00,0.1773,1,,,drop,,images/train/W_USDT_SWAP_31792.png
1,NOT_USDT_SWAP_31502,NOT_USDT_SWAP,31502,2026-04-27 20:15:00+00:00,0.0736,1,,,drop,,images/train/NOT_USDT_SWAP_31502.png
2,PENGU_USDT_SWAP_32151,PENGU_USDT_SWAP,32151,2026-05-03 13:15:00+00:00,0.3517,1,,,drop,,images/train/PENGU_USDT_SWAP_32151.png
3,ZAMA_USDT_SWAP_10934,ZAMA_USDT_SWAP,10934,2026-05-03 12:00:00+00:00,0.0591,1,,,drop,,images/train/ZAMA_USDT_SWAP_10934.png
4,LINEA_USDT_SWAP_23150,LINEA_USDT_SWAP,23150,2026-04-30 17:30:00+00:00,0.2576,1,,,drop,,images/train/LINEA_USDT_SWAP_23150.png
5,LINEA_USDT_SWAP_23298,LINEA_USDT_SWAP,23298,2026-05-02 06:30:00+00:00,0.0629,1,,,drop,,images/train/LINEA_USDT_SWAP_23298.png
6,GPS_USDT_SWAP_31765,GPS_USDT_SWAP,31765,2026-04-30 13:00:00+00:00,0.1079,1,,,drop,,images/train/GPS_USDT_SWAP_31765.png
7,PENGU_USDT_SWAP_31628,PENGU_USDT_SWAP,31628,2026-04-28 02:30:00+00:00,0.0786,1,,,drop,,images/train/PENGU_USDT_SWAP_31628.png
8,ATOM_USDT_SWAP_31501,ATOM_USDT_SWAP,31501,2026-04-26 18:00:00+00:00,0.2488,1,,,drop,,images/train/ATOM_USDT_SWAP_31501.png
9,LINEA_USDT_SWAP_22889,LINEA_USDT_SWAP,22889,2026-04-28 00:15:00+00:00,0.3259,1,,,drop,,images/train/LINEA_USDT_SWAP_22889.png
10,ATOM_USDT_SWAP_32135,ATOM_USDT_SWAP,32135,2026-05-03 08:30:00+00:00,0.0921,1,,,drop,,images/train/ATOM_USDT_SWAP_32135.png
11,LINEA_USDT_SWAP_22770,LINEA_USDT_SWAP,22770,2026-04-26 18:30:00+00:00,0.0584,1,,,drop,,images/train/LINEA_USDT_SWAP_22770.png
12,XLM_USDT_SWAP_31540,XLM_USDT_SWAP,31540,2026-04-27 05:00:00+00:00,0.3561,1,,,drop,,images/train/XLM_USDT_SWAP_31540.png
13,ICX_USDT_SWAP_31525,ICX_USDT_SWAP,31525,2026-04-28 01:15:00+00:00,0.2704,1,,,drop,,images/train/ICX_USDT_SWAP_31525.png
14,W_USDT_SWAP_31407,W_USDT_SWAP,31407,2026-04-26 21:30:00+00:00,0.3098,1,,,drop,,images/train/W_USDT_SWAP_31407.png
15,ICX_USDT_SWAP_31439,ICX_USDT_SWAP,31439,2026-04-27 03:45:00+00:00,0.3261,1,,,drop,,images/train/ICX_USDT_SWAP_31439.png
16,NOT_USDT_SWAP_31911,NOT_USDT_SWAP,31911,2026-05-02 02:30:00+00:00,0.2597,1,,,drop,,images/train/NOT_USDT_SWAP_31911.png
17,VIRTUAL_USDT_SWAP_31697,VIRTUAL_USDT_SWAP,31697,2026-04-28 20:15:00+00:00,0.0751,1,,,drop,,images/train/VIRTUAL_USDT_SWAP_31697.png
18,LINEA_USDT_SWAP_22665,LINEA_USDT_SWAP,22665,2026-04-25 16:15:00+00:00,0.2159,1,,,drop,,images/train/LINEA_USDT_SWAP_22665.png
19,BCH_USDT_SWAP_31759,BCH_USDT_SWAP,31759,2026-04-30 11:30:00+00:00,0.2277,1,,,drop,,images/train/BCH_USDT_SWAP_31759.png
20,ACH_USDT_SWAP_31655,ACH_USDT_SWAP,31655,2026-04-29 07:00:00+00:00,0.1594,1,,,drop,,images/train/ACH_USDT_SWAP_31655.png
21,ICX_USDT_SWAP_31721,ICX_USDT_SWAP,31721,2026-04-30 02:15:00+00:00,0.0589,1,,,drop,,images/train/ICX_USDT_SWAP_31721.png
22,ZIL_USDT_SWAP_31829,ZIL_USDT_SWAP,31829,2026-05-01 07:15:00+00:00,0.3709,1,,,drop,,images/train/ZIL_USDT_SWAP_31829.png
23,APE_USDT_SWAP_31584,APE_USDT_SWAP,31584,2026-04-27 14:45:00+00:00,0.126,1,,,drop,,images/train/APE_USDT_SWAP_31584.png
24,LINEA_USDT_SWAP_23421,LINEA_USDT_SWAP,23421,2026-05-03 13:15:00+00:00,0.3591,1,,,drop,,images/train/LINEA_USDT_SWAP_23421.png
25,W_USDT_SWAP_31774,W_USDT_SWAP,31774,2026-04-30 17:15:00+00:00,0.2308,1,,,drop,,images/train/W_USDT_SWAP_31774.png
