dimension,family_status,level,eligible,selected,discovery_score,n,n_long,n_short,gross_bp,net_bp,control_net_bp,paired_excess_bp,profit_factor,win_rate,stop_rate,median_mfe_r,hit_2r_rate,half_count,min_half_n,positive_net_halves,positive_excess_halves,median_half_net_bp,median_half_excess_bp
direction,original_preregistered,short,True,False,-16.06755730412513,1446,0,1446,3.932442695874875,-16.06755730412513,-36.33072671744186,20.263169413316678,0.8287010190052823,0.1825726141078838,0.8077455048409405,1.1569656699889306,0.3450899031811895,4,277,2,3,-14.12748267744548,19.139191251849276
direction,original_preregistered,long,True,True,-13.090755746453196,1746,1746,0,6.9092442535468,-13.090755746453196,-9.34728579471241,-3.7434699517408245,0.8599755334212736,0.18041237113402062,0.800114547537228,1.0,0.30927835051546393,4,370,1,2,-11.094003737100968,-4.926334152125089
gap_exact,original_preregistered,5,True,False,-5.578046801957993,419,218,201,14.421953198042017,-5.578046801957993,-38.13486684300046,32.556820041042414,0.9414877941252158,0.17899761336515513,0.8066825775656324,1.2619047619047272,0.36992840095465396,4,77,1,4,-3.4767366180554187,35.491818672825644
gap_exact,original_preregistered,2,True,False,-34.07853819022466,792,451,341,-2.9966250100404133,-22.99662501004042,-23.36524515215615,0.36862014211569655,0.7591464425995205,0.14646464646464646,0.8396464646464646,0.9522610051577503,0.2967171717171717,4,168,1,1,-34.07853819022466,-9.493131678794565
gap_exact,original_preregistered,6,True,False,-32.71871769312189,347,181,166,-10.09775080266603,-30.09775080266603,-12.003035537354293,-18.0947152653118,0.685001641373303,0.17002881844380405,0.8126801152737753,0.9726027397260304,0.3025936599423631,4,67,0,1,-32.71871769312189,-21.18013276417903
gap_exact,original_preregistered,3,True,False,-15.352748066348145,548,321,227,7.687624015285797,-12.312375984714214,-22.328295915804222,10.015919931089961,0.8643932333341601,0.19160583941605838,0.791970802919708,1.134418901660271,0.3302919708029197,4,105,1,3,-15.352748066348145,12.328259390662687
gap_exact,original_preregistered,7,True,False,-15.069882602090747,366,200,166,4.930117397909248,-15.069882602090747,-18.86071345179339,3.7908308497025796,0.8469519136192442,0.1885245901639344,0.7978142076502732,0.9659805603201908,0.3251366120218579,4,77,0,2,-14.702182990103726,3.130939916895123
gap_exact,original_preregistered,8,True,True,10.032411063804965,261,136,125,30.032411063804958,10.032411063804965,-21.94575323662914,31.978164300434063,1.1203829055156451,0.24521072796934865,0.7471264367816092,1.298630136986341,0.34099616858237547,4,61,2,3,10.388938651276124,28.79327296391824
gap_exact,original_preregistered,4,True,False,-24.096358813528205,459,239,220,8.123312714075833,-11.876687285924167,-11.631778326415454,-0.24490895950871694,0.8720336831926201,0.19825708061002179,0.7821350762527233,1.120595144870788,0.33769063180827885,4,87,1,2,-24.096358813528205,-6.1211386929908755
gap_band,original_preregistered,5-6,True,False,-17.872801231945935,766,399,367,3.314463265606386,-16.68553673439362,-26.297079032218193,9.61154229782451,0.8251539943243007,0.17493472584856398,0.8093994778067886,1.131333414219847,0.3394255874673629,4,144,0,4,-17.872801231945935,7.451680288830774
gap_band,original_preregistered,2,True,False,-34.07853819022466,792,451,341,-2.9966250100404133,-22.99662501004042,-23.36524515215615,0.36862014211569655,0.7591464425995205,0.14646464646464646,0.8396464646464646,0.9522610051577503,0.2967171717171717,4,168,1,1,-34.07853819022466,-9.493131678794565
gap_band,original_preregistered,3-4,True,False,-21.309127174299878,1007,560,447,7.886214991199029,-12.113785008800972,-17.452723350233768,5.3389383414327725,0.8679174877736077,0.19463753723932473,0.7874875868917577,1.1206896551723886,0.3336643495531281,4,192,1,1,-21.309127174299878,-10.803671732280407
gap_band,original_preregistered,7-8,True,True,-4.620602463655692,627,336,291,15.379397536344305,-4.620602463655692,-20.14491661581593,15.52431415216018,0.9498675625694872,0.21212121212121213,0.7767145135566188,1.0714285714286096,0.3317384370015949,4,140,2,3,-0.528006248981298,23.015629042444747
k1_sma40_cross_depth,original_preregistered,0.40-0.70,True,False,-11.69581038499448,644,364,280,12.542622736673259,-7.45737726332674,-36.88665455341638,29.42927729008957,0.9154240226614191,0.17857142857142858,0.8027950310559007,1.000000000000007,0.32142857142857145,4,144,1,4,-11.69581038499448,24.99554346014157
k1_sma40_cross_depth,original_preregistered,near/incomplete,True,False,-26.95631176369894,506,281,225,-1.403132546401405,-21.4031325464014,-16.39610769682424,-5.007024849577212,0.7744621247143434,0.16798418972332016,0.8142292490118577,1.0660173160172846,0.32608695652173914,4,107,1,2,-26.95631176369894,-11.990003206772622
k1_sma40_cross_depth,original_preregistered,0.05-0.20,True,True,-9.992038969395013,831,458,373,11.665808767337527,-8.334191232662475,-22.082346978465754,13.748155745803233,0.9128281400578377,0.18050541516245489,0.802647412755716,1.0588235294117585,0.3309265944645006,4,167,1,3,-9.992038969395013,8.302932020424919
k1_sma40_cross_depth,original_preregistered,0.20-0.40,True,False,-22.916195795587704,1041,557,484,0.1427945754471266,-19.857205424552888,-15.070732066717234,-4.786473357835681,0.7902718740482749,0.18251681075888568,0.808837656099904,1.104651162790702,0.3218059558117195,4,190,0,2,-22.916195795587704,-0.37313934188768627
k1_sma40_cross_depth,original_preregistered,>0.70,True,False,-35.82611728419812,170,86,84,3.173249366419874,-16.826750633580136,-16.2593728437524,-0.5673777898277453,0.8217768882947747,0.22941176470588234,0.7470588235294118,1.0745192307692721,0.3352941176470588,4,27,1,2,-35.82611728419812,-3.92419349971306
k1_body_share,original_preregistered,0.80-0.90,True,False,-26.977202369861963,873,491,382,-2.7481577999917324,-22.748157799991738,-25.295589176270745,2.5474313762789564,0.7633676036452799,0.18098510882016036,0.8075601374570447,0.9285714285714362,0.3241695303550974,4,171,0,1,-26.977202369861963,-1.4080909189700375
k1_body_share,original_preregistered,0.65-0.80,True,False,-15.692593320010266,1336,721,615,4.307406679989735,-15.692593320010266,-23.1783194376253,7.485726117614985,0.8342774336734095,0.17739520958083832,0.8083832335329342,1.099955414012745,0.3241017964071856,4,274,0,2,-14.565512402855147,8.444114188536236
k1_body_share,original_preregistered,0.50-0.65,True,True,-13.002255668340736,614,314,300,19.780074745105402,-0.2199252548946021,-11.304896745091924,11.084971490197264,0.9975326358448238,0.19055374592833876,0.7947882736156352,1.1530100334448363,0.3306188925081433,4,135,1,2,-13.002255668340736,-2.1656297739313706
k1_body_share,original_preregistered,>0.90,True,False,-43.800670239157256,369,220,149,6.09575378417227,-13.904246215827735,-24.02195422750839,10.11770801168066,0.8477715251697026,0.18157181571815717,0.7913279132791328,1.0253164556961882,0.3252032520325203,4,67,1,2,-43.800670239157256,-11.764506729865232
k1_range_atr,original_preregistered,1.25-1.75,True,False,-20.877568531906196,1228,680,548,-0.39720288040471324,-20.397202880404716,-22.994675191950353,2.597472311545579,0.7858845485361985,0.16693811074918566,0.8216612377850163,1.0522875816993285,0.3289902280130293,4,244,0,2,-20.877568531906196,2.1876241694604737
k1_range_atr,original_preregistered,1.00-1.25,True,False,-9.327943366962254,1211,659,552,11.152305871054066,-8.847694128945935,-15.477398878948923,6.629704750002954,0.9031006030289659,0.1874483897605285,0.7968620974401321,1.0000000000000415,0.3170933113129645,4,233,2,2,-9.327943366962254,5.8396524038680955
k1_range_atr,original_preregistered,1.75-2.50,True,False,-17.398691283842254,574,307,267,3.1297480122256376,-16.87025198777437,-34.40273631820615,17.53248433043175,0.8243826321172398,0.1794425087108014,0.8048780487804879,1.1291137178233812,0.3240418118466899,4,111,2,2,-17.398691283842254,12.755500678337103
k1_range_atr,original_preregistered,>2.50,True,True,-8.198279540320687,179,100,79,16.400558509501593,-3.599441490498406,-11.881731878303281,8.282290387804853,0.9601492177960758,0.24581005586592178,0.7206703910614525,1.2867513611615848,0.36312849162011174,4,27,2,3,-8.198279540320687,30.933479707453408
