dimension,family_status,level,half,analysis_split,n,n_long,n_short,gross_bp,net_bp,control_net_bp,paired_excess_bp,profit_factor,win_rate,stop_rate,median_mfe_r,hit_2r_rate
direction,original_preregistered,short,2023H1,discovery,277,0,277,24.565780301203485,4.565780301203481,-18.396245137835376,22.962025439038797,1.0610492509226472,0.20577617328519857,0.7942238267148014,1.076923076923068,0.3176895306859206
direction,original_preregistered,short,2023H2,discovery,324,0,324,-10.069776365695473,-30.069776365695482,-45.38613343035531,15.316357064659753,0.622433518317035,0.1388888888888889,0.8487654320987654,1.007177033492831,0.30246913580246915
direction,original_preregistered,short,2024H1,discovery,339,0,339,-26.236270897286307,-46.23627089728631,-14.794835780111663,-31.441435117174702,0.5643580694898064,0.14749262536873156,0.8377581120943953,1.228571428571427,0.3303834808259587
direction,original_preregistered,short,2024H2,discovery,506,0,506,21.814811010804537,1.8148110108045221,-54.7784868959438,56.5932979067483,1.0172829475890477,0.22134387351778656,0.7687747035573123,1.2275494672754803,0.39723320158102765
direction,original_preregistered,short,2025H1,validation,572,0,572,-9.345498875043825,-29.345498875043837,-6.470379733023603,-22.875119142020303,0.7345690698451157,0.18006993006993008,0.8129370629370629,1.115129596142246,0.3041958041958042
direction,original_preregistered,short,2025H2,validation,462,0,462,-19.510891098913167,-39.51089109891317,-3.971973752181119,-35.538917346732156,0.6131510188542332,0.1406926406926407,0.8376623376623377,0.7516233766234441,0.3051948051948052
direction,original_preregistered,short,2026 Jan-Feb bridge,bridge,177,0,177,43.22313879701227,23.22313879701229,-6.970621612002645,30.193760409014924,1.2909078911748118,0.2937853107344633,0.6779661016949152,1.339552238805975,0.3672316384180791
direction,original_preregistered,short,2026 Mar-Apr fresh,fresh_preholdout,165,0,165,-9.362976669433966,-29.36297666943397,-21.635788873068815,-7.727187796365098,0.67537248832626,0.2,0.793939393939394,0.8124999999999848,0.3151515151515151
direction,original_preregistered,long,2023H1,discovery,370,370,0,-18.69344331648904,-38.693443316489045,-15.012037888490791,-23.68140542799831,0.573138824291297,0.13243243243243244,0.8486486486486486,0.7917956656346745,0.22972972972972974
direction,original_preregistered,long,2023H2,discovery,433,433,0,2.3016784558018197,-17.698321544198176,1.1918826210503783,-18.890204165248637,0.7796848143650064,0.17782909930715934,0.8013856812933026,1.0000000000000129,0.3302540415704388
direction,original_preregistered,long,2024H1,discovery,483,483,0,15.510314069996246,-4.48968593000376,-17.4259455161596,12.936259586155831,0.9544237862807605,0.18426501035196688,0.7950310559006211,1.108571428571443,0.32919254658385094
direction,original_preregistered,long,2024H2,discovery,460,460,0,22.808708753528887,2.8087087535288924,-6.2288271074695745,9.037535860998458,1.0272984059704773,0.21739130434782608,0.7652173913043478,1.1045918367346934,0.33260869565217394
direction,original_preregistered,long,2025H1,validation,523,523,0,-20.54460035217033,-40.544600352170335,-4.550280431825103,-35.994319920345305,0.6398932287338309,0.1338432122370937,0.8393881453154876,0.9878048780487872,0.29636711281070743
direction,original_preregistered,long,2025H2,validation,569,569,0,18.060689156251488,-1.9393108437485203,-18.24022076345687,16.30090991970833,0.9791277163947081,0.1827768014059754,0.81195079086116,0.9230769230769232,0.3251318101933216
direction,original_preregistered,long,2026 Jan-Feb bridge,bridge,193,193,0,8.712095371632676,-11.287904628367327,-14.73445949509205,3.4465548667246484,0.8789764382145923,0.18134715025906736,0.7772020725388601,0.9999999999999556,0.3005181347150259
direction,original_preregistered,long,2026 Mar-Apr fresh,fresh_preholdout,170,170,0,7.9502307681934985,-12.049769231806497,-6.1657218763824,-5.884047355424177,0.8458547458565752,0.17058823529411765,0.8058823529411765,1.1221570066030768,0.35294117647058826
gap_exact,original_preregistered,5,2023H1,discovery,77,46,31,-7.505882385498159,-27.50588238549818,-32.04890614836034,4.543023762862066,0.7014414905881017,0.14285714285714285,0.8441558441558441,0.9038461538461474,0.23376623376623376
gap_exact,original_preregistered,5,2023H2,discovery,103,56,47,13.372381929280195,-6.627618070719808,-44.438124229333056,37.810506158613165,0.9130525478032349,0.14563106796116504,0.8446601941747572,1.4166666666666647,0.36893203883495146
gap_exact,original_preregistered,5,2024H1,discovery,94,53,41,25.432393552434046,5.432393552434045,-43.3645065645735,48.79690011700754,1.0566648032736912,0.1702127659574468,0.8191489361702128,1.1848488807595134,0.3723404255319149
gap_exact,original_preregistered,5,2024H2,discovery,145,63,82,19.674144834608974,-0.3258551653910298,-33.49898635242919,33.17313118703812,0.9970445343593459,0.22758620689655173,0.7517241379310344,1.6153846153845826,0.4413793103448276
