dimension,family_status,selected_level,discovery_score,split,n,n_long,n_short,gross_bp,net_bp,control_net_bp,paired_excess_bp,profit_factor,win_rate,stop_rate,median_mfe_r,hit_2r_rate,net_signflip_p,excess_signflip_p,net_ci95_low_bp,net_ci95_high_bp,excess_ci95_low_bp,excess_ci95_high_bp,net_fdr_q,excess_fdr_q,passes_statistical_screen,passes_validation_gate,passes_diagnostic_screen
direction,original_preregistered,long,-13.090755746453196,discovery,1746,1746,0,6.9092442535468,-13.090755746453196,-9.34728579471241,-3.7434699517408245,0.8599755334212736,0.18041237113402062,0.800114547537228,1.0,0.30927835051546393,0.9684031596840316,0.6526347365263474,-26.085057104770705,1.2013403934355373,-21.749493517809857,15.451131879930182,,,False,False,False
direction,original_preregistered,long,-13.090755746453196,validation,1092,1092,0,-0.4288405258955944,-20.428840525895595,-11.683591831732127,-8.745248694163516,0.8003775782111762,0.15934065934065933,0.825091575091575,0.9537433155080042,0.31135531135531136,0.9839016098390161,0.7852214778522147,-38.65620793237017,-2.3901006681760775,-31.150550198968883,15.127990208144347,1.0,0.9999000099990001,False,False,False
direction,original_preregistered,long,-13.090755746453196,bridge,193,193,0,8.712095371632676,-11.287904628367327,-14.73445949509205,3.4465548667246484,0.8789764382145923,0.18134715025906736,0.7772020725388601,0.9999999999999556,0.3005181347150259,0.7179282071792821,0.43755624437556245,-45.239875541384244,27.238394849850224,-41.95298851879848,46.37903663436157,,,False,False,False
direction,original_preregistered,long,-13.090755746453196,fresh_preholdout,170,170,0,7.9502307681934985,-12.049769231806497,-6.1657218763824,-5.884047355424177,0.8458547458565752,0.17058823529411765,0.8058823529411765,1.1221570066030768,0.35294117647058826,0.7471252874712528,0.6119388061193881,-42.851159498820486,23.20275092312526,-51.37074737257566,39.9492650988135,,,False,False,False
gap_exact,original_preregistered,8,10.032411063804965,discovery,261,136,125,30.032411063804958,10.032411063804965,-21.94575323662914,31.978164300434063,1.1203829055156451,0.24521072796934865,0.7471264367816092,1.298630136986341,0.34099616858237547,0.276972302769723,0.06579342065793421,-21.555428361299715,43.12518170836845,-5.530793663996977,71.27223975100753,,,False,False,False
gap_exact,original_preregistered,8,10.032411063804965,validation,195,111,84,-12.158950562788126,-32.15895056278813,5.0094050749670345,-37.16835563775523,0.68370686888671,0.1641025641025641,0.8205128205128205,0.9500000000000112,0.2717948717948718,0.9657034296570343,0.939006099390061,-65.0593688296126,2.281399740934074,-83.1536257752733,9.362326872281612,1.0,0.9999000099990001,False,False,False
gap_exact,original_preregistered,8,10.032411063804965,bridge,56,22,34,15.819177474815287,-4.180822525184719,-4.092547260965936,-0.08827526421876393,0.9460654745266255,0.30357142857142855,0.6785714285714286,1.2150192554557184,0.3392857142857143,0.5564443555644436,0.5063493650634937,-49.68691628778453,48.23865443936994,-55.77117147182327,56.36031797935649,,,False,False,False
gap_exact,original_preregistered,8,10.032411063804965,fresh_preholdout,27,14,13,16.742581825230594,-3.257418174769403,-29.79250279759845,26.535084622829075,0.9538053419532133,0.2222222222222222,0.7407407407407407,2.0,0.48148148148148145,0.541945805419458,0.2872712728727127,-70.52761088050033,72.6538514785351,-45.14396759441488,109.11100735881533,,,False,False,False
gap_band,original_preregistered,7-8,-4.620602463655692,discovery,627,336,291,15.379397536344305,-4.620602463655692,-20.14491661581593,15.52431415216018,0.9498675625694872,0.21212121212121213,0.7767145135566188,1.0714285714286096,0.3317384370015949,0.6611338866113389,0.12488751124887511,-25.809405697268794,18.653382544303337,-10.305671819416851,40.992665702485105,,,False,False,False
gap_band,original_preregistered,7-8,-4.620602463655692,validation,429,240,189,-17.52571263003544,-37.52571263003546,1.0360067341546495,-38.56171936419017,0.6461822669777719,0.16083916083916083,0.8321678321678322,0.8891687657430687,0.29836829836829837,0.9991000899910009,0.9896010398960104,-60.639498293249765,-11.739303024137769,-69.71253736498518,-4.70707549478772,1.0,0.9999000099990001,False,False,False
gap_band,original_preregistered,7-8,-4.620602463655692,bridge,82,32,50,3.646765298893376,-16.353234701106608,-15.060472733171403,-1.2927619679352185,0.7943704790452812,0.25609756097560976,0.7073170731707317,1.2544929396662368,0.3780487804878049,0.795020497950205,0.5251474852514748,-52.494261449403034,20.072342806591717,-43.635943289033776,40.630178436233166,,,False,False,False
gap_band,original_preregistered,7-8,-4.620602463655692,fresh_preholdout,57,29,28,15.235774597842237,-4.764225402157771,-27.95599626700188,23.191770864844038,0.9377745274536382,0.19298245614035087,0.7719298245614035,1.4285714285714173,0.42105263157894735,0.5669433056694331,0.23097690230976903,-52.477218728973334,45.614406382858476,-27.045364576189424,71.46330881712541,,,False,False,False
k1_sma40_cross_depth,original_preregistered,0.05-0.20,-9.992038969395013,discovery,831,458,373,11.665808767337527,-8.334191232662475,-22.082346978465754,13.748155745803233,0.9128281400578377,0.18050541516245489,0.802647412755716,1.0588235294117585,0.3309265944645006,0.7843215678432157,0.12708729127087293,-28.819046907644086,12.956228957501425,-8.209269121428148,37.697994918982815,,,False,False,False
k1_sma40_cross_depth,original_preregistered,0.05-0.20,-9.992038969395013,validation,504,237,267,-4.872737563550641,-24.872737563550643,-2.8442146795391117,-22.02852288401161,0.7588130210242834,0.15674603174603174,0.8214285714285714,0.9537433155080042,0.2876984126984127,0.9698030196980302,0.9038096190380962,-50.43047798022028,0.7082755374337562,-53.100443616048096,14.186650561058105,1.0,0.9999000099990001,False,False,False
