profile,split,horizon_bars,target_r,n,hit_rate,mean_net_bp,profit_factor
SMA40 core,discovery,24,1,3192,0.48966165413533835,-18.879735592955214,0.6852573397210087
SMA40 core,discovery,24,2,3192,0.32550125313283207,-16.75004144665084,0.7855053100176547
SMA40 core,discovery,24,3,3192,0.2349624060150376,-15.041576665717944,0.8252062784219363
SMA40 core,discovery,24,5,3192,0.13220551378446116,-14.111238085242537,0.8453649167678119
SMA40 core,discovery,12,1,3192,0.48370927318295737,-18.123980364473343,0.6896329664372771
SMA40 core,discovery,12,2,3192,0.3026315789473684,-16.413888539326894,0.7782958221955041
SMA40 core,discovery,12,3,3192,0.19486215538847118,-15.93189574813212,0.7999447810018322
SMA40 core,discovery,12,5,3192,0.09555137844611529,-14.38785982979594,0.8252781377897538
SMA40 core,discovery,48,1,3192,0.49154135338345867,-18.687096459166323,0.6896572654244718
SMA40 core,discovery,48,2,3192,0.3308270676691729,-16.40441313722241,0.7920809000870526
SMA40 core,discovery,48,3,3192,0.24843358395989976,-14.358997875979552,0.8368634636049881
SMA40 core,discovery,48,5,3192,0.15225563909774437,-14.63670229493985,0.8474289096066709
SMA40 core,validation,24,1,2126,0.46048918156161806,-29.09737579674765,0.5810066166239908
SMA40 core,validation,24,2,2126,0.30809031044214485,-27.89093461618972,0.6820643240465051
SMA40 core,validation,24,3,2126,0.22389463781749766,-26.21650923006859,0.725804214052931
SMA40 core,validation,24,5,2126,0.12276575729068674,-28.335285995740843,0.7214439885045821
SMA40 core,validation,12,1,2126,0.45625587958607716,-28.774279238746995,0.5805561879291739
SMA40 core,validation,12,2,2126,0.2888052681091251,-25.672682046831493,0.6935667630497919
SMA40 core,validation,12,3,2126,0.18438381937911572,-25.67141838580234,0.7116777834631448
SMA40 core,validation,12,5,2126,0.0832549388523048,-27.06367020266992,0.7070045029261419
SMA40 core,validation,48,1,2126,0.4614299153339605,-28.97729239475531,0.5834333146899111
SMA40 core,validation,48,2,2126,0.31091251175917217,-28.382097282475424,0.6801125553715447
SMA40 core,validation,48,3,2126,0.23471307619943557,-26.61770862814308,0.7280505818361495
SMA40 core,validation,48,5,2126,0.14299153339604892,-30.058108731238416,0.7190664637416542
SMA40 core,bridge,24,1,370,0.5216216216216216,-5.074011680229463,0.9108489587716911
SMA40 core,bridge,24,2,370,0.3324324324324324,-5.133090251758696,0.9312014021821361
SMA40 core,bridge,24,3,370,0.23783783783783785,-1.3212793162058898,0.983218267820462
SMA40 core,bridge,24,5,370,0.14864864864864866,-0.4362721581011136,0.9948490417447908
SMA40 core,bridge,12,1,370,0.4972972972972973,-5.012612930269925,0.9067989026745339
SMA40 core,bridge,12,2,370,0.2891891891891892,1.4031611230216021,1.0207836341346392
SMA40 core,bridge,12,3,370,0.1891891891891892,7.2236330671239966,1.102463532265373
SMA40 core,bridge,12,5,370,0.1,9.29809884767061,1.1274819735398462
SMA40 core,bridge,48,1,370,0.5216216216216216,-6.502465087532675,0.8885480803792042
SMA40 core,bridge,48,2,370,0.35945945945945945,1.09969382223784,1.0139506287097702
SMA40 core,bridge,48,3,370,0.2594594594594595,4.892591962384729,1.0568269638893997
SMA40 core,bridge,48,5,370,0.17027027027027028,5.425546598761032,1.0572697904427308
SMA40 core,fresh_preholdout,24,1,335,0.47761194029850745,-27.192121204044152,0.5177793849608275
SMA40 core,fresh_preholdout,24,2,335,0.33432835820895523,-25.821349906195792,0.6391873668916638
SMA40 core,fresh_preholdout,24,3,335,0.23582089552238805,-27.29037264896741,0.6495021115640911
SMA40 core,fresh_preholdout,24,5,335,0.1373134328358209,-27.743938411407942,0.6652035479597646
SMA40 core,fresh_preholdout,12,1,335,0.4716417910447761,-27.692353126653895,0.5083290015250157
SMA40 core,fresh_preholdout,12,2,335,0.3044776119402985,-26.225647698016054,0.6211613577284774
SMA40 core,fresh_preholdout,12,3,335,0.1880597014925373,-30.90162367628653,0.5840514626901248
SMA40 core,fresh_preholdout,12,5,335,0.07462686567164178,-32.964083100393445,0.5702027414108968
SMA40 core,fresh_preholdout,48,1,335,0.47761194029850745,-27.192121204044152,0.5177793849608275
SMA40 core,fresh_preholdout,48,2,335,0.33432835820895523,-26.034747353606658,0.6372870453007748
SMA40 core,fresh_preholdout,48,3,335,0.2537313432835821,-25.87738494959084,0.6761445937124524
SMA40 core,fresh_preholdout,48,5,335,0.16417910447761194,-25.19477282470839,0.7109683963556381
anchor score >=70,discovery,24,1,553,0.5135623869801085,-12.638893523173286,0.7899534098462143
anchor score >=70,discovery,24,2,553,0.3435804701627486,-8.623167386783441,0.8919660621900531
anchor score >=70,discovery,24,3,553,0.2423146473779385,-7.465556554387256,0.9155071777184227
anchor score >=70,discovery,24,5,553,0.12115732368896925,-21.432582438783296,0.7760784670577151
anchor score >=70,discovery,12,1,553,0.5045207956600362,-12.461023947748416,0.7878164309857595
anchor score >=70,discovery,12,2,553,0.31103074141048825,-9.42243171168671,0.8754533724254555
anchor score >=70,discovery,12,3,553,0.189873417721519,-10.948679051789313,0.8652296773040733
anchor score >=70,discovery,12,5,553,0.081374321880651,-18.36005044995889,0.7843313665838266
anchor score >=70,discovery,48,1,553,0.515370705244123,-12.181216221095767,0.7990174091590238
anchor score >=70,discovery,48,2,553,0.3508137432188065,-7.496703767777058,0.9064421748640612
anchor score >=70,discovery,48,3,553,0.26763110307414106,-5.129780456258174,0.9431918899399646
anchor score >=70,discovery,48,5,553,0.15009041591320071,-17.83505775068008,0.8235859192619559
anchor score >=70,validation,24,1,394,0.44416243654822335,-39.213475180914884,0.5127056788795894
anchor score >=70,validation,24,2,394,0.31218274111675126,-27.79689569328809,0.7080159679885266
anchor score >=70,validation,24,3,394,0.21065989847715735,-28.002245057754642,0.727450814934493
anchor score >=70,validation,24,5,394,0.1116751269035533,-29.54329441712126,0.7302781761214537
anchor score >=70,validation,12,1,394,0.4365482233502538,-40.83680666609091,0.49353514798824766
anchor score >=70,validation,12,2,394,0.27918781725888325,-31.46745954201845,0.6636403842909605
anchor score >=70,validation,12,3,394,0.1700507614213198,-28.70013267857649,0.7067267836506093
anchor score >=70,validation,12,5,394,0.07360406091370558,-32.42403386984799,0.6846241914132808
anchor score >=70,validation,48,1,394,0.4467005076142132,-38.76359760684657,0.5182961751575019
anchor score >=70,validation,48,2,394,0.3223350253807107,-25.41837259415065,0.7330004400814398
anchor score >=70,validation,48,3,394,0.233502538071066,-23.71773072520398,0.7738302579268072
anchor score >=70,validation,48,5,394,0.12944162436548223,-38.84717380983884,0.668105345013834
anchor score >=70,bridge,24,1,51,0.5882352941176471,28.68289867589415,1.4985282630093582
anchor score >=70,bridge,24,2,51,0.3333333333333333,17.615528032964615,1.1999831166222203
anchor score >=70,bridge,24,3,51,0.21568627450980393,10.930207126000166,1.1208759001618935
anchor score >=70,bridge,24,5,51,0.11764705882352941,-10.598721973033106,0.8952489044089184
anchor score >=70,bridge,12,1,51,0.47058823529411764,19.53608934637451,1.378411470962773
anchor score >=70,bridge,12,2,51,0.2549019607843137,13.721492309474947,1.1963250030010177
anchor score >=70,bridge,12,3,51,0.17647058823529413,24.03368468174686,1.3438702665023776
anchor score >=70,bridge,12,5,51,0.058823529411764705,17.84224348354277,1.2551527933241335
anchor score >=70,bridge,48,1,51,0.5882352941176471,20.509891856989867,1.3121361589161926
anchor score >=70,bridge,48,2,51,0.3333333333333333,-15.542304083010167,0.8654165515813311
anchor score >=70,bridge,48,3,51,0.21568627450980393,-56.483447805022934,0.5849049605380302
anchor score >=70,bridge,48,5,51,0.11764705882352941,-89.68199699309106,0.4093298770022255
anchor score >=70,fresh_preholdout,24,1,72,0.5,-22.936304712348182,0.6172659894813448
anchor score >=70,fresh_preholdout,24,2,72,0.3611111111111111,-21.72101742991273,0.7213966764647213
anchor score >=70,fresh_preholdout,24,3,72,0.2361111111111111,-29.4623388885659,0.6601927710887534
anchor score >=70,fresh_preholdout,24,5,72,0.09722222222222222,-46.0533666886926,0.5094086618910892
anchor score >=70,fresh_preholdout,12,1,72,0.4861111111111111,-25.816109872959046,0.5782121447221791
anchor score >=70,fresh_preholdout,12,2,72,0.3194444444444444,-27.23133189312124,0.6464667438937824
anchor score >=70,fresh_preholdout,12,3,72,0.18055555555555555,-37.13262662271225,0.5552500321334557
anchor score >=70,fresh_preholdout,12,5,72,0.06944444444444445,-52.81154009598721,0.4092900242097846
anchor score >=70,fresh_preholdout,48,1,72,0.5,-22.936304712348182,0.6172659894813448
anchor score >=70,fresh_preholdout,48,2,72,0.3611111111111111,-21.72101742991273,0.7213966764647213
anchor score >=70,fresh_preholdout,48,3,72,0.25,-29.801204282002804,0.6693874825109961
anchor score >=70,fresh_preholdout,48,5,72,0.125,-54.894857940785904,0.4634903950675612
anchor score >=80,discovery,24,1,48,0.5,-15.792640644119414,0.7543298092298324
anchor score >=80,discovery,24,2,48,0.2916666666666667,-10.729241930969792,0.8684262187933603
anchor score >=80,discovery,24,3,48,0.16666666666666666,-20.273604249834957,0.7824534538694872
anchor score >=80,discovery,24,5,48,0.08333333333333333,-27.525289808477282,0.7190363883103961
anchor score >=80,discovery,12,1,48,0.5,-11.216163015062808,0.8108224901218064
anchor score >=80,discovery,12,2,48,0.25,-13.079142882880637,0.8216903295236898
anchor score >=80,discovery,12,3,48,0.14583333333333334,-10.34188994178482,0.8693412503987156
anchor score >=80,discovery,12,5,48,0.08333333333333333,-12.878207090776748,0.8456748379372463
anchor score >=80,discovery,48,1,48,0.5,-15.953780431248852,0.7642172466301212
