profile,split,cost_bp,n,gross_bp,net_bp,profit_factor
SMA40 core,discovery,0.0,3192,5.560730765954819,5.560730765954819,1.0719425504062505
SMA40 core,discovery,10.0,3192,5.560730765954819,-4.4392692340451845,0.9480469889043649
SMA40 core,discovery,20.0,3192,5.560730765954819,-14.439269234045181,0.8457823458610392
SMA40 core,discovery,30.0,3192,5.560730765954819,-24.43926923404518,0.7599809037722236
SMA40 core,validation,0.0,2126,-6.974577092427532,-6.974577092427532,0.9205165069020423
SMA40 core,validation,10.0,2126,-6.974577092427532,-16.974577092427538,0.8234002935009567
SMA40 core,validation,20.0,2126,-6.974577092427532,-26.974577092427538,0.7418829089061599
SMA40 core,validation,30.0,2126,-6.974577092427532,-36.97457709242754,0.6725050488752319
SMA40 core,bridge,0.0,370,25.221432361611566,25.221432361611566,1.352288633216309
SMA40 core,bridge,10.0,370,25.221432361611566,15.221432361611566,1.1921784084095193
SMA40 core,bridge,20.0,370,25.221432361611566,5.2214323616115665,1.0601265636728596
SMA40 core,bridge,30.0,370,25.221432361611566,-4.778567638388433,0.9494511094964686
SMA40 core,fresh_preholdout,0.0,335,-0.5771699100409274,-0.5771699100409274,0.991510974565577
SMA40 core,fresh_preholdout,10.0,335,-0.5771699100409274,-10.577169910040926,0.8609785057694426
SMA40 core,fresh_preholdout,20.0,335,-0.5771699100409274,-20.57716991004093,0.7556729136967995
SMA40 core,fresh_preholdout,30.0,335,-0.5771699100409274,-30.577169910040926,0.6689672558015453
anchor score >=70,discovery,0.0,553,-16.123349478706185,-16.123349478706185,0.8052325279646473
anchor score >=70,discovery,10.0,553,-16.123349478706185,-26.123349478706185,0.7124488367067029
anchor score >=70,discovery,20.0,553,-16.123349478706185,-36.12334947870619,0.6347958469709664
anchor score >=70,discovery,30.0,553,-16.123349478706185,-46.12334947870618,0.5688577480128787
anchor score >=70,validation,0.0,394,-10.299516983385498,-10.299516983385498,0.8911279743934142
anchor score >=70,validation,10.0,394,-10.299516983385498,-20.299516983385505,0.802441917893455
anchor score >=70,validation,20.0,394,-10.299516983385498,-30.2995169833855,0.7268461636762494
anchor score >=70,validation,30.0,394,-10.299516983385498,-40.299516983385494,0.6616253363741907
anchor score >=70,bridge,0.0,51,29.16611467752177,29.16611467752177,1.331833385144724
anchor score >=70,bridge,10.0,51,29.16611467752177,19.16611467752176,1.2014331637259033
anchor score >=70,bridge,20.0,51,29.16611467752177,9.166114677521756,1.08950964232337
anchor score >=70,bridge,30.0,51,29.16611467752177,-0.8338853224782343,0.9923956202489126
anchor score >=70,fresh_preholdout,0.0,72,-34.41543414052161,-34.41543414052161,0.5629467897313878
anchor score >=70,fresh_preholdout,10.0,72,-34.41543414052161,-44.41543414052162,0.4883003966194181
anchor score >=70,fresh_preholdout,20.0,72,-34.41543414052161,-54.415434140521604,0.42682127647634693
anchor score >=70,fresh_preholdout,30.0,72,-34.41543414052161,-64.41543414052161,0.37539992979396336
anchor score >=80,discovery,0.0,48,-15.31856634770296,-15.31856634770296,0.8134932698624021
anchor score >=80,discovery,10.0,48,-15.31856634770296,-25.318566347702966,0.7188412562201308
anchor score >=80,discovery,20.0,48,-15.31856634770296,-35.318566347702955,0.6394867400199598
anchor score >=80,discovery,30.0,48,-15.31856634770296,-45.318566347702955,0.5719984648970541
anchor score >=80,validation,0.0,33,-3.3705090522755436,-3.3705090522755436,0.9658889517603018
anchor score >=80,validation,10.0,33,-3.3705090522755436,-13.370509052275546,0.8743203722906371
anchor score >=80,validation,20.0,33,-3.3705090522755436,-23.370509052275548,0.7949261133440966
anchor score >=80,validation,30.0,33,-3.3705090522755436,-33.37050905227555,0.7254295947533335
anchor score >=80,bridge,0.0,6,44.264735602689164,44.264735602689164,1.724977098785472
anchor score >=80,bridge,10.0,6,44.264735602689164,34.264735602689164,1.5187167498730518
anchor score >=80,bridge,20.0,6,44.264735602689164,24.26473560268916,1.3414839582926965
anchor score >=80,bridge,30.0,6,44.264735602689164,14.264735602689168,1.1875538746661645
anchor score >=80,fresh_preholdout,0.0,4,-136.65106393424176,-136.65106393424176,0.0
anchor score >=80,fresh_preholdout,10.0,4,-136.65106393424176,-146.65106393424176,0.0
anchor score >=80,fresh_preholdout,20.0,4,-136.65106393424176,-156.65106393424176,0.0
anchor score >=80,fresh_preholdout,30.0,4,-136.65106393424176,-166.65106393424173,0.0
