profile,split,horizon_bars,n,n_long,n_short,gross_bp,net_bp,control_net_bp,paired_excess_bp,profit_factor,win_rate,stop_rate,median_mfe_r,hit_2r_rate
SMA40 core,discovery,12,65,40,25,0.9871135082716769,-19.01288649172826,-11.049055901792538,-7.963830589935735,0.593493785532054,0.16923076923076924,0.7538461538461538,1.0781122864117254,0.3230769230769231
SMA40 core,discovery,24,65,40,25,-10.66839257383235,-30.668392573832342,-14.077081645654218,-16.59131092817827,0.4388543069436846,0.09230769230769231,0.8461538461538461,1.1112748710390266,0.3230769230769231
SMA40 core,discovery,48,65,40,25,-7.3589681864459555,-27.35896818644596,-2.408869129789354,-24.950099056656686,0.49312506088690433,0.12307692307692308,0.8769230769230769,1.1711429131542896,0.3384615384615385
SMA40 core,validation,12,33,15,18,-5.433835741419908,-25.433835741419855,-14.092764422818666,-11.341071318601053,0.47265653241684114,0.24242424242424243,0.6666666666666666,0.9424478201803242,0.30303030303030304
SMA40 core,validation,24,33,15,18,-21.08458498677688,-41.08458498677688,-28.768716530786673,-12.31586845599011,0.27799558088853865,0.21212121212121213,0.7575757575757576,0.9424478201803242,0.36363636363636365
SMA40 core,validation,48,33,15,18,-35.000238856704875,-55.000238856704854,-31.679116800097002,-23.32112205660781,0.194375748494795,0.06060606060606061,0.9090909090909091,0.9424478201803242,0.36363636363636365
SMA40 core,bridge,12,6,3,3,-23.952130506636166,-43.952130506636166,-26.48543819503517,-17.466692311600887,0.18891233708558022,0.16666666666666666,0.8333333333333334,0.7302343136910625,0.16666666666666666
SMA40 core,bridge,24,6,3,3,-19.037695608189004,-39.037695608189004,9.51561751081583,-48.55331311900472,0.27960276483912766,0.16666666666666666,0.8333333333333334,0.7302343136910625,0.16666666666666666
SMA40 core,bridge,48,6,3,3,-44.43585723991717,-64.43585723991717,3.9058739053091704,-68.34173114522622,0.0,0.0,1.0,0.7302343136910625,0.16666666666666666
SMA40 core,fresh_preholdout,12,7,4,3,-42.136352166258575,-62.136352166258575,-21.013304593905,-41.123047572353286,0.30867661545440445,0.14285714285714285,0.8571428571428571,0.5947786606129661,0.2857142857142857
SMA40 core,fresh_preholdout,24,7,4,3,-12.100303829235283,-32.10030382923529,-7.262636718625427,-24.837667110609996,0.642854948600934,0.14285714285714285,0.8571428571428571,0.5947786606129661,0.2857142857142857
SMA40 core,fresh_preholdout,48,7,4,3,-27.860076390766572,-47.86007639076657,-9.659920503765287,-38.200155887001145,0.4675131570880601,0.14285714285714285,0.8571428571428571,0.5947786606129661,0.2857142857142857
anchor score >=70,discovery,12,12,7,5,9.43827047281216,-10.561729527187667,6.2359291916157495,-16.797658718803582,0.7670370884209061,0.16666666666666666,0.5833333333333334,1.3855275391419397,0.25
anchor score >=70,discovery,24,12,7,5,-13.992440950714752,-33.992440950714744,-1.0582401338659189,-32.93420081684892,0.49914884550082605,0.08333333333333333,0.8333333333333334,1.6354181411673456,0.25
anchor score >=70,discovery,48,12,7,5,-13.080695752167582,-33.08069575216758,-11.678522873269836,-21.402172878897833,0.4269798136595597,0.16666666666666666,0.8333333333333334,1.6354181411673456,0.25
anchor score >=70,validation,12,9,4,5,-37.47838232796811,-57.47838232796811,-16.44873264404112,-41.0296496839271,0.05080443719662747,0.1111111111111111,0.7777777777777778,0.9424478201803242,0.2222222222222222
anchor score >=70,validation,24,9,4,5,-36.55499476179944,-56.55499476179944,-31.240706987287446,-25.31428777451187,0.12895912195949422,0.1111111111111111,0.8888888888888888,0.9424478201803242,0.2222222222222222
anchor score >=70,validation,48,9,4,5,-45.53930320240233,-65.53930320240222,-35.788572731727896,-29.750730470674533,0.0,0.0,0.8888888888888888,0.9424478201803242,0.2222222222222222
anchor score >=70,fresh_preholdout,12,2,1,1,-64.42596997679,-84.42596997679,-26.732723346912,-57.693246629876995,0.0,0.0,1.0,0.305273222082153,0.0
anchor score >=70,fresh_preholdout,24,2,1,1,-64.42596997679,-84.42596997679,-30.424500828941,-54.0014691478495,0.0,0.0,1.0,0.305273222082153,0.0
anchor score >=70,fresh_preholdout,48,2,1,1,-64.42596997679,-84.42596997679,-54.1668999444735,-30.259070032316,0.0,0.0,1.0,0.305273222082153,0.0
anchor score >=80,discovery,12,2,1,1,-12.078783241327999,-32.0787832413275,91.289311172936,-123.368094414264,0.0,0.0,0.5,1.263697982260305,0.0
anchor score >=80,discovery,24,2,1,1,-67.34593795721649,-87.3459379572165,85.8839605166005,-173.2298984738175,0.0,0.0,1.0,1.6789872384586482,0.0
anchor score >=80,discovery,48,2,1,1,-67.34593795721649,-87.3459379572165,78.15216732995549,-165.49810528717254,0.0,0.0,1.0,1.6789872384586482,0.0
anchor score >=80,validation,12,1,0,1,-24.496400870486,-44.496400870486,1.831655753547,-46.328056624033,0.0,0.0,1.0,0.3796507213363789,0.0
anchor score >=80,validation,24,1,0,1,-24.496400870486,-44.496400870486,89.664163151545,-134.160564022031,0.0,0.0,1.0,0.3796507213363789,0.0
anchor score >=80,validation,48,1,0,1,-24.496400870486,-44.496400870486,24.8837846703,-69.380185540786,0.0,0.0,1.0,0.3796507213363789,0.0
