symbol,timeframe_min,arm,policy,year,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r
BTCUSDT,5,joint,htf_slope,2025,61,14,47,0,0.22950819672131148,0.14193230297937104,0.34913405226083943,0.2786885245901639,-0.7549011383538425,-46.0489694395844,-1.373155259366001,-26.602759496846684,-6.602759496846736,0.3621910455567887,1.867837010255071,-1.5361422890033065,7.559304817650013,-3.1672186878725976,46.04896943958438,3.5614754098360657,2.6666666666666665,36.599673045484,53,40,3,2,0,22,27,1,60,39,46,0,42,22,28,0,31,13,17,0,17,3,4,0,10,1,1,0,3,0,0,0,2,0,0,0
BTCUSDT,5,joint,htf_slope,2026,48,15,33,0,0.3125,0.199456833730646,0.45333071530003416,0.375,-0.5996395602220758,-28.78269889065964,-1.3273954302817905,-6.550704909639727,13.449295090360229,0.41167580952559374,1.3426997176039894,-1.4825210501430146,6.017804384485819,-2.9864004944376705,30.17536949363099,5.298611111111111,3.9166666666666665,41.969729270311,42,29,3,1,0,17,20,0,47,28,32,1,35,16,20,1,27,10,12,1,17,3,3,0,12,1,1,0,3,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2021,24,6,18,0,0.25,0.11999366158732966,0.4489944416883343,0.25,-0.5085292345079025,-12.20470162818966,-1.2035406542981533,-40.26082375048079,-20.260823750480753,0.4563501322037787,1.7074767944882823,-1.247197910839964,3.693264643263851,-1.604918728261414,12.204701628189657,3.34375,2.791666666666667,75.0381893935685,19,16,0,0,0,10,12,0,24,16,18,0,16,9,10,0,13,6,7,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2022,95,23,72,0,0.24210526315789474,0.1670884004170714,0.33716820855460794,0.25263157894736843,-0.6677769229042108,-63.43880767590002,-1.2404744027303762,-33.84597348813123,-13.84597348813123,0.38648768233353187,1.7375589445601272,-1.4361481027886522,3.844988712984689,-6.022089552238253,64.60646095053036,3.7254385964912275,2.3333333333333335,63.115930368877,75,63,1,0,0,38,44,6,93,61,70,1,57,30,34,1,44,19,21,0,30,7,8,0,17,1,1,0,0,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2023,100,23,77,0,0.23,0.15843265832598313,0.3215438310092749,0.25,-0.7538144341241412,-75.38144341241411,-1.4683242873129232,-7.731621598136744,12.268378401863238,0.43280618294064277,2.5009129849760376,-1.7260057411280905,3.908206335973326,-5.424210526316122,75.38144341241411,3.4575,1.9166666666666667,31.391769198743,76,69,2,0,0,37,42,7,97,66,74,0,71,43,48,1,51,24,28,1,34,10,12,0,22,1,1,0,0,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2024,103,25,78,0,0.24271844660194175,0.17015036700232905,0.3337875185811638,0.2912621359223301,-0.5366328577804478,-55.27318435138612,-1.3532364597093738,-17.922463316300288,2.0775366836996696,0.5166296907076836,2.3630552052477345,-1.4660200574689677,3.76698654353562,-3.132268656716545,57.36638997631637,3.490291262135922,2.75,41.984131061348,79,72,5,0,0,39,43,2,99,68,74,2,69,41,44,1,49,22,24,0,28,6,6,0,19,1,1,0,0,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2025,88,20,68,0,0.22727272727272727,0.15221745253159252,0.3251427659941233,0.25,-0.8584798072765522,-75.54622304033659,-1.411881099045842,-28.379108666395428,-8.379108666395442,0.2936591239076619,1.570405906231165,-1.5728579583082336,3.6013061561313693,-3.1672186878725976,79.88594893033664,3.5,1.8333333333333335,36.384259862574005,70,58,2,0,0,29,36,3,87,57,67,0,63,35,43,0,43,17,23,0,24,4,5,0,13,0,0,0,0,0,0,0,0,0,0,0
BTCUSDT,5,joint,take_4r,2026,67,18,49,0,0.26865671641791045,0.17722204852487156,0.38518109097082254,0.3283582089552239,-0.6225260452939834,-41.709245034696885,-1.377384057971033,-9.397979547054044,10.602020452945895,0.43400494322326383,1.776813566992511,-1.5039161069502467,3.7965362383281342,-2.9864004944376705,41.70924503469688,4.4216417910447765,2.5833333333333335,38.341366762559,54,45,4,0,0,22,25,0,65,43,47,2,43,21,25,2,33,13,15,1,21,4,4,0,16,2,2,0,0,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,baseline,2021,53,12,41,0,0.22641509433962265,0.13454630954026942,0.3552627036210269,0.2830188679245283,-0.2691878972756378,-14.266958555608804,-1.184202148168553,-27.805995443318235,-7.805995443318238,0.6892131634832542,2.6365808983423613,-1.1196568130662716,6.2726966484547475,-1.5583895486935926,20.961922501483503,4.622641509433963,3.3333333333333335,78.14113597246102,46,35,3,3,0,24,30,0,53,35,41,0,32,18,20,1,24,10,12,1,15,3,3,0,13,2,2,0,5,0,0,0,0,0,0,0
BTCUSDT,5,ordinary,baseline,2022,224,51,173,0,0.22767857142857142,0.1776274898463969,0.286912455609442,0.2857142857142857,-0.6276299390248502,-140.58910634156643,-1.2296364967154414,-25.062778716106816,-5.062778716106865,0.41798788858008984,1.9797628479339398,-1.3962833039664586,22.050680901542325,-6.022089552238253,142.97416476081065,4.689360119047619,2.8333333333333335,59.312554487602995,197,152,13,4,2,92,110,9,218,146,167,2,148,81,97,2,111,50,60,0,77,23,28,0,47,12,13,0,17,2,2,0,4,0,0,0
