symbol,timeframe_min,arm,policy,fold,censored,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,random_mean_net_bp,target_matched_net_bp,matched_n,excess_weeks,excess_mean_excess_bp,excess_ci_low_bp,excess_ci_high_bp,excess_p_one_sided,excess_minimum_p_resolution,later_excess_p_holm_36
BTCUSDT,5,joint,baseline,all,0,477,111,366,0,0.23270440251572327,0.19701092375821885,0.2726687486367708,0.27044025157232704,-0.6036382773196334,-287.9354582814651,-1.3332648520710078,-17.319039328839402,2.680960671160567,0.4828344187596438,2.4218139625190753,-1.5211934648117007,22.050680901542325,-6.022089552238253,287.9354582814653,4.168413696715583,2.6666666666666665,43.024523335825,427,327,18,16,3,179,206,18,465,315,354,5,319,183,208,5,233,105,122,2,143,35,39,0,92,9,9,0,45,2,2,0,9,0,0,0,-19.51298049245956,-17.319039328839402,477,228,2.1939411636199004,-9.818319416433486,14.698195315111862,0.36566343365663434,9.999000099990002e-05,
BTCUSDT,5,joint,baseline,earlier,0,297,66,231,0,0.2222222222222222,0.17865679535227635,0.2728815643752484,0.25925925925925924,-0.5438515343914718,-161.52390571426713,-1.308366419294999,-17.022565404920154,2.977434595079817,0.5365284702875321,2.833104428145209,-1.508696095116238,22.050680901542325,-6.022089552238253,161.81178751150208,4.19023569023569,2.75,45.179706584966,265,206,11,11,3,119,136,13,288,197,222,3,196,117,130,3,146,71,80,1,89,24,27,0,59,6,6,0,33,2,2,0,6,0,0,0,-19.73432023629413,-17.022565404920154,297,140,2.7117548313737085,-13.563110600733417,20.772018277240768,0.37896210378962103,9.999000099990002e-05,
BTCUSDT,5,joint,baseline,later,0,180,45,135,0,0.25,0.19241308897255738,0.3180346601496262,0.28888888888888886,-0.7022864031511002,-126.41155256719804,-1.3808985914332312,-17.808221303306162,2.191778696693805,0.39297594019452625,1.8185879462674117,-1.5425778529572711,7.559304817650013,-3.1672186878725976,126.41155256719809,4.132407407407408,2.625,38.513122963235,162,121,7,5,0,60,70,5,177,118,132,2,123,66,78,2,87,34,42,1,54,11,12,0,33,3,3,0,12,0,0,0,3,0,0,0,-19.147769915132514,-17.808221303306162,180,88,1.339548611826121,-16.59872889788028,19.712177571873852,0.45585441455854414,9.999000099990002e-05,1.0
BTCUSDT,5,joint,htf_slope,all,0,327,80,247,0,0.24464831804281345,0.2011968280614544,0.29402967539826275,0.28134556574923547,-0.611429537783847,-199.93745885531797,-1.3226851680542768,-18.46614335410396,1.5338566458960123,0.46689169217416643,2.1887939355762995,-1.5183845089126395,10.31519166666674,-6.022089552238253,200.90463876102035,4.196483180428134,2.9166666666666665,43.646793813449996,293,221,12,13,1,127,146,8,320,214,240,3,226,127,146,3,167,76,87,2,98,20,23,0,66,5,5,0,30,0,0,0,7,0,0,0,-16.238161227896637,-18.46614335410396,327,187,-2.2279821262075608,-17.794907057369976,13.102491108602939,0.603039696030397,9.999000099990002e-05,
BTCUSDT,5,joint,htf_slope,earlier,0,205,47,158,0,0.22926829268292684,0.17701947502262433,0.2914768638049472,0.25853658536585367,-0.6120819597897585,-125.4768017569005,-1.313587826662253,-20.789344065515483,-0.7893440655155041,0.47571381123626333,2.422383645176989,-1.514739449874804,10.31519166666674,-6.022089552238253,128.60199244534513,4.201219512195122,2.8333333333333335,47.933685728014005,185,143,6,8,1,84,95,5,200,138,153,2,142,86,95,2,103,51,56,1,58,12,14,0,41,3,3,0,22,0,0,0,4,0,0,0,-12.831258490154838,-20.789344065515483,205,114,-7.958085575360897,-29.5295264927624,11.900330283359155,0.7679232076792321,9.999000099990002e-05,
BTCUSDT,5,joint,htf_slope,later,0,122,33,89,0,0.27049180327868855,0.1995703289475113,0.35542529413387874,0.319672131147541,-0.6103332549050611,-74.46065709841746,-1.3414897918788178,-14.562404453781319,5.437595546218637,0.4513338544541083,1.8561055612965298,-1.5248555125977858,7.559304817650013,-3.1672186878725976,74.83166833024401,4.188524590163935,3.041666666666667,39.432331815653,108,78,6,5,0,43,51,3,120,76,87,1,84,41,51,1,64,25,31,1,40,8,9,0,25,2,2,0,8,0,0,0,3,0,0,0,-21.962874844593927,-14.562404453781319,122,73,7.400470390812395,-12.878215098179577,29.397860244111836,0.25717428257174285,9.999000099990002e-05,1.0
BTCUSDT,5,joint,take_4r,all,0,477,115,362,0,0.24109014675052412,0.20487023848241218,0.28144693438646023,0.27044025157232704,-0.6783094447440741,-323.55360514292335,-1.3332648520710078,-20.813059381702367,-0.8130593817023881,0.41570503880826426,2.001711805286464,-1.5296974109139965,3.908206335973326,-6.022089552238253,323.55360514292335,3.655485674353599,2.3333333333333335,43.024523335825,373,323,14,0,0,175,202,18,465,311,350,5,319,179,204,5,233,101,118,2,143,31,35,0,92,5,5,0,0,0,0,0,0,0,0,0,-17.208392820468916,-20.813059381702367,477,228,-3.6046665612336963,-13.392883035841109,5.967651947622236,0.7693230676932307,9.999000099990002e-05,
BTCUSDT,5,joint,take_4r,earlier,0,297,69,228,0,0.23232323232323232,0.18789738757843555,0.28358503179536104,0.25925925925925924,-0.6519389796370876,-193.625876952215,-1.308366419294999,-22.008090838332027,-2.0080908383320484,0.4412475127412383,2.216037513581795,-1.5198792341638547,3.908206335973326,-6.022089552238253,193.62587695221504,3.5614478114478114,2.3333333333333335,45.179706584966,228,203,8,0,0,116,133,13,288,194,219,3,196,114,127,3,146,68,77,1,89,21,24,0,59,3,3,0,0,0,0,0,0,0,0,0,-14.887427966549955,-22.008090838332027,297,140,-7.120662871782323,-20.17269538196461,5.718026196709767,0.8596140385961404,9.999000099990002e-05,
BTCUSDT,5,joint,take_4r,later,0,180,46,134,0,0.25555555555555554,0.1974067747780817,0.3239199132524978,0.28888888888888886,-0.7218207121706021,-129.92772819070836,-1.3808985914332312,-18.841257478263422,1.1587425217365497,0.37299013673971854,1.6802232428434665,-1.5464029653843872,3.7965362383281342,-3.1672186878725976,129.92772819070836,3.8106481481481485,2.291666666666667,38.513122963235,145,120,6,0,0,59,69,5,177,117,131,2,123,65,77,2,87,33,41,1,54,10,11,0,33,2,2,0,0,0,0,0,0,0,0,0,-21.0379848294352,-18.841257478263422,180,88,2.1967273511715395,-11.318133515240438,16.886264417858758,0.37976202379762025,9.999000099990002e-05,1.0
BTCUSDT,5,ordinary,baseline,all,0,1070,231,839,0,0.21588785046728973,0.19227495007278464,0.24153346273202478,0.26542056074766357,-0.7221895641667737,-772.7428336584479,-1.322552388982337,-21.94598900220287,-1.945989002202914,0.3855728149255732,2.099224999538198,-1.4990033474991318,22.050680901542325,-6.8196039603945176,778.9159076458529,4.283177570093458,2.6666666666666665,42.94860834180099,933,727,53,25,4,381,472,30,1044,701,813,9,704,387,473,7,506,221,276,2,316,88,100,0,203,35,36,0,85,6,6,0,16,0,0,0,-17.520707130481885,-21.94598900220287,1070,259,-4.425281871721255,-13.09455191022041,3.744238191106166,0.8463153684631537,9.999000099990002e-05,
