symbol,timeframe_min,arm,policy,side,fold,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,matched_random_net_bp
BTCUSDT,5,joint,baseline,1,earlier,297,66,231,0,0.2222222222222222,0.17865679535227635,0.2728815643752484,0.25925925925925924,-0.5438515343914718,-161.52390571426713,-1.308366419294999,-17.022565404920154,2.977434595079817,0.5365284702875321,2.833104428145209,-1.508696095116238,22.050680901542325,-6.022089552238253,161.81178751150208,4.19023569023569,2.75,45.179706584966,265,206,11,11,3,119,136,13,288,197,222,3,196,117,130,3,146,71,80,1,89,24,27,0,59,6,6,0,33,2,2,0,6,0,0,0,-19.73432023629413
BTCUSDT,5,joint,baseline,1,later,180,45,135,0,0.25,0.19241308897255738,0.3180346601496262,0.28888888888888886,-0.7022864031511002,-126.41155256719804,-1.3808985914332312,-17.808221303306162,2.191778696693805,0.39297594019452625,1.8185879462674117,-1.5425778529572711,7.559304817650013,-3.1672186878725976,126.41155256719809,4.132407407407408,2.625,38.513122963235,162,121,7,5,0,60,70,5,177,118,132,2,123,66,78,2,87,34,42,1,54,11,12,0,33,3,3,0,12,0,0,0,3,0,0,0,-19.147769915132514
BTCUSDT,5,joint,htf_slope,1,earlier,205,47,158,0,0.22926829268292684,0.17701947502262433,0.2914768638049472,0.25853658536585367,-0.6120819597897585,-125.4768017569005,-1.313587826662253,-20.789344065515483,-0.7893440655155041,0.47571381123626333,2.422383645176989,-1.514739449874804,10.31519166666674,-6.022089552238253,128.60199244534513,4.201219512195122,2.8333333333333335,47.933685728014005,185,143,6,8,1,84,95,5,200,138,153,2,142,86,95,2,103,51,56,1,58,12,14,0,41,3,3,0,22,0,0,0,4,0,0,0,-12.831258490154838
BTCUSDT,5,joint,htf_slope,1,later,122,33,89,0,0.27049180327868855,0.1995703289475113,0.35542529413387874,0.319672131147541,-0.6103332549050611,-74.46065709841746,-1.3414897918788178,-14.562404453781319,5.437595546218637,0.4513338544541083,1.8561055612965298,-1.5248555125977858,7.559304817650013,-3.1672186878725976,74.83166833024401,4.188524590163935,3.041666666666667,39.432331815653,108,78,6,5,0,43,51,3,120,76,87,1,84,41,51,1,64,25,31,1,40,8,9,0,25,2,2,0,8,0,0,0,3,0,0,0,-21.962874844593927
BTCUSDT,5,joint,take_4r,1,earlier,297,69,228,0,0.23232323232323232,0.18789738757843555,0.28358503179536104,0.25925925925925924,-0.6519389796370876,-193.625876952215,-1.308366419294999,-22.008090838332027,-2.0080908383320484,0.4412475127412383,2.216037513581795,-1.5198792341638547,3.908206335973326,-6.022089552238253,193.62587695221504,3.5614478114478114,2.3333333333333335,45.179706584966,228,203,8,0,0,116,133,13,288,194,219,3,196,114,127,3,146,68,77,1,89,21,24,0,59,3,3,0,0,0,0,0,0,0,0,0,-14.887427966549955
BTCUSDT,5,joint,take_4r,1,later,180,46,134,0,0.25555555555555554,0.1974067747780817,0.3239199132524978,0.28888888888888886,-0.7218207121706021,-129.92772819070836,-1.3808985914332312,-18.841257478263422,1.1587425217365497,0.37299013673971854,1.6802232428434665,-1.5464029653843872,3.7965362383281342,-3.1672186878725976,129.92772819070836,3.8106481481481485,2.291666666666667,38.513122963235,145,120,6,0,0,59,69,5,177,117,131,2,123,65,77,2,87,33,41,1,54,10,11,0,33,2,2,0,0,0,0,0,0,0,0,0,-21.0379848294352
BTCUSDT,5,ordinary,baseline,-1,earlier,329,61,268,0,0.18541033434650456,0.14713266896411858,0.23094961472811787,0.25227963525835867,-0.8244069970595771,-271.2299020326009,-1.281004077518666,-30.037516656176717,-10.037516656176775,0.29247321190056247,1.8380229889416977,-1.4304078520822556,13.58846698113198,-6.8196039603945176,271.22990203260093,4.418186423505573,2.5833333333333335,45.466915255808,281,225,22,4,1,129,167,9,324,220,263,0,217,121,156,1,152,69,91,1,100,35,41,0,66,20,20,0,24,3,3,0,6,0,0,0,-15.646416543951112
BTCUSDT,5,ordinary,baseline,-1,later,194,46,148,0,0.23711340206185566,0.18273352880254756,0.30170213712529237,0.28865979381443296,-0.747915042769557,-145.09551829729406,-1.3268907926956262,-23.045427794235984,-3.045427794236036,0.3554282542189931,1.7393094245692848,-1.5209712961316293,9.250247619047604,-5.002603174603395,145.09551829729406,4.642182130584192,2.9166666666666665,41.987735525869496,165,129,10,2,0,61,78,3,188,123,142,2,129,66,83,0,94,38,49,0,54,14,15,0,39,7,7,0,13,0,0,0,1,0,0,0,-20.088759664063918
BTCUSDT,5,ordinary,baseline,1,earlier,331,72,259,0,0.2175226586102719,0.17645544997879978,0.26507129337978463,0.2628398791540785,-0.5581247320886844,-184.73928632135454,-1.3138300220750532,-14.382017409884778,5.617982590115181,0.5303652949690192,2.8976216642597135,-1.5187955449731811,22.050680901542325,-6.022089552238253,195.49039771672383,4.152316213494461,2.6666666666666665,43.521213253944005,296,230,15,14,3,125,147,12,320,219,248,4,214,125,142,3,160,76,88,0,101,28,32,0,67,7,8,0,36,3,3,0,7,0,0,0,-21.586108729017234
BTCUSDT,5,ordinary,baseline,1,later,216,52,164,0,0.24074074074074073,0.18857477299582054,0.3019671813292064,0.26851851851851855,-0.7948061435518444,-171.67812700719838,-1.3943744768322142,-20.22502082278374,-0.22502082278376548,0.32897001620681393,1.6185496002114197,-1.5600165013304401,7.559304817650013,-3.178071065989879,171.67812700719833,3.955632716049383,2.458333333333333,39.4843825546275,191,143,6,5,0,66,80,6,212,139,160,3,144,75,92,3,100,38,48,1,61,11,12,0,31,1,1,0,12,0,0,0,2,0,0,0,-11.83918621538239
