symbol,timeframe_min,arm,policy,validation_n,auc,early_q90,later_top_n,later_top_gross_bp,later_top_net_bp,later_top_win_rate,later_top_matched_random_bp
BTCUSDT,5,joint,baseline,180,0.585843621399177,0.00019010244889806265,15,43.37163418939573,23.37163418939573,0.4666666666666667,-1.398617483074373
BTCUSDT,5,joint,htf_slope,122,0.5897173987061628,0.00023973515881583785,9,71.56903349195166,51.56903349195167,0.4444444444444444,-28.400788909768398
BTCUSDT,5,joint,take_4r,180,0.5807916937053861,0.00019010244889806265,15,47.868045357567134,27.868045357567137,0.4666666666666667,-69.75197917665461
BTCUSDT,5,ordinary,baseline,410,0.5689102564102564,0.00017321263137859817,30,6.8109842805974,-13.189015719402596,0.36666666666666664,44.73626046390072
BTCUSDT,5,ordinary,htf_slope,302,0.554222972972973,0.00020840004400777894,21,19.799624733977566,-0.20037526602242683,0.38095238095238093,4.0314094376982545
BTCUSDT,5,ordinary,take_4r,410,0.5699113319692097,0.00017296014958960497,31,12.417347921046675,-7.5826520789533225,0.3870967741935484,-32.031607595672575
BTCUSDT,15,joint,baseline,45,0.4470046082949309,0.000761307529807768,0,,,,
BTCUSDT,15,joint,htf_slope,27,0.6666666666666666,0.0008953244537120009,0,,,,
BTCUSDT,15,joint,take_4r,45,0.4470046082949309,0.000761307529807768,0,,,,
BTCUSDT,15,ordinary,baseline,99,0.5066964285714286,0.0007000413736037191,2,14.441411514560997,-5.558588485439003,0.5,-31.14491309942567
BTCUSDT,15,ordinary,htf_slope,56,0.6138763197586727,0.0007713447256945984,2,14.441411514560997,-5.558588485439003,0.5,39.74863117500283
BTCUSDT,15,ordinary,take_4r,99,0.5066964285714286,0.0007000413736037191,2,39.938021353608505,19.93802135360849,0.5,-82.44931500237972
BTCUSDT,60,joint,baseline,23,0.2631578947368421,0.0008632020675425703,6,-169.41424850307183,-189.41424850307183,0.0,28.015572091172135
BTCUSDT,60,joint,htf_slope,17,0.16666666666666666,0.0012234104058708817,4,-131.08951542576847,-151.08951542576847,0.0,-8.192961278526976
BTCUSDT,60,joint,take_4r,23,0.2631578947368421,0.0008632020675425703,6,-169.41424850307183,-189.41424850307183,0.0,102.74027948808275
BTCUSDT,60,ordinary,baseline,43,0.42857142857142855,0.000883697544023108,9,-54.91415901193843,-74.91415901193844,0.1111111111111111,135.78446963023896
BTCUSDT,60,ordinary,htf_slope,33,0.38271604938271603,0.0012782406730912578,5,50.15274336011803,30.15274336011803,0.2,-147.62967490601463
BTCUSDT,60,ordinary,take_4r,43,0.42857142857142855,0.000883697544023108,9,-54.91415901193843,-74.91415901193844,0.1111111111111111,-1.7510011993510755
ETHUSDT,5,joint,baseline,184,0.5216765087138124,0.0002616468933069811,10,-3.4213041489072014,-23.421304148907204,0.4,39.71781846598589
ETHUSDT,5,joint,htf_slope,142,0.5007142857142857,0.00030228650182969035,7,-19.22741349592685,-39.22741349592685,0.42857142857142855,160.64259590864623
ETHUSDT,5,joint,take_4r,184,0.5213675213675214,0.0002616468933069811,10,3.6992217476961984,-16.300778252303804,0.4,17.631150043652347
ETHUSDT,5,ordinary,baseline,423,0.4955071324272717,0.0002555965202654388,27,-45.49778695377304,-65.497786953773,0.25925925925925924,-32.74462276946807
ETHUSDT,5,ordinary,htf_slope,315,0.47635612018552126,0.00029227845775800005,22,-57.13705789755006,-77.13705789755005,0.2727272727272727,34.77663210006885
ETHUSDT,5,ordinary,take_4r,424,0.4970133376974061,0.0002603681486583486,26,-54.935586362297734,-74.9355863622977,0.23076923076923078,-24.77228831774787
ETHUSDT,15,joint,baseline,58,0.3729166666666667,0.0006607791771131411,7,-19.395734655254426,-39.39573465525444,0.14285714285714285,32.3593109979936
ETHUSDT,15,joint,htf_slope,41,0.5055555555555555,0.0009492290374151818,6,3.486957942076669,-16.513042057923332,0.16666666666666666,74.17134467350466
ETHUSDT,15,joint,take_4r,58,0.39264990328820115,0.0006607791771131411,7,7.023690944573731,-12.976309055426295,0.14285714285714285,-67.71885071016368
ETHUSDT,15,ordinary,baseline,122,0.41544117647058826,0.0005688168819416026,16,-7.257917230344873,-27.257917230344873,0.3125,24.9258426197023
ETHUSDT,15,ordinary,htf_slope,81,0.5679012345679012,0.000747182962471588,12,-40.95183161133,-60.95183161132999,0.25,119.44044840753901
ETHUSDT,15,ordinary,take_4r,122,0.4213464696223317,0.0005688168819416026,16,18.164888948499936,-1.8351110515000641,0.3125,-79.23853858075356
ETHUSDT,60,joint,baseline,14,0.3076923076923077,0.0015213228275938388,1,-147.768114351559,-167.768114351559,0.0,78.85441851006591
ETHUSDT,60,joint,htf_slope,9,,0.001702020432785439,1,-147.768114351559,-167.768114351559,0.0,19.74316333030803
ETHUSDT,60,joint,take_4r,14,0.3076923076923077,0.0015213228275938388,1,-147.768114351559,-167.768114351559,0.0,-111.4559701658191
ETHUSDT,60,ordinary,baseline,39,0.7575757575757576,0.0014779770447779094,4,-105.3607351743775,-125.36073517437748,0.25,-174.17146503542924
ETHUSDT,60,ordinary,htf_slope,19,0.8,0.0018173546466241672,1,253.353579248496,233.353579248496,1.0,394.10891089109
ETHUSDT,60,ordinary,take_4r,39,0.7575757575757576,0.0014779770447779094,4,30.208597297665733,10.208597297665747,0.25,-89.10625520185509
