symbol,timeframe_min,arm,fold,pairs,baseline_mean_net_r,four_mean_net_r,known_touch4,touch4_then_net_loss,baseline_net5,baseline_net10,weeks,mean_excess_bp,ci_low_bp,ci_high_bp,p_one_sided,minimum_p_resolution,later_delta_p_holm_12
BTCUSDT,5,joint,earlier,297,-0.5438515343914718,-0.6519389796370876,37,3,11,3,140,-4.985525433411857,-13.091949481340713,1.6277129029549913,0.8895110488951105,9.999000099990002e-05,
BTCUSDT,5,joint,later,180,-0.7022864031511002,-0.7218207121706021,17,1,5,0,88,-1.0330361749572639,-5.0356924138847265,2.832513089491125,0.6808319168083191,9.999000099990002e-05,1.0
BTCUSDT,5,ordinary,earlier,660,-0.6908624065969022,-0.6846081102211604,79,12,18,4,156,-0.8352955775584833,-5.5359812777987525,3.375394455619011,0.64003599640036,9.999000099990002e-05,
BTCUSDT,5,ordinary,later,410,-0.772618647084128,-0.766402898530168,35,1,7,0,104,-0.5537661241959492,-2.9539498146433716,1.6195646896248796,0.6702329767023297,9.999000099990002e-05,1.0
BTCUSDT,15,joint,earlier,68,0.026962722652990975,-0.18007389451156977,11,0,4,1,55,-19.502949001046243,-53.54057821283851,4.651618526288443,0.875012498750125,9.999000099990002e-05,
BTCUSDT,15,joint,later,45,0.15840600427719034,0.22726266626914926,10,0,1,0,37,8.474032965841507,-5.916361882132819,22.305244173795337,0.1386861313868613,9.999000099990002e-05,1.0
BTCUSDT,15,ordinary,earlier,151,-0.32704272368439585,-0.4294880187177892,18,0,7,1,92,-10.280804256572372,-25.104771400239237,1.2914052806042946,0.9322067793220677,9.999000099990002e-05,
BTCUSDT,15,ordinary,later,99,0.2539819936151143,0.2221288429883436,21,0,4,1,58,-2.1126278346447407,-18.77315063250804,11.936010564852161,0.5965403459654035,9.999000099990002e-05,1.0
BTCUSDT,60,joint,earlier,28,0.44369691523226334,0.5217212496105524,7,0,1,0,27,22.201168916346496,-50.783058127578315,83.63607141929457,0.27207279272072793,9.999000099990002e-05,
BTCUSDT,60,joint,later,23,-0.6652653666710865,-0.6023330604569307,1,0,0,0,21,9.389127019228308,0.0,29.44771656030697,0.49705029497050296,9.999000099990002e-05,1.0
BTCUSDT,60,ordinary,earlier,63,0.21960029376811888,0.2914780401352062,11,0,2,0,48,19.655978351272125,-18.943120356415395,60.26652605428773,0.1795820417958204,9.999000099990002e-05,
BTCUSDT,60,ordinary,later,43,-0.3356142315459525,-0.46281993465128796,3,0,1,1,33,-24.546097669021545,-97.33667940020305,19.953211831644595,0.6285371462853715,9.999000099990002e-05,1.0
ETHUSDT,5,joint,earlier,305,-0.44159912659358874,-0.4702801281916773,34,4,7,4,145,-2.374958261106178,-10.912974246129655,4.634899983824092,0.7113288671132887,9.999000099990002e-05,
ETHUSDT,5,joint,later,184,-0.21935277121818042,-0.21092959672022163,31,1,4,1,93,-2.6029483034226266,-21.256448232703033,9.703593538736035,0.5312468753124687,9.999000099990002e-05,1.0
ETHUSDT,5,ordinary,earlier,640,-0.4889460631754197,-0.46636827644319234,81,6,16,5,155,0.7846230297459901,-5.545389334876979,6.633079278904546,0.3952604739526047,9.999000099990002e-05,
ETHUSDT,5,ordinary,later,423,-0.09020996352255693,-0.18392811751333654,72,5,14,6,105,-4.702509760744106,-16.83696058339894,5.167600841611739,0.795920407959204,9.999000099990002e-05,1.0
ETHUSDT,15,joint,earlier,54,0.3383963545082157,0.01819795178170926,10,0,5,1,52,-33.5652370150786,-96.43180656268072,7.179094492148003,0.8514148585141486,9.999000099990002e-05,
ETHUSDT,15,joint,later,58,-0.45899310464601056,-0.35966422638444717,7,1,2,0,44,8.300884512154337,-6.93774628158556,25.669429002021285,0.15558444155584442,9.999000099990002e-05,1.0
ETHUSDT,15,ordinary,earlier,145,-0.022984237428992842,-0.08454524447482727,25,2,9,1,97,-11.627596955430317,-37.9275134850193,6.655461880865511,0.8132186781321867,9.999000099990002e-05,
ETHUSDT,15,ordinary,later,122,-0.14051699050659067,-0.03506146022645008,19,1,4,0,67,8.392986414935889,-7.4766265304437,23.045492354060848,0.15028497150284972,9.999000099990002e-05,1.0
ETHUSDT,60,joint,earlier,30,0.6151360628951271,0.34056592824840076,6,0,2,1,27,-44.553000366627835,-140.52660086276782,33.72218335173363,0.8112188781121887,9.999000099990002e-05,
ETHUSDT,60,joint,later,14,0.2727448293002807,-0.6983596805565909,1,0,1,1,13,-133.94370341675645,-432.74119565413616,0.0,1.0,0.0001220703125,1.0
ETHUSDT,60,ordinary,earlier,66,0.12270144531440863,-0.049644599835575356,10,0,4,1,48,-38.53225651234926,-104.37323658013773,14.76831076938901,0.8809119088091191,9.999000099990002e-05,
ETHUSDT,60,ordinary,later,39,0.18957724392978412,-0.4546004727521894,4,0,3,2,29,-95.96934702135614,-240.25634350831842,13.907386040350755,0.9392060793920608,9.999000099990002e-05,1.0
