fold,minutes,cohort,arm,month,capital_sleeves,start_equity,end_equity,initial_capital_change_bp,net_pct
audit_pre,60,all_core,base,2026-01,215,1.0,1.0418557162034854,418.55716203485383,4.185571620348538
audit_pre,60,all_core,base,2026-02,215,1.0418557162034854,1.046541212261475,46.85496057989624,0.4497260018943461
audit_pre,60,all_core,base,2026-03,215,1.046541212261475,1.032809232351184,-137.3197991029107,-1.3121298759575462
audit_pre,60,all_core,base,2026-04,215,1.032809232351184,1.0993021482754595,664.9291592427553,6.438063665727012
audit_pre,60,all_core,base,2026-05,215,1.0993021482754595,1.0924624302264736,-68.39718048985866,-0.6221872721449473
audit_pre,60,all_core,exit_chandelier,2026-01,215,1.0,1.0199230182911219,199.23018291121863,1.9923018291121863
audit_pre,60,all_core,exit_chandelier,2026-02,215,1.0199230182911219,1.0594040511137306,394.8103282260873,3.870981644159688
audit_pre,60,all_core,exit_chandelier,2026-03,215,1.0594040511137306,1.0583517276415333,-10.52323472197303,-0.09933164509716708
audit_pre,60,all_core,exit_chandelier,2026-04,215,1.0583517276415333,1.0508834721215903,-74.68255519943013,-0.7056496743842899
audit_pre,60,all_core,exit_chandelier,2026-05,215,1.0508834721215903,1.0467616002506221,-41.2187187096813,-0.39222920336225986
audit_pre,60,all_core,exit_fixed3r,2026-01,215,1.0,1.023395895986567,233.95895986566995,2.3395895986566995
audit_pre,60,all_core,exit_fixed3r,2026-02,215,1.023395895986567,1.0585268423379925,351.3094635142555,3.432781633109716
audit_pre,60,all_core,exit_fixed3r,2026-03,215,1.0585268423379925,1.0436659124089944,-148.60929928998124,-1.4039256573007086
audit_pre,60,all_core,exit_fixed3r,2026-04,215,1.0436659124089944,1.0326534756691101,-110.1243673988428,-1.0551687670305676
audit_pre,60,all_core,exit_fixed3r,2026-05,215,1.0326534756691101,1.0289605452794275,-36.92930389682658,-0.3576156451988721
audit_pre,60,all_core,exit_sma60,2026-01,215,1.0,1.03346002158821,334.6002158820993,3.346002158820993
audit_pre,60,all_core,exit_sma60,2026-02,215,1.03346002158821,1.0371227078776717,36.62686289461759,0.3544100606652334
audit_pre,60,all_core,exit_sma60,2026-03,215,1.0371227078776717,1.0300660544282865,-70.5665344938522,-0.680406801990252
audit_pre,60,all_core,exit_sma60,2026-04,215,1.0300660544282865,1.1653799559212963,1353.139014930098,13.136429543648308
audit_pre,60,all_core,exit_sma60,2026-05,215,1.1653799559212963,1.1592016616397507,-61.78294281545593,-0.5301527840901765
audit_pre,60,all_core,gate_box_break,2026-01,215,1.0,1.0108942340414302,108.94234041430195,1.0894234041430195
audit_pre,60,all_core,gate_box_break,2026-02,215,1.0108942340414302,1.0041945072190428,-66.99726822387397,-0.6627525013771951
audit_pre,60,all_core,gate_box_break,2026-03,215,1.0041945072190428,1.0079848927692254,37.903855501826285,0.37745531597055404
audit_pre,60,all_core,gate_box_break,2026-04,215,1.0079848927692254,1.0037897844453163,-41.95108323909125,-0.41618761888225775
audit_pre,60,all_core,gate_box_break,2026-05,215,1.0037897844453163,1.0012509289754021,-25.388554699141697,-0.2529270081501278
audit_pre,60,high_vol,base,2026-01,215,1.0,1.0122193277313813,122.19327731381347,1.2219327731381346
audit_pre,60,high_vol,base,2026-02,215,1.0122193277313813,1.0228021932320923,105.82865500710969,1.0455111072053658
audit_pre,60,high_vol,base,2026-03,215,1.0228021932320923,1.0323582523824317,95.56059150339414,0.9343017851909385
audit_pre,60,high_vol,base,2026-04,215,1.0323582523824317,1.1357296690060097,1033.7141662357797,10.013134140694069
audit_pre,60,high_vol,base,2026-05,215,1.1357296690060097,1.1332409604922393,-24.887085137703657,-0.2191285991452907
audit_pre,60,high_vol,exit_chandelier,2026-01,215,1.0,1.002743196306714,27.431963067139353,0.27431963067139353
