symbol,minutes,fold,status,bars,warmed_bars,source_start,source_end_close,reason
0G,60,audit_pre,prepared,2952,2952.0,2025-09-22T11:00:00+00:00,2026-08-14T04:00:00+00:00,
0G,60,audit_seen,prepared,1656,1656.0,2025-09-22T11:00:00+00:00,2026-08-14T04:00:00+00:00,
0G,60,external_recent,prepared,796,796.0,2025-09-22T11:00:00+00:00,2026-08-14T04:00:00+00:00,
0G,240,audit_pre,prepared,738,738.0,2025-09-22T12:00:00+00:00,2026-08-14T04:00:00+00:00,
0G,240,audit_seen,prepared,414,414.0,2025-09-22T12:00:00+00:00,2026-08-14T04:00:00+00:00,
0G,240,external_recent,prepared,199,199.0,2025-09-22T12:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
1INCH,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,60,audit_pre,prepared,2952,2952.0,2025-10-02T13:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,60,audit_seen,prepared,1656,1656.0,2025-10-02T13:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,60,external_recent,prepared,796,796.0,2025-10-02T13:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,240,audit_pre,prepared,738,730.0,2025-10-02T16:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,240,audit_seen,prepared,414,414.0,2025-10-02T16:00:00+00:00,2026-08-14T04:00:00+00:00,
2Z,240,external_recent,prepared,199,199.0,2025-10-02T16:00:00+00:00,2026-08-14T04:00:00+00:00,
A,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
A,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
A,60,external_recent,prepared,796,796.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
A,240,audit_pre,prepared,738,738.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
A,240,audit_seen,prepared,414,414.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
A,240,external_recent,prepared,199,199.0,2025-06-03T16:00:00+00:00,2026-08-14T04:00:00+00:00,
ACH,60,audit_pre,prepared,2952,2952.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
ACH,60,audit_seen,prepared,1656,1656.0,2025-06-03T14:00:00+00:00,2026-08-14T04:00:00+00:00,
