fold,minutes,cohort,arm,study,n,symbols,natural_n,censored_n,selected_n,matched_n,unmatched_n,matched_symbols,mean_gross_bp,mean_net_bp,median_net_bp,natural_mean_net_bp,win_pct,profit_factor,matched_case_net_bp,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,median_capture_ratio,portfolio_net_pct,mdd_pct,adverse_mdd_bound_pct,capital_sleeves,curve_symbols,cost_bp,funding_included,excess_bp,p,months,p_resolution,ci_low,ci_high,p_holm,p_holm_primary
audit_pre,60,all_core,base,external_cross_coin_diagnostic,2655,194,2618,37,2655,2649,6,194,111.2210017408197,91.22100174081969,-216.6077211028328,89.79892667412291,24.18079096045198,1.4433879041210937,90.45489861137756,-47.3777756343715,-25.084077878243164,39.15604102138191,1.1073837386299292,-1.055384971005978,-0.7521677806828397,9.24624302264736,-21.222379348403354,-21.280011975232227,215,204,20,False,137.83267424574905,0.0625,5,0.03125,45.630745851280835,235.51207113436922,0.25,
audit_pre,60,all_core,exit_chandelier,external_cross_coin_diagnostic,2655,194,2639,16,2645,2649,6,194,54.835776356345335,34.83577635634533,-109.61408346080944,34.92069497103577,37.28813559322034,1.2522802832049909,33.126369437835514,-30.22399673117256,26.095984938853757,5.071309679493543,1.0066848299985829,-0.4543447875341557,-0.3204543410979195,4.676160025062215,-2.1724978995707245,-2.246712156385089,215,204,20,False,63.35036616900806,0.0625,5,0.03125,24.951662658884405,111.69016724913095,0.25,
audit_pre,60,all_core,exit_fixed3r,external_cross_coin_diagnostic,2655,194,2614,41,2502,2649,6,194,44.43763112200838,24.43763112200836,-234.50363822944632,22.487017985481216,29.491525423728817,1.1138188534024094,23.383293018929226,-38.333523848819404,20.90360212165863,1.4876597778430696,1.1762117304012882,-1.0629562704404645,-0.7793683809186078,2.8960545279427485,-3.85396195818134,-3.9420120543153914,215,204,20,False,61.71681686774865,0.09375,5,0.03125,13.809423345948385,123.33749047635354,0.25,
audit_pre,60,all_core,exit_sma60,external_cross_coin_diagnostic,2655,194,2628,27,2655,2649,6,194,182.08004166311932,162.08004166311932,-169.67925873129008,162.70425651696158,26.4030131826742,1.9364070220105345,161.81583929009503,4.390894988961623,-16.902993360163308,53.3954185322052,1.008754449054807,-0.7379069198260387,-0.6571428571428531,15.920166163975068,-7.753277932433988,-7.795298216315228,215,204,20,False,157.42494430113337,0.03125,5,0.03125,32.696714776554174,322.1587494214231,0.15625,
audit_pre,60,all_core,gate_box_break,external_cross_coin_diagnostic,669,188,657,12,669,666,3,188,23.893878880362827,3.8938788803628035,-237.88993905265343,1.4071690173202227,24.813153961136024,1.017721417648293,2.601700347932851,-78.34100221548037,-33.715405096316935,16.75069307833222,1.268477138027839,-1.0597074873872236,-0.6587641312724762,0.12509289754021324,-1.8355423837099538,-1.8541060552730193,215,204,20,False,80.94270256341322,0.0625,5,0.03125,31.620500432120153,145.94122704624647,0.25,
audit_pre,60,high_vol,base,external_cross_coin_diagnostic,660,145,648,12,660,656,4,145,472.7732494150763,452.7732494150763,-289.8463086239328,456.03199549662685,25.303030303030305,2.675987343375853,454.0460029683162,208.71039429575615,-14.310019834466562,64.60107532791778,1.1730357313352018,-1.039967710247737,-0.7029043447065206,13.324096049223932,-21.22985027041102,-21.274809198859835,215,204,20,False,245.33560867256008,0.03125,5,0.03125,71.5495851684143,481.88190016286603,0.15625,0.3125
audit_pre,60,high_vol,exit_chandelier,external_cross_coin_diagnostic,660,145,654,6,658,656,4,145,49.695068644709714,29.695068644709703,-124.50921245987456,30.08224780676949,37.72727272727273,1.168411153983411,30.05808925297872,-27.27259380820427,0.7691853612531909,14.04203152877122,1.0123542505351213,-0.39150284765766835,-0.3155221893847306,1.2714554752311757,-0.6591939966312577,-0.6736828436855857,215,204,20,False,57.330683061182995,0.125,5,0.03125,-3.866130642982605,123.42174546911387,0.25,0.875
audit_pre,60,high_vol,exit_fixed3r,external_cross_coin_diagnostic,660,145,649,11,627,656,4,145,74.79176333573095,54.791763335730934,-311.98622052189097,52.97489143322584,29.848484848484848,1.1933279338248368,51.565313968665265,-30.717810715711593,40.66515372798921,4.2315862744512565,1.2668735076746924,-1.0466961990948662,-0.7515175970873922,1.8567430398663154,-0.5849867932066433,-0.6202222285542347,215,204,20,False,82.28312468437684,0.03125,5,0.03125,38.424873327691905,116.64980020366362,0.15625,0.3125
audit_pre,60,high_vol,exit_sma60,external_cross_coin_diagnostic,660,145,651,9,660,656,4,145,712.8796720769454,692.8796720769454,-230.42072980731243,702.2891846603441,28.030303030303028,4.099063087332261,697.4976816092485,377.95408210539557,-20.77616867276569,77.86088680016823,1.0642095117194121,-0.7227355495143848,-0.6372093023255825,20.310975964002843,-8.777930988258387,-8.878752239590359,215,204,20,False,319.5435995038529,0.03125,5,0.03125,80.08024776133554,700.1535152237279,0.15625,0.3125
audit_pre,60,high_vol,gate_box_break,external_cross_coin_diagnostic,156,87,152,4,156,154,2,86,81.93726552949137,61.93726552949136,-305.29568511030504,57.657841014563424,26.923076923076923,1.213876429654091,66.33434463411561,-21.122482754788443,-50.19297727705691,31.623101728249846,1.3695990586080096,-1.0438290602359341,-0.6891993333052405,0.5004801743515808,-1.6645694303387581,-1.7081745647776536,215,204,20,False,87.45682738890406,0.1875,5,0.03125,-51.71215037171536,217.68010315612236,0.25,1.0
audit_pre,240,all_core,base,external_cross_coin_diagnostic,648,178,615,33,648,645,3,178,-65.60628112865655,-85.60628112865658,-441.46403839525726,-119.34140525863374,21.604938271604937,0.7823212244104081,-83.51041815028236,-108.80384709737848,-133.57002493462673,15.38873080033196,0.9408491496623432,-1.031103931879316,-0.9272053251953312,-2.445908073695291,-6.0693702661693605,-6.258231463462971,215,204,20,False,25.293428947096103,0.21875,5,0.03125,-27.770864576451316,70.84590322343806,0.875,
audit_pre,240,all_core,exit_chandelier,external_cross_coin_diagnostic,648,178,626,22,647,645,3,178,-31.204501748515707,-51.20450174851572,-255.50384718710018,-53.9177185184175,33.641975308641975,0.8135468685969641,-50.611108200480174,-45.54614505647259,-79.56940537462394,12.53092455732169,0.8468730354654355,-0.5086285620989374,-0.5200340386094917,-1.4665316270337847,-2.7128089266630795,-2.8525360512878906,215,204,20,False,-5.064963144007595,0.78125,5,0.03125,-29.056960515999084,3.7186545258637795,1.0,
audit_pre,240,all_core,exit_fixed3r,external_cross_coin_diagnostic,648,178,616,32,618,645,3,178,-25.13767570066218,-45.137675700662186,-467.27433632662576,-47.16704642559109,24.382716049382715,0.89185267741679,-44.75806228760574,-27.139273938757455,-61.42909438546402,4.300253673445308,0.9619565026351413,-1.0337320475282492,-0.9341879168175888,-1.218153822628032,-4.231465557233117,-4.5163758635095475,215,204,20,False,-17.618788348848287,0.75,5,0.03125,-55.41185528135879,31.210480905685234,1.0,
audit_pre,240,all_core,exit_sma60,external_cross_coin_diagnostic,648,178,619,29,648,645,3,178,-93.06121929770066,-113.06121929770067,-386.169617627774,-122.10324691866712,22.839506172839506,0.6806257537366837,-111.09305370615925,-81.28955427059667,-144.29919679949276,12.68738831942387,0.8217027306021863,-0.8387013698266667,-0.8642857142857066,-3.2636648686941716,-5.5638355746502,-5.688752375754058,215,204,20,False,-29.803499435562586,1.0,5,0.03125,-47.750525248605285,-19.032347637277727,1.0,
audit_pre,240,all_core,signal5,external_cross_coin_diagnostic,805,183,759,46,805,800,5,183,-81.52657636107772,-101.52657636107773,-443.32539095408794,-145.08749039070162,21.366459627329192,0.7439098203724946,-98.60287878139978,-157.45405201401002,-140.1604611996663,12.922587379688217,0.8607905136098647,-1.030377446395864,-0.9674713385029772,-3.8216695591860805,-8.357747187208487,-8.594382945773038,215,204,20,False,58.851173232610236,0.125,5,0.03125,-2.7178540889223695,105.13419116867368,0.625,
