stream_key,venue,symbol,asset,timeframe_min,local_i,signal_i,signal_bar_open,side,base_asset,scheduled_open_utc,v9_bundle_allowed,v9_bundle_reasons,v8,v9,strategy_version,asset_type,signal_atr_pct,reference_price,reference_initial_stop,reference_initial_risk,reference_cost_r,risk_basis,available_at,event_key,reference_risk_fraction,atr_fraction,risk_atr,volume_ratio,expansion,body_fraction,close_location,rope_width_atr,past_width_atr,rope_distance_atr,breakout20_atr,momentum20_atr,momentum60_atr,trend_slope20_atr,trend_alignment,atr_relative100,volatility_ratio20_100,efficiency20,prior_range20_atr,volume_trend20,entry_i,entry_time,valid_entry,censored,label_gt10,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,mfe_r,exit_time_precision,quarter,bucket,cohort,pair_id,episode_id,repeat,visual_id,sheet_no,sheet_position,rank
binance_30m_52157eee87dce5c8,binance,RAVEUSDT,RAVE,30,5445,5445,2026-04-07 02:00:00+00:00,1,RAVE,2026-04-07 02:30:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0122542038026863,0.25738,0.2469,0.0104799999999999,0.049118320610687,confirmation_close_reference_not_fill,2026-04-07 02:30:00+00:00,binance_30m_52157eee87dce5c8:5445:1,0.0407180045069546,0.0122542038026863,3.3227784654624823,3.235997156482332,1.2065094295764025,-0.5039999999999966,0.0346666666666714,0.601937081894624,0.5755171012778316,1.4832807876407264,-1.2618948752424275,1.629683331343235,1.452130283570429,0.1670402698452676,0.75,1.209669274624122,1.0956966349355013,0.2106557377049178,4.8383205518089145,6.762832854477059,5446,2026-04-07 02:30:00+00:00,True,False,True,0.25755,0.2469,0.0106499999999999,0.0413511939429236,5651,2026-04-11 09:00:00+00:00,1.6921000000000002,trailing_stop,5.569986410405747,5.567986410405746,134.69953051643202,134.6511643192489,184.3718309859156,bar_open_or_intrabar_window,2026Q2,2,winner_gt10,P0071,RAVE:1,False,V0028,4,4,1
binance_30m_52157eee87dce5c8,binance,RAVEUSDT,RAVE,30,5466,5466,2026-04-07 12:30:00+00:00,1,RAVE,2026-04-07 13:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0125570925502041,0.26183,0.2487,0.01313,0.0398827113480578,confirmation_close_reference_not_fill,2026-04-07 13:00:00+00:00,binance_30m_52157eee87dce5c8:5466:1,0.0501470419737998,0.0125570925502041,3.9935233234372016,5.848491565523824,2.5871637670661856,0.7421465968586418,0.930628272251312,0.7743327253025685,0.9428694246456584,2.461521185164917,1.146655211679987,1.56030271509771,2.8347020087155133,0.2667521574534527,1.0,1.2366088071442976,0.8906522128837215,0.1738393764825488,2.7130409782985434,1.603025464020592,5467,2026-04-07 13:00:00+00:00,True,False,True,0.26191,0.2487,0.0132099999999999,0.0504371730747202,5651,2026-04-11 09:00:00+00:00,1.6921000000000002,trailing_stop,5.4606162422206115,5.458616242220611,108.26570779712364,108.22605450416376,148.31188493565512,bar_open_or_intrabar_window,2026Q2,2,winner_gt10,P0072,RAVE:1,False,V0312,39,8,2
okx_30m_5b3217876ee2c465,okx,RAVE-USDT-SWAP,RAVE,30,5433,5433,2026-04-07 12:30:00+00:00,1,RAVE,2026-04-07 13:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0128269592766386,0.26164,0.2483,0.0133399999999999,0.0392263868065968,confirmation_close_reference_not_fill,2026-04-07 13:00:00+00:00,okx_30m_5b3217876ee2c465:5433:1,0.0509860877541658,0.0128269592766386,3.9749161632582046,5.056786389413989,2.4889285944106834,0.769536423841057,0.9033112582781446,0.7541177570287517,0.8980052882582391,2.3713363750883856,1.251472854998833,1.5434831878318898,2.735362097354594,0.2567010950465721,1.0,1.2617912420729107,0.9046623787752688,0.1760707002039426,2.547641169104779,1.2356899810964084,5434,2026-04-07 13:00:00+00:00,True,False,True,0.26209,0.2483,0.0137899999999999,0.0526155137548169,5618,2026-04-11 09:00:00+00:00,1.7029,trailing_stop,5.497386393986799,5.495386393986799,104.4822335025383,104.44422189992773,141.25525743292272,bar_open_or_intrabar_window,2026Q2,2,winner_gt10,P0357,RAVE:1,False,V0542,68,6,3
binance_30m_525e483bcf6b1639,binance,BROCCOLI714USDT,BROCCOLI714,30,13644,13644,2025-12-30 15:00:00+00:00,1,BROCCOLI714,2025-12-30 15:30:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0105363666037272,0.01263,0.01224,0.0003899999999999,0.0647692307692308,confirmation_close_reference_not_fill,2025-12-30 15:30:00+00:00,binance_30m_525e483bcf6b1639:13644:1,0.0308788598574821,0.0105363666037272,2.9306933802548953,1.5164477002989174,1.7406754571847152,0.500000000000004,0.863636363636369,0.8407894503606236,0.6831539794235081,1.7980870249372791,0.3005839364364005,1.8786496027275,1.4277736980729057,0.3771573802041512,0.5,1.2489418151375866,1.0622293566357168,0.1908396946564884,2.554963459709398,0.9948088706149232,13645,2025-12-30 15:30:00+00:00,True,False,True,0.01263,0.01224,0.0003899999999999,0.0308788598574821,13703,2025-12-31 20:30:00+00:00,0.0458,trailing_stop,2.6262866191607284,2.6242866191607286,85.05128205128212,84.98651282051289,200.846153846154,bar_open_or_intrabar_window,2025Q4,2,winner_gt10,P0073,BROCCOLI714:2,False,V0010,2,2,4
gate_240m_ac59d84cd2f11b7f,gate,XLM_USDT,XLM,240,463,2605,2024-11-06 04:00:00+00:00,1,XLM,2024-11-06 08:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0125780905048728,0.09655,0.0919,0.0046499999999999,0.0415268817204302,confirmation_close_reference_not_fill,2024-11-06 08:00:00+00:00,gate_240m_ac59d84cd2f11b7f:2605:1,0.0481615743138269,0.0125780905048728,3.8290052289867607,4.615481110986024,1.103255181597131,0.2556390977443561,0.4436090225563867,1.989778935930638,2.740780647179982,1.786114285041149,-0.1235162977092485,3.2443614198296507,2.173886839682815,-0.6536583261630041,0.0,1.1755172779884655,1.2950381954991297,0.2790368271954669,6.142877206073396,1.7052059376960067,2606,2024-11-06 08:00:00+00:00,True,False,True,0.09661,0.0919,0.0047099999999999,0.0487527171100299,2726,2024-11-26 08:00:00+00:00,0.41764,trailing_stop,3.3229479349963773,3.3209479349963775,68.15923566878993,68.11821231422518,114.71337579617854,bar_open_or_intrabar_window,2024Q4,2,winner_gt10,P0298,XLM:2,False,V0578,73,2,5
binance_30m_652e9263389181fb,binance,ENAUSDT,ENA,30,34114,41697,2026-08-19 05:00:00+00:00,1,ENA,2026-08-19 05:30:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0060139538783103,0.08386,0.08285,0.0010099999999999,0.1660594059405945,confirmation_close_reference_not_fill,2026-08-19 05:30:00+00:00,binance_30m_652e9263389181fb:41697:1,0.0120438826615787,0.0060139538783103,2.0026563065300182,1.047016239403032,0.9270748070063882,0.0212765957447022,0.7446808510638392,0.7083411621677681,0.6047584620356715,0.5847931822962741,-1.0707271341843672,0.2974242039400974,1.7052321025899209,0.0485629009464551,0.5,0.9452859325450887,0.989503902563863,0.027522935779816,4.758787263041641,0.5836712693122503,41698,2026-08-19 05:30:00+00:00,True,False,True,0.08385,0.08285,0.0009999999999999,0.0119260584376861,41841,2026-08-22 05:00:00+00:00,0.14333,trailing_stop,0.709361955873584,0.707361955873584,59.480000000000786,59.31230000000078,82.02000000000106,bar_open_or_intrabar_window,2026Q3,1,winner_gt10,P0089,ENA:4,False,V0531,67,3,6
binance_30m_754b50fb6d69d1dd,binance,NKNUSDT,NKN,30,10683,28659,2025-04-18 01:30:00+00:00,1,NKN,2025-04-18 02:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0102498783949096,0.01714,0.01678,0.0003599999999999,0.0952222222222224,confirmation_close_reference_not_fill,2025-04-18 02:00:00+00:00,binance_30m_754b50fb6d69d1dd:28659:1,0.0210035005834305,0.0102498783949096,2.049146319029632,1.7797521014804212,1.0883162850815482,-0.2105263157894842,0.2105263157894659,1.6421806752435475,1.8259663418071803,1.21713738288392,-0.512286579757408,3.5290853272177016,2.2199085122820947,0.7512097796947145,0.5,0.7467607595695204,0.6718007214304138,0.3333333333333333,4.838262142153309,0.7714401466642473,28660,2025-04-18 02:00:00+00:00,True,False,True,0.01716,0.01678,0.00038,0.0221445221445222,28766,2025-04-20 07:00:00+00:00,0.03824,trailing_stop,1.2284382284382285,1.2264382284382287,55.47368421052605,55.383368421052374,107.4473684210521,bar_open_or_intrabar_window,2025Q2,2,winner_gt10,P0106,NKN:1,False,V0760,95,8,7
binance_30m_945f5a836eff0a10,binance,OMNIUSDT,OMNI,30,14656,21516,2025-07-09 20:00:00+00:00,1,OMNI,2025-07-09 20:30:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0080167875259339,1.505,1.462,0.0429999999999999,0.0700000000000001,confirmation_close_reference_not_fill,2025-07-09 20:30:00+00:00,binance_30m_945f5a836eff0a10:21516:1,0.0285714285714285,0.0080167875259339,3.563949833895601,2.1439046184601085,1.360244255966871,-0.3125000000000069,0.25,2.963994507080503,2.4379771422559084,2.244483341254108,-0.7459429884897881,3.398184725342317,5.967543907918213,1.2517582680084545,1.0,0.987478030771391,0.8036802076066252,0.3980582524271864,4.724305593768591,1.027093545557611,21517,2025-07-09 20:30:00+00:00,True,False,True,1.504,1.462,0.042,0.0279255319148936,21597,2025-07-11 12:30:00+00:00,3.79,trailing_stop,1.5199468085106385,1.517946808510639,54.42857142857138,54.35695238095234,94.3809523809523,bar_open_or_intrabar_window,2025Q3,1,winner_gt10,P0138,OMNI:1,False,V0461,58,5,8
okx_30m_91cf2f1b1a275efe,okx,ATH-USDT-SWAP,ATH,30,17547,21691,2025-09-08 01:30:00+00:00,1,ATH,2025-09-08 02:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0038364939578606,0.03023,0.029998,0.0002319999999999,0.2606034482758625,confirmation_close_reference_not_fill,2025-09-08 02:00:00+00:00,okx_30m_91cf2f1b1a275efe:21691:1,0.0076744955342374,0.0038364939578606,2.0003929677806975,0.6770933589990376,0.6737143349527519,0.1249999999999945,0.2499999999999891,0.5689366034191161,1.0334629954279038,0.6468194675165881,-1.9831482008170835,-0.0862238348181301,3.707624897179747,0.0207555604769188,0.5,1.0171076358413622,1.0760754650809377,0.0076335877862592,5.69077309799683,2.0923965351299327,21692,2025-09-08 02:00:00+00:00,True,False,True,0.03024,0.029998,0.0002419999999999,0.0080026455026454,21737,2025-09-09 00:30:00+00:00,0.0428539999999999,trailing_stop,0.4171296296296296,0.4151296296296296,52.12396694214894,51.87404958677704,101.32231404958716,bar_open_or_intrabar_window,2025Q3,0,winner_gt10,P0376,ATH:2,False,V0437,55,5,9
okx_60m_ebcdbbff2e7aadc0,okx,XRP-USDT-SWAP,XRP,60,17124,26052,2026-08-19 12:00:00+00:00,1,XRP,2026-08-19 13:00:00+00:00,True,passed,True,True,spike-v9-entry-bundle-20260915-v1,unknown,0.0040203252889891,1.0109,1.0019,0.0089999999999998,0.2246444444444469,confirmation_close_reference_not_fill,2026-08-19 13:00:00+00:00,okx_60m_ebcdbbff2e7aadc0:26052:1,0.0089029577604114,0.0040203252889891,2.214486918457769,2.682703611681349,1.823718354369656,0.7999999999999873,0.8285714285714132,0.5877704509330236,0.7817742333689331,2.0667432200257525,0.3936865632813423,2.239092328662853,4.404368426710482,0.3005138294583756,0.5,1.0217159003033724,0.98880901284759,0.2479564032697534,3.444757428712155,1.2296604191788847,26053,2026-08-19 13:00:00+00:00,True,False,True,1.0108,1.0019,0.0088999999999999,0.0088049070043528,26117,2026-08-22 05:00:00+00:00,1.4676,trailing_stop,0.4519192718638702,0.4499192718638702,51.32584269662975,51.09869662921402,74.58426966292214,bar_open_or_intrabar_window,2026Q3,0,winner_gt10,P0445,XRP:2,False,V0303,38,7,10
