id,bb_length,bb_mult,stop_fraction,stoch_length,k_smooth,d_smooth,oversold,eligible,neighborhood_median_usdt,worst_net_mark,tv_stats_total_entries,tv_stats_natural,tv_stats_censored,tv_stats_wins,tv_stats_losses,tv_stats_win_rate,tv_stats_gross_r,tv_stats_net_r,tv_stats_mean_net_r,tv_stats_profit_factor,tv_stats_avg_win_r,tv_stats_avg_loss_r,tv_stats_max_realized_drawdown_r,tv_stats_max_realized_drawdown_usdt,tv_stats_max_loss_streak,tv_stats_gross_pnl,tv_stats_fees,tv_stats_net_pnl,tv_stats_partial,tv_stats_mean_hold_hours,tv_stats_boundary_mark_net_r,tv_stats_boundary_mark_net_pnl,tv_stats_ambiguous_bar_count,tv_stats_entries_open_beyond_target,tv_stats_same_open_be_approximations,tv_stats_marketable_be_approximations,tv_stats_cash_profit_factor,tv_equity_net_liquidation_mark_usdt,tv_equity_gross_mark_usdt,tv_equity_close_mtm_drawdown_usdt,tv_equity_close_mtm_drawdown_percent,tv_equity_ending_equity,tv_control_paired_n,tv_control_unpaired_n,tv_control_drawn,tv_control_censored,tv_control_paired_actual_mean_bp,tv_control_random_mean_bp,tv_control_excess_mean_bp,tv_control_month_blocks,tv_control_p,tv_control_all_boundary_mark_excess_bp,adverse_first_stats_total_entries,adverse_first_stats_natural,adverse_first_stats_censored,adverse_first_stats_wins,adverse_first_stats_losses,adverse_first_stats_win_rate,adverse_first_stats_gross_r,adverse_first_stats_net_r,adverse_first_stats_mean_net_r,adverse_first_stats_profit_factor,adverse_first_stats_avg_win_r,adverse_first_stats_avg_loss_r,adverse_first_stats_max_realized_drawdown_r,adverse_first_stats_max_realized_drawdown_usdt,adverse_first_stats_max_loss_streak,adverse_first_stats_gross_pnl,adverse_first_stats_fees,adverse_first_stats_net_pnl,adverse_first_stats_partial,adverse_first_stats_mean_hold_hours,adverse_first_stats_boundary_mark_net_r,adverse_first_stats_boundary_mark_net_pnl,adverse_first_stats_ambiguous_bar_count,adverse_first_stats_entries_open_beyond_target,adverse_first_stats_same_open_be_approximations,adverse_first_stats_marketable_be_approximations,adverse_first_stats_cash_profit_factor,adverse_first_equity_net_liquidation_mark_usdt,adverse_first_equity_gross_mark_usdt,adverse_first_equity_close_mtm_drawdown_usdt,adverse_first_equity_close_mtm_drawdown_percent,adverse_first_equity_ending_equity,adverse_first_control_paired_n,adverse_first_control_unpaired_n,adverse_first_control_drawn,adverse_first_control_censored,adverse_first_control_paired_actual_mean_bp,adverse_first_control_random_mean_bp,adverse_first_control_excess_mean_bp,adverse_first_control_month_blocks,adverse_first_control_p,adverse_first_control_all_boundary_mark_excess_bp
bb20_m1_sl0.3,20,1.0,0.003,5,3,3,20.0,True,-1096.6354070699963,-1418.0002734500013,240,240,0,49,191,0.20416666666666666,-25.016604951583073,-185.0311767666837,-0.7709632365278487,0.35224409688214764,2.0534360161361085,-1.4955473379966127,187.4390111196252,1427.4149310900023,19,-174.3046200000016,1231.2567769999994,-1405.5613970000015,74,1.7586805555555556,0.0,0.0,7,0,0,0,0.3487581566950895,-1405.5613969999977,-174.30461999999534,1443.3989310899924,1.4428529910976173,98594.438603,240,0,1200,0,-23.128897095835462,-18.556278558510147,-4.572618537325316,2,1.0,-4.572618537325316,240,240,0,48,192,0.2,-27.01075559067993,-187.02732155641965,-0.7792805064850818,0.3490563175366947,2.0893726389083347,-1.4964437928334362,189.43515590936116,1439.8538075400027,19,-186.73107000000175,1231.2692034499994,-1418.0002734500017,73,1.7586805555555556,0.0,0.0,7,0,0,0,0.34614310621681,-1418.0002734500013,-186.7310700000089,1455.837807539996,1.4552871627636779,98581.99972655,240,0,1200,0,-23.378415194552456,-18.790907847791733,-4.587507346760729,2,1.0,-4.587507346760729
bb20_m1_sl0.5,20,1.0,0.005,5,3,3,20.0,True,-1310.361945525001,-1375.5579722999973,229,229,0,63,166,0.27510917030567683,-20.67053571510019,-112.25607782638355,-0.4902012132156487,0.41354303545278026,1.2564750746205506,-1.1530964308884233,115.01832800419781,1401.6944867000009,11,-193.47435000000098,1165.4862915499998,-1358.960641550001,100,2.1404657933042213,0.0,0.0,18,0,1,6,0.4233465640701381,-1358.960641550002,-193.47435000000405,1414.0793766999996,1.4133003834047968,98641.03935845,229,0,1145,0,-24.510060660782436,-19.71256986805692,-4.797490792725518,2,0.75,-4.797490792725518,229,229,0,62,167,0.27074235807860264,-22.26702609855828,-113.85416470022508,-0.4971797585162667,0.4095160632970976,1.2735619810847278,-1.1545808833980733,116.61641487803935,1418.2918174500007,11,-210.05510000000083,1165.5028722999998,-1375.5579723000008,99,2.1404657933042213,0.0,0.0,18,0,1,6,0.4198855196366859,-1375.5579722999973,-210.05509999999776,1430.6767074499949,1.4298885709556297,98624.4420277,229,0,1145,0,-24.858987925813338,-19.990336129589554,-4.868651796223788,2,0.75,-4.868651796223788
bb20_m1_sl0.75,20,1.0,0.0075,5,3,3,20.0,True,-1310.361945525001,-1310.361945525001,223,223,0,68,155,0.30493273542600896,-14.831359084778724,-74.27858279329581,-0.33308781521657316,0.4345737210438448,0.8395414980466473,-0.8475316429707602,77.19199638806519,1356.5568922750006,10,-157.61745000000064,1130.9490969,-1288.5665469000005,130,2.435724962630792,0.0,0.0,40,0,1,16,0.45275225394004964,-1288.5665468999941,-157.6174500000052,1363.8396522749972,1.3628138199922095,98711.4334531,222,1,1115,1,-24.66585004278012,-19.736619035293234,-4.929231007486888,2,0.75,-5.30739554736255,223,223,0,67,156,0.3004484304932735,-16.22901934041746,-75.6776407091902,-0.3393616175300009,0.42942963763681385,0.8501109047454376,-0.85022481619958,78.59105430395957,1378.3522909000005,10,-179.39107500000068,1130.970870525,-1310.3619455250007,129,2.435724962630792,0.0,0.0,40,0,1,16,0.44812448732622495,-1310.361945525001,-179.39107500000682,1385.635050900004,1.3845928248839143,98689.638054475,222,1,1115,1,-25.13850474409579,-20.087913611906686,-5.050591132189106,2,0.75,-5.428211456258928
bb20_m1_sl1,20,1.0,0.01,5,3,3,20.0,True,-1164.3971168499993,-1315.7845938999963,220,220,0,70,150,0.3181818181818182,-12.406400044242167,-56.393716578527446,-0.25633507535694294,0.4407851647908335,0.6350105819333068,-0.6722963820923927,58.4182721068499,1377.9627138999988,10,-199.62329999999815,1116.1612939000006,-1315.784593899998,148,2.616287878787879,0.0,0.0,55,0,1,23,0.4551216613636246,-1315.7845938999963,-199.623299999992,1390.3476038999943,1.3893116912846906,98684.2154061,219,1,1100,1,-25.202153688825316,-19.642469838908546,-5.559683849916775,2,0.75,-6.053889484234242,219,219,0,71,148,0.3242009132420091,-11.879422924527836,-55.6662124816934,-0.2541836186378694,0.44649493937125373,0.6324530178947408,-0.6795295726501349,57.69076801001586,1356.2537638999986,10,-183.85329999999817,1110.2223439000006,-1294.0756438999983,147,2.7290715372907153,0.0,0.0,55,0,1,23,0.46229677203627145,-1294.075643899996,-183.8533000000025,1368.638653899994,1.3676189160708425,98705.9243561,218,1,1095,1,-24.984042422795138,-19.95455460328256,-5.0294878195125765,2,0.75,-5.528371087002291
bb20_m1_sl1.5,20,1.0,0.015,5,3,3,20.0,True,-1020.0351792000001,-1164.3971168499993,216,216,0,78,138,0.3611111111111111,-4.673245277695909,-33.46075246033617,-0.15491089102007485,0.48151149305972446,0.39839017917572644,-0.46764627852204954,34.81045614588448,1226.5752368499989,10,-66.13124999999911,1098.26586685,-1164.397116849999,172,2.8202160493827164,0.0,0.0,74,0,2,36,0.4943623110478944,-1164.3971168499993,-66.13125000000582,1238.9601268499973,1.2380370091910307,98835.60288315,215,1,1080,1,-23.37541788649249,-19.779461558735537,-3.5959563277569506,2,0.75,-3.5218220246390994,215,215,0,79,136,0.3674418604651163,-4.321927197886355,-32.975749729113474,-0.1533755801354115,0.4875759742052541,0.3971736244620684,-0.4731798975118888,34.32545341466179,1204.8662868499991,10,-50.36124999999913,1092.32691685,-1142.6881668499993,171,2.9368217054263566,0.0,0.0,74,0,2,36,0.5020269814752407,-1142.688166849999,-50.361250000001746,1217.2511768499971,1.2163442339771824,98857.31183315,214,1,1075,1,-23.144693625759256,-19.793452104096104,-3.3512415216631517,2,0.75,-3.2779006162335573
bb20_m1_sl2,20,1.0,0.02,5,3,3,20.0,True,-1020.0351792000001,-1020.0351792000001,211,211,0,76,135,0.36018957345971564,-0.09789380788960245,-21.1898714428457,-0.10042593100874739,0.5363675368867153,0.3225547019571716,-0.33854836141919065,22.36030786920501,1093.0301491999985,10,52.462800000001494,1072.4979792000006,-1020.0351791999983,184,2.989731437598736,0.0,0.0,86,0,2,49,0.5366069888142154,-1020.0351792000001,52.46280000000843,1121.0235991999944,1.1201243887675154,98979.9648208,210,1,1055,1,-20.212267929117143,-20.310238786499543,0.09797085738239844,2,0.5,0.15635513363034528,210,210,0,77,133,0.36666666666666664,0.16559475196756368,-20.826119394428677,-0.09917199711632703,0.5429559846926086,0.32130998852392983,-0.3426089361712125,21.99655582078799,1071.3211991999985,10,68.23280000000148,1066.5590292000004,-998.3262291999986,183,3.1099206349206345,0.0,0.0,86,0,2,49,0.5447837291675558,-998.3262292,68.23279999999795,1099.3146492000087,1.0984328522406557,99001.6737708,209,1,1050,1,-19.96088926043634,-20.32710363786282,0.36621437742647767,2,0.5,0.42359932394206173
bb20_m1_sl3,20,1.0,0.03,5,3,3,20.0,True,-1020.0351792000001,-1167.3449336000049,211,211,0,78,133,0.3696682464454976,-1.5369782989767689,-15.594785957576121,-0.07390893818756455,0.5136274125144991,0.21113679275677663,-0.2410786149819902,16.375076908482335,1240.3399035999998,10,-95.14559999999926,1072.1993336000005,-1167.344933599999,194,3.0880726698262246,0.0,0.0,95,0,2,57,0.5045703307150092,-1167.3449336000049,-95.14560000000347,1268.333353599999,1.267315981098446,98832.6550664,210,1,1055,1,-22.309703637229983,-20.190511779109787,-2.119191858120192,2,1.0,-2.050299701703987,210,210,0,79,131,0.3761904761904762,-1.3613192590719918,-15.352284591964771,-0.07310611710459415,0.5198223857001171,0.21037735460034115,-0.2440617985144406,16.132575542870985,1218.6309535999999,10,-79.37559999999928,1066.2603836,-1145.6359835999992,193,3.2087301587301584,0.0,0.0,95,0,2,57,0.5120961280794547,-1145.6359836000047,-79.3755999999994,1246.624403599999,1.2456244445715718,98854.3640164,209,1,1050,1,-22.06836054609996,-20.20680377397838,-1.86155677212158,2,0.75,-1.793563391560528
bb20_m1_sl4,20,1.0,0.04,5,3,3,20.0,True,-1054.9297185000032,-1223.703275199994,205,205,0,77,128,0.375609756097561,-1.965071848044116,-12.207875806530199,-0.05955061369039121,0.4910528672672816,0.15296953852252732,-0.187394767755975,12.793094019709851,1296.6982452,10,-178.43839999999932,1045.2648752,-1223.7032751999993,196,3.2069105691056903,0.0,0.0,98,0,2,63,0.48317390502546875,-1223.703275199994,-178.4383999999991,1324.6916952000029,1.3236291157922258,98776.2967248,204,1,1025,1,-23.96937401547813,-20.714483784918485,-3.2548902305596523,2,0.75,-3.1784417262852176,204,204,0,78,126,0.38235294117647056,-1.8333275681155328,-12.025999782321687,-0.05895097932510631,0.4971989845403767,0.15246167115427414,-0.18982547724091325,12.611217995501342,1274.9892951999998,10,-162.66839999999934,1039.3259252,-1201.9943251999994,195,3.3308823529411766,0.0,0.0,98,0,2,63,0.4905891192593428,-1201.994325199994,-162.66839999999502,1302.9827452000027,1.3019375792653516,98798.0056748,203,1,1020,1,-23.729073347163222,-20.733838459466973,-2.99523488769625,2,0.75,-2.919684456159997
bb20_m1_sl5,20,1.0,0.05,5,3,3,20.0,True,-1058.3670659999989,-1054.9297185000032,204,204,0,76,128,0.37254901960784315,-0.3535533435804477,-8.509415014504167,-0.04171281869854984,0.5172440051701308,0.11996481907212662,-0.13770891612488897,8.977589585047895,1127.9246884999993,10,-13.818499999999176,1041.1112185000002,-1054.9297184999991,202,3.259395424836601,0.0,0.0,105,0,3,69,0.5128829067378191,-1054.9297185000032,-13.818499999993946,1155.9181384999974,1.1549909379932708,98945.0702815,203,1,1020,1,-20.991672333978048,-19.01330335658608,-1.978368977391971,2,0.75,-1.907803182670935,203,203,0,77,126,0.3793103448275862,-0.2481579196375816,-8.36391419513736,-0.04120154775929734,0.5240183347612212,0.1195845578768915,-0.13945972342585716,8.832088765681085,1106.2157384999991,10,1.9515000000008058,1035.1722685,-1033.2207684999992,201,3.3842364532019706,0.0,0.0,105,0,3,69,0.5211048419369669,-1033.220768500003,1.9514999999955762,1134.2091884999973,1.1332994014663964,98966.7792315,202,1,1015,1,-20.735440960961082,-19.024332161066333,-1.711108799894753,2,0.75,-1.6415119430199037
bb20_m1.5_sl0.3,20,1.5,0.003,5,3,3,20.0,True,-580.4771084200038,-624.2927525300038,117,117,0,25,92,0.21367521367521367,-5.67689460095761,-83.65772348028102,-0.7150232776092394,0.42812475381806825,2.505157725157501,-1.5900724631436802,83.657723480281,624.2927525300009,20,-28.954550000000836,595.3382025299998,-624.292752530001,30,2.518518518518518,0.0,0.0,0,0,0,0,0.43083024152105126,-624.2927525300038,-28.954549999994924,628.4546466199972,0.628428492091725,99375.70724747,117,0,585,0,-21.45069832827718,-18.085587395828277,-3.3651109324489057,2,0.75,-3.3651109324489057,117,117,0,25,92,0.21367521367521367,-5.67689460095761,-83.65772348028102,-0.7150232776092394,0.42812475381806825,2.505157725157501,-1.5900724631436802,83.657723480281,624.2927525300009,20,-28.954550000000836,595.3382025299998,-624.292752530001,30,2.518518518518518,0.0,0.0,0,0,0,0,0.43083024152105126,-624.2927525300038,-28.954549999994924,628.4546466199972,0.628428492091725,99375.70724747,117,0,585,0,-21.45069832827718,-18.085587395828277,-3.3651109324489057,2,0.75,-3.3651109324489057
bb20_m1.5_sl0.5,20,1.5,0.005,5,3,3,20.0,True,-511.04865589999827,-511.04865589999827,111,111,0,33,78,0.2972972972972973,1.6471625161666323,-42.736441755897566,-0.38501298879186996,0.5569170210214179,1.6277580225537203,-1.236569955130389,42.73644175589758,511.0486559000026,16,48.7571999999974,559.8058558999998,-511.0486559000026,44,3.1891891891891886,0.0,0.0,3,0,0,2,0.5648126968817742,-511.04865589999827,48.757199999992736,520.1549057499942,0.5201075434575984,99488.9513441,111,0,555,0,-19.250649439593502,-20.813635207629275,1.562985768035779,2,0.5,1.562985768035779,111,111,0,33,78,0.2972972972972973,1.6471625161666323,-42.736441755897566,-0.38501298879186996,0.5569170210214179,1.6277580225537203,-1.236569955130389,42.73644175589758,511.0486559000026,16,48.7571999999974,559.8058558999998,-511.0486559000026,44,3.1891891891891886,0.0,0.0,3,0,0,2,0.5648126968817742,-511.04865589999827,48.757199999992736,520.1549057499942,0.5201075434575984,99488.9513441,111,0,555,0,-19.250649439593502,-20.813635207629275,1.562985768035779,2,0.5,1.562985768035779
bb20_m1.5_sl0.75,20,1.5,0.0075,5,3,3,20.0,True,-487.69832140000653,-487.69832140000653,110,110,0,35,75,0.3181818181818182,0.8777689837274611,-28.437248177908277,-0.25852043798098434,0.5716826966058585,1.0844485480787005,-0.8852392981421705,30.597983381671618,541.1772463250012,16,65.99004999999829,553.6883713999998,-487.6983214000017,61,3.534848484848485,0.0,0.0,11,0,0,5,0.5937345870237636,-487.69832140000653,65.99004999999306,542.3011213249993,0.5420051713257171,99512.3016786,109,1,550,1,-18.69466617745983,-19.857099965827565,1.1624337883677311,2,0.5,0.30818544201560266,110,110,0,35,75,0.3181818181818182,0.8777689837274611,-28.437248177908277,-0.25852043798098434,0.5716826966058585,1.0844485480787005,-0.8852392981421705,30.597983381671618,541.1772463250012,16,65.99004999999829,553.6883713999998,-487.6983214000017,61,3.534848484848485,0.0,0.0,11,0,0,5,0.5937345870237636,-487.69832140000653,65.99004999999306,542.3011213249993,0.5420051713257171,99512.3016786,109,1,550,1,-18.69466617745983,-19.857099965827565,1.1624337883677311,2,0.5,0.30818544201560266
bb20_m1.5_sl1,20,1.5,0.01,5,3,3,20.0,True,-467.1721641500044,-400.29601760000514,106,106,0,37,69,0.3490566037735849,3.1839001429979157,-18.000619836281693,-0.16981716826680843,0.6072011110411442,0.752052298107709,-0.6641529690763325,19.944554839560105,463.5537530999991,15,134.77420000000086,535.0702176,-400.2960175999991,73,4.1918238993710695,0.0,0.0,22,0,0,11,0.6341956549286324,-400.29601760000514,134.77419999999984,464.6776281000057,0.4643786536439714,99599.7039824,106,0,530,0,-16.981716826680845,-18.597309799216188,1.6155929725353435,2,0.25,1.6155929725353435,106,106,0,37,69,0.3490566037735849,3.1839001429979157,-18.000619836281693,-0.16981716826680843,0.6072011110411442,0.752052298107709,-0.6641529690763325,19.944554839560105,463.5537530999991,15,134.77420000000086,535.0702176,-400.2960175999991,73,4.1918238993710695,0.0,0.0,22,0,0,11,0.6341956549286324,-400.29601760000514,134.77419999999984,464.6776281000057,0.4643786536439714,99599.7039824,106,0,530,0,-16.981716826680845,-18.597309799216188,1.6155929725353435,2,0.25,1.6155929725353435
bb20_m1.5_sl1.5,20,1.5,0.015,5,3,3,20.0,True,-400.29601760000514,-467.1721641500044,106,106,0,39,67,0.36792452830188677,-0.3299130552857601,-14.447604356226996,-0.13629815430402828,0.5657809562107194,0.48269265658198013,-0.49660623825260036,15.4098943584126,514.3540898999994,15,67.7908500000002,534.9630141500002,-467.17216414999984,82,4.262578616352201,0.0,0.0,29,0,0,16,0.6006113126990676,-467.1721641500044,67.79085000000487,517.8743267999962,0.5176118863794684,99532.82783585,106,0,530,0,-20.444723145604243,-18.809490819305744,-1.6352323262985005,2,0.75,-1.6352323262985005,106,106,0,39,67,0.36792452830188677,-0.3299130552857601,-14.447604356226996,-0.13629815430402828,0.5657809562107194,0.48269265658198013,-0.49660623825260036,15.4098943584126,514.3540898999994,15,67.7908500000002,534.9630141500002,-467.17216414999984,82,4.262578616352201,0.0,0.0,29,0,0,16,0.6006113126990676,-467.1721641500044,67.79085000000487,517.8743267999962,0.5176118863794684,99532.82783585,106,0,530,0,-20.444723145604243,-18.809490819305744,-1.6352323262985005,2,0.75,-1.6352323262985005
bb20_m1.5_sl2,20,1.5,0.02,5,3,3,20.0,True,-467.1721641500044,-299.6221782000066,105,105,0,40,65,0.38095238095238093,4.137691098679435,-6.354891812530624,-0.06052277916695833,0.7287140229440238,0.4267543450216477,-0.36038562482148523,7.535608611135505,376.18736319999994,15,228.94740000000013,528.5695782,-299.6221781999999,90,4.5436507936507935,0.0,0.0,37,0,0,22,0.7327288421120691,-299.6221782000066,228.94740000000456,381.11514320000424,0.380804814066159,99700.3778218,105,0,525,0,-12.104555833391666,-18.856395193179477,6.751839359787808,2,0.5,6.751839359787808,105,105,0,40,65,0.38095238095238093,4.137691098679435,-6.354891812530624,-0.06052277916695833,0.7287140229440238,0.4267543450216477,-0.36038562482148523,7.535608611135505,376.18736319999994,15,228.94740000000013,528.5695782,-299.6221781999999,90,4.5436507936507935,0.0,0.0,37,0,0,22,0.7327288421120691,-299.6221782000066,228.94740000000456,381.11514320000424,0.380804814066159,99700.3778218,105,0,525,0,-12.104555833391666,-18.856395193179477,6.751839359787808,2,0.5,6.751839359787808
bb20_m1.5_sl3,20,1.5,0.03,5,3,3,20.0,True,-390.09807239999645,-484.3400946000038,105,105,0,41,64,0.3904761904761905,0.5774983078762441,-6.416803429404233,-0.06111241361337365,0.64090783700169,0.2793344717714553,-0.2792111995630297,7.203947961807487,560.9052795999994,15,44.13300000000072,528.4730946000001,-484.3400945999993,94,4.700793650793651,0.0,0.0,41,0,0,25,0.630225929479051,-484.3400946000038,44.13300000000163,585.853059599991,0.5853760193254437,99515.6599054,105,0,525,0,-18.333724084012093,-21.324117018929606,2.9903929349175153,2,0.5,2.9903929349175153,105,105,0,41,64,0.3904761904761905,0.5774983078762441,-6.416803429404233,-0.06111241361337365,0.64090783700169,0.2793344717714553,-0.2792111995630297,7.203947961807487,560.9052795999994,15,44.13300000000072,528.4730946000001,-484.3400945999993,94,4.700793650793651,0.0,0.0,41,0,0,25,0.630225929479051,-484.3400946000038,44.13300000000163,585.853059599991,0.5853760193254437,99515.6599054,105,0,525,0,-18.333724084012093,-21.324117018929606,2.9903929349175153,2,0.5,2.9903929349175153
bb20_m1.5_sl4,20,1.5,0.04,5,3,3,20.0,True,-390.09807239999645,-390.09807239999645,103,103,0,41,62,0.39805825242718446,1.2545074662506386,-3.890866033086804,-0.03777539837948353,0.6882419066023544,0.20950085382859146,-0.2012967909686944,4.481224432389243,466.66325739999957,15,128.65880000000038,518.7568724000001,-390.0980723999995,99,4.858414239482201,0.0,0.0,46,0,0,31,0.6790861595277936,-390.09807239999645,128.6588000000047,491.61103739999817,0.49121073520747927,99609.9019276,103,0,515,0,-15.11015935179341,-20.124020702820424,5.013861351027018,2,0.5,5.013861351027018,103,103,0,41,62,0.39805825242718446,1.2545074662506386,-3.890866033086804,-0.03777539837948353,0.6882419066023544,0.20950085382859146,-0.2012967909686944,4.481224432389243,466.66325739999957,15,128.65880000000038,518.7568724000001,-390.0980723999995,99,4.858414239482201,0.0,0.0,46,0,0,31,0.6790861595277936,-390.09807239999645,128.6588000000047,491.61103739999817,0.49121073520747927,99609.9019276,103,0,515,0,-15.11015935179341,-20.124020702820424,5.013861351027018,2,0.5,5.013861351027018
