symbol,timeframe,arm,bars,window_bars,common_bars,candidates,entries,first,last,partial_buckets,gaps,baseline_parity,released_parity,legacy_v9_entries,common_v9_entries,h1_unknown_window
1000PEPEUSDT,15m,v9,58908,57408,57408,120,106,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,106.0,0
1000PEPEUSDT,15m,v9_1,58908,57408,57408,118,104,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
1000PEPEUSDT,15m,dc20,58908,57408,57408,4625,1276,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
1000PEPEUSDT,15m,dc55,58908,57408,57408,2458,624,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
1000PEPEUSDT,15m,sma20_60,58908,57408,57408,945,945,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,0,True,True,106,,0
1000PEPEUSDT,1h,v9,15852,14352,14352,42,36,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,36.0,0
1000PEPEUSDT,1h,v9_1,15852,14352,14352,42,36,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
1000PEPEUSDT,1h,dc20,15852,14352,14352,1118,336,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
1000PEPEUSDT,1h,dc55,15852,14352,14352,616,158,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
1000PEPEUSDT,1h,sma20_60,15852,14352,14352,239,239,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,0,True,True,36,,0
1000PEPEUSDT,4h,v9,5088,3588,3588,10,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,8.0,0
1000PEPEUSDT,4h,v9_1,5088,3588,3588,10,8,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,True,True,8,,0
