timeframe,arm,period,v9_entries,arm_entries,v9_net_r,arm_net_r,random_excess_delta_r,v9_random_pairs,arm_random_pairs,months,nonzero_months,minimum_exact_p,delta,low95,high95,p,holm_p
15m,dc20,earlier,1686,18729,153.0765175126537,-1533.4674949862203,-0.09056666139331515,1683,18714,13,13,0.0001220703125,-1686.5440124988743,-2760.7268235343763,-568.6100989130418,0.9913330078125,
15m,dc20,later,1196,13769,51.765202736979596,-1598.3434123986938,-0.19969157779283164,1191,13722,8,8,0.00390625,-1650.1086151356733,-2414.538606549868,-991.4420474423074,1.0,1.0
15m,dc55,earlier,1686,9411,153.0765175126537,-111.192902924258,-0.05528184010634091,1683,9402,13,13,0.0001220703125,-264.2694204369117,-797.2957989147704,302.47177254067714,0.811279296875,
15m,dc55,later,1196,6944,51.765202736979596,-579.2880851322606,-0.17537509121402245,1191,6902,8,8,0.00390625,-631.0532878692402,-1324.3306357181061,113.8310206250189,0.9296875,1.0
15m,sma20_60,earlier,1686,14023,153.0765175126537,-1010.6075708569375,-0.07659477860000012,1683,14005,13,13,0.0001220703125,-1163.6840883695913,-2214.1686262898957,131.38848914830305,0.9556884765625,
15m,sma20_60,later,1196,11208,51.765202736979596,-1440.6759340709502,-0.24175517453963527,1191,11163,8,8,0.00390625,-1492.4411368079298,-2318.8468977630273,-634.4697772404514,0.98828125,1.0
1h,dc20,earlier,471,4868,4.752381928132451,226.3095810845235,0.1541723766557457,464,4850,13,13,0.0001220703125,221.55719915639105,-192.84144016709647,603.9924444521725,0.15869140625,
1h,dc20,later,338,3550,47.16221727716108,-47.100812050119416,-0.1927275194180787,318,3498,8,8,0.00390625,-94.2630293272805,-535.4604003546845,466.7860941542798,0.62109375,1.0
1h,dc55,earlier,471,2543,4.752381928132451,97.73093901342392,0.1019745547641559,464,2532,13,13,0.0001220703125,92.97855708529151,-285.059438013114,492.6995606078986,0.32666015625,
1h,dc55,later,338,1775,47.16221727716108,-38.421576220599555,-0.21961703435214813,318,1741,8,8,0.00390625,-85.58379349776061,-413.72253254934105,271.02498213969375,0.6796875,1.0
1h,sma20_60,earlier,471,3592,4.752381928132451,406.42122201110715,0.21669775201284713,464,3581,13,13,0.0001220703125,401.66884008297467,-0.12862454016302488,785.8886861737001,0.03955078125,
1h,sma20_60,later,338,2601,47.16221727716108,-48.02132366787475,-0.16067626064276952,318,2563,8,8,0.00390625,-95.18354094503577,-547.6824996931547,330.632732541183,0.65234375,1.0
4h,dc20,earlier,136,1285,32.35185346296792,-70.40188407499109,0.19335729980720695,134,1280,13,13,0.0001220703125,-102.75373753795903,-287.482283738341,82.16178330850339,0.8465576171875,
4h,dc20,later,102,943,-4.479355345881746,-19.514324235204743,0.08806181253292511,97,901,8,8,0.00390625,-15.034968889322997,-259.69643832067294,243.82872034945146,0.5390625,1.0
4h,dc55,earlier,136,628,32.35185346296792,-75.12416416644903,-0.021591356784571997,134,619,13,13,0.0001220703125,-107.47601762941694,-234.7280581997078,36.7867696451046,0.9154052734375,
4h,dc55,later,102,432,-4.479355345881746,8.202155373733635,-0.17959429964706633,97,411,8,8,0.00390625,12.681510719615368,-156.25124472326434,196.97838196749979,0.44921875,1.0
4h,sma20_60,earlier,136,890,32.35185346296792,-56.416364264551795,0.17258543275939636,134,890,13,13,0.0001220703125,-88.76821772751971,-246.22896681571308,66.69335297990771,0.8436279296875,
4h,sma20_60,later,102,645,-4.479355345881746,25.956924904404634,0.06416741990007006,97,621,8,8,0.00390625,30.4362802502864,-80.68996988965816,146.44851899285203,0.32421875,1.0
