variant,removed_family,n_events,n_long,n_short,mean_gross_bp,mean_net_bp,control_net_bp,paired_excess_bp,win_rate,stop_rate,profit_factor,mean_terminal_r,median_mfe_r,hit_1r_rate,hit_2r_rate,hit_3r_rate,hit_5r_rate,robust_score,worst_fold_excess_bp,positive_folds,fold_count,min_fold_n
frozen_final,,388,204,184,5.479507358505633,-14.520492641494382,-13.144459172048673,-1.3760334694457033,0.14948453608247422,0.8427835051546392,0.8294649636031918,-0.026233130810722916,1.0944671086180318,0.42783505154639173,0.2912371134020619,0.20103092783505155,0.1211340206185567,-15.234291730096071,-14.230247844746414,1,3,46
remove_k1_body_ratio,k1_body_ratio,634,319,315,-10.868503611959035,-30.868503611959053,-14.53911027690584,-16.329393335053204,0.13249211356466878,0.8564668769716088,0.6578514474912617,-0.15512079287253216,1.1347082494969654,0.4384858044164038,0.30757097791798105,0.21608832807570977,0.1277602523659306,-27.904318090899814,-25.682491120161878,0,3,90
remove_k1_range_atr,k1_range_atr,389,204,185,5.3940031330637686,-14.605996866936245,-13.237140144663309,-1.3688567222729344,0.14910025706940874,0.8431876606683805,0.8282670322396322,-0.0287363875438573,1.0945945945945743,0.42930591259640105,0.2930591259640103,0.20308483290488433,0.12339331619537275,-15.214945647114048,-14.230247844746414,1,3,46
remove_k1_volume,k1_volume,646,341,305,27.827882271551122,7.8278822715511005,-18.297222612429135,26.12510488398025,0.17956656346749225,0.8126934984520123,1.0975425133723726,0.2681751067161762,1.2062243580878746,0.45975232198142413,0.32972136222910214,0.2585139318885449,0.16408668730650156,21.991709037203545,22.856967375990084,3,3,71
remove_stop_distance,stop_distance,407,212,195,-1.060738831314881,-21.060738831314897,-8.520914895580281,-12.539823935734606,0.15724815724815724,0.8353808353808354,0.7608110819217034,-0.067338894370261,1.1138613861386124,0.4250614250614251,0.28746928746928746,0.1891891891891892,0.11056511056511056,-17.857462366318597,-22.505858973352172,0,3,46
remove_pre_retest_extension,pre_retest_extension,587,320,267,13.270935470436642,-6.729064529563375,-15.045904449646617,8.316839920083256,0.1686541737649063,0.8126064735945485,0.9198921371731403,0.04624846143863375,1.1538461538461355,0.44293015332197616,0.30153321976149916,0.21465076660988075,0.11584327086882454,-6.3817024945519165,-28.376820357607098,2,3,60
remove_rope_slope,rope_slope,460,232,228,-6.4078506554406145,-26.40785065544063,-12.385609928133883,-14.022240727306743,0.13260869565217392,0.8608695652173913,0.7031674342919908,-0.013111545253531856,1.0845238095238023,0.41304347826086957,0.27608695652173915,0.1891304347826087,0.11956521739130435,-10.155539571606777,-31.313952750675217,0,3,54
