segment,n_events,n_long,n_short,mean_gross_bp,mean_net_bp,control_net_bp,paired_excess_bp,win_rate,stop_rate,profit_factor,mean_terminal_r,median_mfe_r,hit_1r_rate,hit_2r_rate,hit_3r_rate,hit_5r_rate,robust_score,worst_fold_excess_bp,positive_folds,fold_count,min_fold_n,paired_signflip_p,paired_excess_ci95_low_bp,paired_excess_ci95_high_bp,quality_auc_net_positive,quality_top_decile_n,quality_top_decile_gross_bp,quality_top_decile_net_bp,quality_top_decile_control_net_bp,quality_top_decile_permutation_p,single_feature,single_feature_top_decile_n,single_feature_top_decile_gross_bp,single_feature_top_decile_net_bp,single_feature_top_decile_permutation_p
development_non_btc,558,305,253,45.77864781876458,25.778647818764572,-35.14928473562889,60.92793255439346,0.18996415770609318,0.8010752688172043,1.3187491236268225,0.6289196960090857,1.341666666666707,0.48566308243727596,0.34767025089605735,0.27060931899641577,0.1971326164874552,42.1040217206876,45.45978253464306,4,4,102,0.00019998000199980003,32.61155085919832,89.78683887523074,0.5625104357989648,56,95.61405947542578,75.61405947542578,-34.87894630570623,0.12768723127687232,k2_wick_share,56,-11.648642300203694,-31.648642300203694,0.9206079392060794
validation_non_btc,388,204,184,5.479507358505633,-14.520492641494382,-13.144459172048673,-1.3760334694457033,0.14948453608247422,0.8427835051546392,0.8294649636031918,-0.026233130810722916,1.0944671086180318,0.42783505154639173,0.2912371134020619,0.20103092783505155,0.1211340206185567,-15.234291730096071,-14.230247844746414,1,3,46,0.5353464653534646,-32.54262016443504,32.01570896742942,0.6458725182863114,39,48.66809123556905,28.668091235569047,15.932674714995347,0.1523847615238476,k2_wick_share,39,46.06326767020495,26.063267670204947,0.1553844615538446
btc_transfer_preholdout,25,14,11,6.76422078775758,-13.235779212242418,-34.94255487264167,21.70677566039925,0.28,0.72,0.6631554541294004,-0.021873541124007724,1.36864406779661,0.6,0.4,0.4,0.24,-10.783863686187601,-5.867591780078972,3,6,2,0.1272872712728727,-6.222999613738896,53.93477604868894,0.6111111111111112,3,-59.183164124051075,-79.18316412405109,-66.3488825579952,0.9942005799420058,k2_wick_share,3,44.93342117075268,24.933421170752677,0.1855814418558144
