dimension,value,period,n,net_bp,control_net_bp,paired_excess_bp,win_rate,hit_2r_rate
gap_bars,3,development,76,-1.139669883467124,-41.08933530238667,39.94966541891955,0.15789473684210525,0.3026315789473684
gap_bars,1,development,240,37.576978206584734,-45.75829740408055,83.33527561066529,0.19583333333333333,0.35833333333333334
gap_bars,2,development,125,28.95299072823222,-28.58876686138842,57.54175758962064,0.24,0.44
gap_bars,4,development,35,-37.62759978428712,-25.336655271469876,-12.290944512817251,0.14285714285714285,0.2857142857142857
gap_bars,6,development,12,92.65855420508285,-35.082539099543055,127.74109330462593,0.25,0.25
gap_bars,8,development,11,-93.54711231793787,87.92310709551612,-181.47021941345398,0.0,0.09090909090909091
gap_bars,12,development,4,178.47629240947904,14.367222186902817,164.10907022257618,0.5,0.5
gap_bars,10,development,10,1.9787685434786775,48.13802302010785,-46.15925447662917,0.2,0.4
gap_bars,7,development,16,-54.788547789683655,-22.287655184610905,-32.50089260507275,0.0625,0.3125
gap_bars,5,development,16,212.7225490808833,-94.17106872931463,306.89361781019795,0.1875,0.25
gap_bars,11,development,7,56.34567585078553,1.43083557833081,54.91484027245472,0.14285714285714285,0.14285714285714285
gap_bars,9,development,6,-97.91220763270897,-46.63838742926009,-51.27382020344888,0.0,0.0
gap_bars,3,validation,53,-29.20934147386006,-31.351270479031104,2.141929005171047,0.09433962264150944,0.2641509433962264
gap_bars,2,validation,78,19.69442542245329,-20.787805364878164,40.482230787331474,0.21794871794871795,0.3333333333333333
gap_bars,1,validation,190,-34.629904066063006,-1.0017899370872483,-33.628114128975746,0.1368421052631579,0.2736842105263158
gap_bars,10,validation,8,-49.79578541248667,-52.815978900884545,3.0201934883978643,0.25,0.375
gap_bars,4,validation,24,-61.369144443767304,-10.565249898379363,-50.80389454538795,0.041666666666666664,0.20833333333333334
gap_bars,7,validation,4,-2.2284751592033074,92.91702094818078,-95.14549610738409,0.25,0.5
gap_bars,6,validation,9,-77.80039416324966,-75.84571056978194,-1.954683593467699,0.0,0.2222222222222222
gap_bars,5,validation,7,137.09070284596433,2.3378913889153754,134.75281145704895,0.42857142857142855,0.5714285714285714
gap_bars,8,validation,5,-70.54693828091783,9.62079429751552,-80.16773257843334,0.0,0.2
gap_bars,9,validation,7,440.7165194339979,-78.15966603796225,518.8761854719602,0.42857142857142855,0.5714285714285714
gap_bars,12,validation,3,-51.30404122780021,-52.319441899972205,1.0154006721719948,0.0,0.0
