step,family,arm,description,eligible,accepted,n_events,n_long,n_short,mean_gross_bp,mean_net_bp,control_net_bp,paired_excess_bp,win_rate,stop_rate,profit_factor,mean_terminal_r,median_mfe_r,hit_1r_rate,hit_2r_rate,hit_3r_rate,hit_5r_rate,robust_score,worst_fold_excess_bp,positive_folds,fold_count,min_fold_n
2,k1_cross_depth,cross_0.2,K1 full-rope depth ≥ 0.2 ATR,False,False,588,259,329,8.497466960620784,-11.50253303937923,-32.982158751979256,21.47962571260003,0.1598639455782313,0.8299319727891157,0.8597681013002916,0.036846202409977345,1.4401873137505423,0.4744897959183674,0.34523809523809523,0.24829931972789115,0.1598639455782313,-3.5224172284572344,-2.579313954297545,2,4,124
3,k1_sma40_cross,sma40_0,K1 SMA40(HL2) cross depth ≥ 0 ATR,True,False,2118,1035,1083,9.218537661287998,-10.781462338712014,-22.48964309017911,11.708180751467106,0.15439093484419264,0.8352219074598678,0.8645063080176788,0.17280582085075055,1.3065734265734132,0.4457034938621341,0.32011331444759206,0.24079320113314448,0.15816808309726157,9.018147084412261,2.0486265546470377,4,4,419
3,k1_sma40_cross,sma40_0.05,K1 SMA40(HL2) cross depth ≥ 0.05 ATR,True,False,2015,985,1030,9.6371469733816,-10.362853026618414,-21.167450548584174,10.80459752196577,0.15583126550868487,0.8337468982630273,0.8700816614162836,0.20012529688717215,1.2999999999999847,0.4456575682382134,0.3205955334987593,0.2421836228287841,0.1607940446650124,3.206460363280236,1.8135347743660366,4,4,397
3,k1_sma40_cross,sma40_0.1,K1 SMA40(HL2) cross depth ≥ 0.1 ATR,True,False,1914,935,979,9.634957488035536,-10.365042511964477,-20.914942028688092,10.549899516723624,0.15673981191222572,0.8312434691745036,0.8701162181173934,0.2067282144515097,1.3202451838879201,0.4498432601880878,0.3234064785788924,0.241901776384535,0.15987460815047022,6.481395965142653,0.23975200266207342,4,4,379
4,k1_body_ratio,body_0.35,K1 body/range ≥ 0.35,True,False,2758,1380,1378,9.854454127701112,-10.145545872298902,-23.008498816750617,12.86295294445172,0.15300942712110224,0.8364757070340827,0.8729332061698163,0.185717219013386,1.3247518610421567,0.4419869470630892,0.3201595358955765,0.2378535170413343,0.15699782451051486,12.860381566723182,1.1149517834294116,4,4,550
4,k1_body_ratio,body_0.5,K1 body/range ≥ 0.5,True,False,2608,1321,1287,8.706303255743167,-11.293696744256847,-22.5579968054026,11.264300061145764,0.1526073619631902,0.8362730061349694,0.8593867641892965,0.1760431560749502,1.3333333333332478,0.44133435582822084,0.31940184049079756,0.2392638036809816,0.1579754601226994,10.324623631438586,3.685684374092791,4,4,522
4,k1_body_ratio,body_0.65,K1 body/range ≥ 0.65,True,False,2132,1113,1019,9.67414166760648,-10.325858332393533,-21.044519919007048,10.718661586613516,0.15056285178236398,0.8381801125703565,0.8700949532672462,0.20051661812025948,1.338541666666711,0.4451219512195122,0.3231707317073171,0.2401500938086304,0.15337711069418386,7.645963665322888,0.4935446044423556,4,4,411
4,k1_body_ratio,body_0.75,K1 body/range ≥ 0.75,True,True,1552,831,721,12.775637676890481,-7.224362323109532,-25.980323226041097,18.755960902931577,0.1481958762886598,0.8402061855670103,0.9101838074845039,0.1830343327862945,1.3468750000000513,0.44072164948453607,0.32023195876288657,0.23840206185567012,0.15012886597938144,15.9374079600171,6.055585544097141,4,4,295
5,k1_range_atr,range_0.8,K1 range ≥ 0.8 ATR,True,False,1505,800,705,13.065777942213364,-6.934222057786652,-26.143020126379646,19.208798068593012,0.15016611295681062,0.8385382059800665,0.9143273854362755,0.20269192125708874,1.361702127659607,0.440531561461794,0.3215946843853821,0.24186046511627907,0.15415282392026577,16.942954353962953,8.182218880141365,4,4,285
5,k1_range_atr,range_1,K1 range ≥ 1 ATR,True,True,1420,748,672,15.057198705699976,-4.942801294300036,-26.512663790969675,21.56986249666965,0.1528169014084507,0.8359154929577465,0.9391181057467173,0.24235407469995637,1.3519230769231192,0.44014084507042256,0.321830985915493,0.2415492957746479,0.1556338028169014,18.027566035647574,15.678727536718592,4,4,278
5,k1_range_atr,range_1.25,K1 range ≥ 1.25 ATR,True,False,1235,644,591,11.817785067959747,-8.182214932040267,-27.12728636120635,18.94507142916609,0.15303643724696356,0.8356275303643724,0.901660026167754,0.15912727700387602,1.326923076923069,0.44696356275303645,0.3214574898785425,0.23481781376518218,0.1522267206477733,14.737654123395188,15.775401921627056,4,4,255
5,k1_range_atr,range_1.5,K1 range ≥ 1.5 ATR,True,False,1008,521,487,14.159556087441725,-5.840443912558292,-26.59023659586734,20.74979268330906,0.15873015873015872,0.8283730158730159,0.9301862281099272,0.15146676214793095,1.3190909090909524,0.4573412698412698,0.3253968253968254,0.2361111111111111,0.15376984126984128,17.630382766536567,9.209898156086384,4,4,210
6,k1_close_location,close_0.65,K1 close near directional extreme ≥ 0.65,True,False,1420,748,672,15.057198705699976,-4.942801294300036,-26.512663790969675,21.56986249666965,0.1528169014084507,0.8359154929577465,0.9391181057467173,0.24235407469995637,1.3519230769231192,0.44014084507042256,0.321830985915493,0.2415492957746479,0.1556338028169014,18.027566035647574,15.678727536718592,4,4,278
6,k1_close_location,close_0.75,K1 close near directional extreme ≥ 0.75,True,False,1420,748,672,15.057198705699976,-4.942801294300036,-26.512663790969675,21.56986249666965,0.1528169014084507,0.8359154929577465,0.9391181057467173,0.24235407469995637,1.3519230769231192,0.44014084507042256,0.321830985915493,0.2415492957746479,0.1556338028169014,18.027566035647574,15.678727536718592,4,4,278
6,k1_close_location,close_0.85,K1 close near directional extreme ≥ 0.85,True,False,1174,624,550,13.844007767729908,-6.155992232270107,-26.002446667007625,19.84645443473753,0.1575809199318569,0.8321976149914821,0.9253483307892824,0.25361986004827936,1.3415178571428583,0.43100511073253833,0.31771720613287907,0.2402044293015332,0.15417376490630325,21.045991069390606,12.049922510875865,4,4,216
6,k1_close_location,close_0.9,K1 close near directional extreme ≥ 0.9,False,False,854,467,387,-3.935406881875961,-23.93540688187598,-26.87515398082355,2.9397470989475813,0.14988290398126464,0.8395784543325527,0.7174211049849502,0.1571020475401655,1.3580824972129488,0.4496487119437939,0.32084309133489464,0.23302107728337237,0.13934426229508196,-0.6840494992307029,-11.219589605776049,2,4,160
7,k1_volume,volume_0.8,K1 volume / prior20 ≥ 0.8,True,False,1259,652,607,14.385247139051103,-5.614752860948912,-28.567512960521753,22.95276009957285,0.1580619539316918,0.82922954725973,0.9314678859053511,0.23512559952565987,1.3636363636363773,0.4455917394757744,0.32247815726767276,0.2390786338363781,0.15647339158061954,16.121142809972866,18.160269927729292,4,4,258
7,k1_volume,volume_1,K1 volume / prior20 ≥ 1,True,False,1143,581,562,16.976143465240007,-3.023856534760009,-27.562203595948997,24.538347061188997,0.15660542432195976,0.8302712160979877,0.9633387082783178,0.18792762988931228,1.4042553191489522,0.45231846019247596,0.32720909886264216,0.23972003499562555,0.15660542432195976,16.670855560205183,19.678414507462865,4,4,234
7,k1_volume,volume_1.25,K1 volume / prior20 ≥ 1.25,True,False,1003,491,512,17.144553578754778,-2.8554464212452397,-27.247164756011074,24.39171833476584,0.16051844466600199,0.8285144566301097,0.9653948479264095,0.1604037063396481,1.4084507042253775,0.46360917248255235,0.3339980059820538,0.2432701894317049,0.15952143569292124,20.881192651734786,17.998521897907878,4,4,203
7,k1_volume,volume_1.5,K1 volume / prior20 ≥ 1.5,True,True,880,425,455,20.7917017070427,0.7917017070426853,-27.15441821991185,27.946119926954548,0.1625,0.825,1.0095970626253423,0.22881532771216342,1.3970428353989988,0.4693181818181818,0.3386363636363636,0.24659090909090908,0.16363636363636364,25.157065608579064,16.17717547925869,4,4,182
7,k1_volume,volume_2,K1 volume / prior20 ≥ 2,True,False,618,306,312,19.323460351401927,-0.6765396485980922,-24.34693530548173,23.670395656883645,0.156957928802589,0.8284789644012945,0.9920133314002971,0.058133457728641376,1.3561594202899163,0.46601941747572817,0.3333333333333333,0.23948220064724918,0.1634304207119741,8.280852939901942,-2.1935980088104836,3,4,121
8,rope_width,rope_0.25,K2 six-MA rope width ≤ 0.25 ATR,False,False,8,4,4,47.37341226176125,27.373412261761246,101.15700025446878,-73.78358799270754,0.25,0.75,1.261160600620045,1.1446153846153932,1.7443639291465187,0.75,0.375,0.25,0.25,-162.66796704270476,-402.868019525749,1,3,0
8,rope_width,rope_0.5,K2 six-MA rope width ≤ 0.5 ATR,False,False,91,39,52,-9.053341703641124,-29.053341703641134,-32.39058345100159,3.3372417473604528,0.14285714285714285,0.8571428571428571,0.6377283018899572,-0.20043583695167935,1.2741061755145981,0.4175824175824176,0.32967032967032966,0.21978021978021978,0.16483516483516483,-13.118144638141368,-54.44367931770191,2,4,13
8,rope_width,rope_0.75,K2 six-MA rope width ≤ 0.75 ATR,False,False,281,126,155,-8.822822533365091,-28.82282253336511,-17.608012236829023,-11.214810296536074,0.1423487544483986,0.8398576512455516,0.6741790611793279,0.04920074894156306,1.4680851063829774,0.47686832740213525,0.3202846975088968,0.22419928825622776,0.1423487544483986,-26.146148874442126,-49.29738836053033,2,4,58
8,rope_width,rope_1,K2 six-MA rope width ≤ 1 ATR,False,False,490,210,280,11.165482048268164,-8.834517951731852,-26.64574365763339,17.811225705901546,0.14285714285714285,0.8448979591836735,0.8980616592898675,0.3166428991915016,1.531623175586021,0.47551020408163264,0.3408163265306122,0.25510204081632654,0.1673469387755102,6.476720563930902,-1.1594713391261762,2,4,103
9,k2_wick_share,wick_0.3,K2 rejection wick/range ≥ 0.3,True,False,769,367,402,16.437648193084595,-3.5623518069154185,-29.63152675912729,26.069174952211885,0.17035110533159947,0.8179453836150845,0.958392052289855,0.2204975938494507,1.3181818181819005,0.5071521456436932,0.34850455136540964,0.2483745123537061,0.16514954486345904,18.084581786622373,0.47589825380119855,4,4,155
9,k2_wick_share,wick_0.45,K2 rejection wick/range ≥ 0.45,False,False,590,276,314,2.6092040846328928,-17.390795915367125,-11.07647253012254,-6.31432338524457,0.15254237288135594,0.8338983050847457,0.809937652547151,-0.051110555159960776,1.2054648357765596,0.5050847457627119,0.3152542372881356,0.23220338983050848,0.13559322033898305,-23.777967470006587,-50.43168620779013,2,4,116
9,k2_wick_share,wick_0.6,K2 rejection wick/range ≥ 0.6,False,False,323,158,165,3.45894379000938,-16.541056209990636,-39.395877691187486,22.85482148119685,0.15479876160990713,0.8359133126934984,0.8282812082661739,0.011688050684731364,1.0857142857142885,0.5015479876160991,0.3157894736842105,0.2043343653250774,0.12074303405572756,-2.863277179677304,-4.1978526705516,2,4,62
9,k2_wick_share,wick_0.7,K2 rejection wick/range ≥ 0.7,False,False,169,80,89,7.442519996570066,-12.557480003429946,-44.538444777366244,31.980964773936304,0.16568047337278108,0.834319526627219,0.8672762883751797,-0.09164622460630073,1.0450450450450606,0.5088757396449705,0.2958579881656805,0.17751479289940827,0.08284023668639054,12.771259555697046,-13.22148013014679,3,4,34
10,k2_body_ratio,k2_body_0.5,K2 body/range ≤ 0.5,True,False,796,384,412,16.36197246446579,-3.6380275355342264,-19.13914037256033,15.501112837026113,0.1507537688442211,0.8379396984924623,0.9555499264352653,0.2841726056216576,1.3257992007991994,0.4635678391959799,0.32663316582914576,0.24246231155778894,0.15829145728643215,9.421343390809808,-33.940271698609756,3,4,167
10,k2_body_ratio,k2_body_0.35,K2 body/range ≤ 0.35,True,False,713,341,372,13.4248096137424,-6.575190386257614,-16.318647875081123,9.743457488823509,0.1388499298737728,0.8541374474053296,0.9175759120458493,0.2215577725142894,1.2888888888889096,0.45722300140252453,0.3155680224403927,0.2426367461430575,0.1514726507713885,1.7276244716760232,-54.35081742270979,3,4,143
10,k2_body_ratio,k2_body_0.2,K2 body/range ≤ 0.2,True,False,558,264,294,7.678320367263276,-12.321679632736737,-27.50622842215872,15.18454878942199,0.12186379928315412,0.8691756272401434,0.8403912650104093,0.19870664176242805,1.3273809523809472,0.4390681003584229,0.3046594982078853,0.22580645161290322,0.14336917562724014,9.970447824909842,-20.322336702098106,3,4,110
10,k2_body_ratio,k2_body_0.1,K2 body/range ≤ 0.1,False,False,350,170,180,8.999480475119206,-11.000519524880808,-25.617394578481985,14.616875053601188,0.11714285714285715,0.8771428571428571,0.8514170369723855,0.30182209386826503,1.4500993048661193,0.4542857142857143,0.3,0.24285714285714285,0.16,-4.169084005990193,-26.2858690660236,2,4,60
11,k2_rejection,reject_0.65,K2 closes ≥ 0.65 of rejection range,False,False,673,316,357,16.039880221521628,-3.96011977847839,-22.03316463510993,18.073044856631547,0.1961367013372957,0.7845468053491828,0.9623889143346441,0.08598786314228314,1.0909090909091121,0.5200594353640416,0.31946508172362553,0.21545319465081725,0.1277860326894502,-17.618020910605093,-23.927517720961568,2,4,136
11,k2_rejection,reject_0.75,K2 closes ≥ 0.75 of rejection range,False,False,558,258,300,8.598931005605778,-11.401068994394238,-21.648757193207384,10.247688198813147,0.2007168458781362,0.7831541218637993,0.8955822795510892,0.06867648221319435,1.0427245427245537,0.507168458781362,0.3279569892473118,0.20967741935483872,0.12544802867383512,-21.243293560997238,-18.753197650163397,1,4,106
11,k2_rejection,reject_0.85,K2 closes ≥ 0.85 of rejection range,False,False,414,191,223,8.323025033879947,-11.676974966120069,-23.54093094558018,11.863955979460115,0.20531400966183574,0.782608695652174,0.896822378679125,0.010960651647202432,1.1013888888889045,0.5289855072463768,0.35507246376811596,0.22705314009661837,0.1280193236714976,-2.270161271953249,-60.51977456123703,2,4,67
11,k2_rejection,reject_0.9,K2 closes ≥ 0.9 of rejection range,False,False,288,128,160,8.195790589437085,-11.804209410562933,-20.420997215246448,8.616787804683522,0.21875,0.7638888888888888,0.899243506599001,0.05331489041834107,1.0664929990231233,0.5034722222222222,0.3576388888888889,0.22569444444444445,0.125,-22.803957389435283,-94.83747090475062,2,4,42
12,k2_touch_depth,touch_near,K2 touch depth −0.10…0.50 ATR,True,False,718,343,375,24.12662041763792,4.126620417637902,-19.178606833500016,23.305227251137925,0.149025069637883,0.8398328690807799,1.0538536599160715,0.22903310463834015,1.428571428571474,0.4456824512534819,0.33147632311977715,0.2395543175487465,0.16434540389972144,15.126915895991678,-7.386182765380792,3,4,145
12,k2_touch_depth,touch_inside,K2 penetrates rope 0…0.75 ATR,True,False,728,338,390,17.59490145300257,-2.405098546997446,-24.467167015941442,22.062068468944002,0.14285714285714285,0.8434065934065934,0.970221870220255,0.27964222707726677,1.3750000000000193,0.44642857142857145,0.33516483516483514,0.24175824175824176,0.15521978021978022,7.7528466482888465,-11.681887573179301,3,4,153
12,k2_touch_depth,touch_moderate,K2 touch depth −0.05…1.00 ATR,True,False,786,371,415,16.77168376768905,-3.2283162323109638,-22.387639175363844,19.159322943052892,0.15267175572519084,0.8358778625954199,0.9606586319919125,0.2643274768809374,1.4478221415609966,0.4681933842239186,0.356234096692112,0.25318066157760816,0.15648854961832062,9.851151673953025,3.2802292277269434,4,4,163
12,k2_touch_depth,touch_deep,K2 penetrates rope 0.25…1.50 ATR,True,False,664,307,357,10.865592999498265,-9.134407000501751,-27.456552976845785,18.322145976344036,0.1536144578313253,0.8328313253012049,0.8927656318328844,0.21589888460931575,1.362669245647967,0.4563253012048193,0.3313253012048193,0.23795180722891565,0.13855421686746988,12.334243523186437,1.1081681139321709,4,4,138
13,k2_reclaim,reclaim_0,K2 close beyond rope ≥ 0 ATR,True,False,752,365,387,22.38194274551357,2.3819427455135513,-26.52533367384077,28.90727641935433,0.17819148936170212,0.8018617021276596,1.0267889611065242,0.1787383784818688,1.2186379928315483,0.4734042553191489,0.32313829787234044,0.23670212765957446,0.16489361702127658,14.922102916926498,14.085128010752381,4,4,153
13,k2_reclaim,reclaim_0.05,K2 close beyond rope ≥ 0.05 ATR,True,False,730,358,372,24.189975302690126,4.189975302690109,-25.957789060410605,30.147764363100727,0.18082191780821918,0.8013698630136986,1.0469562821879779,0.18663627713350156,1.2439024390244224,0.4780821917808219,0.3232876712328767,0.236986301369863,0.1643835616438356,13.40365420638905,7.242411895629357,4,4,148
13,k2_reclaim,reclaim_0.1,K2 close beyond rope ≥ 0.1 ATR,True,False,703,345,358,24.570963064909854,4.570963064909838,-24.752430033260882,29.323393098170726,0.18207681365576103,0.8008534850640113,1.0503982190726349,0.1647887678458239,1.232558139534878,0.4694167852062589,0.32432432432432434,0.23470839260312945,0.15647226173541964,11.403236250771368,-9.74168845564902,3,4,139
13,k2_reclaim,reclaim_0.2,K2 close beyond rope ≥ 0.2 ATR,True,False,661,325,336,26.683125999379655,6.683125999379646,-25.53346726071141,32.21659326009107,0.19213313161875945,0.7912254160363086,1.071733430118863,0.18408613341502697,1.2,0.4795763993948563,0.3313161875945537,0.2405446293494705,0.15279878971255673,9.903107717305984,-0.6134110790625582,3,4,132
14,stop_distance,risk_0.1_1,entry-to-K2 stop 0.10–1.00 ATR,True,False,836,401,435,20.729375082667637,0.7293750826676247,-24.49121160019816,25.22058668286579,0.13995215311004786,0.8504784688995215,1.0097756534636189,0.23018981222125198,1.4125586854459726,0.458133971291866,0.3373205741626794,0.2595693779904306,0.1686602870813397,17.425181848164407,-0.32821113982331784,3,4,176
14,stop_distance,risk_0.15_1.5,entry-to-K2 stop 0.15–1.50 ATR,True,True,864,414,450,22.402838819569794,2.4028388195697787,-28.60372028175599,31.006559101325777,0.15856481481481483,0.8287037037037037,1.0295452634464168,0.24686221644779305,1.3970428353989988,0.48032407407407407,0.34375,0.2534722222222222,0.16550925925925927,29.782206055925755,16.943407279744857,4,4,180
14,stop_distance,risk_0.25_2,entry-to-K2 stop 0.25–2.00 ATR,True,False,854,409,445,22.33645226958787,2.336452269587854,-28.949193527335005,31.285645796922864,0.1756440281030445,0.8067915690866511,1.026784374861664,0.16734501856954095,1.2499999999999276,0.5011709601873536,0.3407494145199063,0.2423887587822014,0.1592505854800937,25.729358458977394,17.713471558519757,4,4,177
14,stop_distance,risk_0.5_2.5,entry-to-K2 stop 0.50–2.50 ATR,True,False,709,330,379,22.993858550155704,2.993858550155686,-26.105646492879508,29.099505043035204,0.22284908321579688,0.7545839210155149,1.0286642187312436,0.16170255049730134,1.1917808219178272,0.538787023977433,0.3441466854724965,0.23554301833568406,0.14245416078984485,6.929141969458666,-21.588621921551546,3,4,139
15,k2_vs_k1_extreme,extreme_-0.5,K2 higher-low/lower-high distance ≥ -0.5 ATR,True,False,862,413,449,22.153861134482383,2.153861134482367,-27.04906834198612,29.202929476468494,0.15661252900232017,0.8306264501160093,1.0265201319967183,0.24382318743162165,1.4001226742997082,0.4791183294663573,0.3422273781902552,0.2529002320185615,0.16589327146171692,27.178972813739037,17.09394446867809,4,4,179
15,k2_vs_k1_extreme,extreme_0,K2 higher-low/lower-high distance ≥ 0 ATR,True,False,857,410,447,23.14113203113229,3.1411320311322783,-27.17078445462904,30.31191648576133,0.15635939323220538,0.8308051341890315,1.0391392186111676,0.2519644401494966,1.4029850746268122,0.47841306884480744,0.3418903150525088,0.25204200700116686,0.16569428238039674,29.270103312221778,16.881618842094937,4,4,179
15,k2_vs_k1_extreme,extreme_0.25,K2 higher-low/lower-high distance ≥ 0.25 ATR,True,False,847,406,441,23.155115387058157,3.1551153870581437,-26.57387798442334,29.72899337148149,0.15584415584415584,0.8311688311688312,1.0393752586767668,0.26597402906893747,1.3968253968253936,0.4781582054309327,0.3435655253837072,0.256198347107438,0.17119244391971664,27.504678328353783,16.948225964771623,4,4,176
15,k2_vs_k1_extreme,extreme_0.5,K2 higher-low/lower-high distance ≥ 0.5 ATR,True,False,832,400,432,23.34095163448317,3.3409516344831554,-26.611646151817695,29.95259778630086,0.15745192307692307,0.8293269230769231,1.0419221234794047,0.2580911357835657,1.3558510638298469,0.4735576923076923,0.33774038461538464,0.2548076923076923,0.16947115384615385,24.5967814467826,20.388673544475427,4,4,171
16,close_distance,close_abs_0.5,|K2 close − K1 close| ≤ 0.5 ATR,True,False,613,294,319,17.428774942660166,-2.571225057339847,-33.86095104135589,31.28972598401605,0.1468189233278956,0.8450244698205547,0.9690996351001161,0.3041472836521862,1.2537313432835733,0.45840130505709625,0.3197389885807504,0.24796084828711257,0.1631321370309951,21.81712580914887,22.24873739597419,4,4,106
16,close_distance,close_abs_1,|K2 close − K1 close| ≤ 1 ATR,True,False,760,361,399,29.57506296967415,9.575062969674132,-27.448587697234245,37.02365066690839,0.16052631578947368,0.8289473684210527,1.1197680506424763,0.33838230865661867,1.3640862495581492,0.4723684210526316,0.34078947368421053,0.2578947368421053,0.175,26.962135955920683,19.480487582369957,4,4,147
16,close_distance,close_abs_1.5,|K2 close − K1 close| ≤ 1.5 ATR,True,False,819,393,426,20.849418044856968,0.8494180448569502,-28.031503588448945,28.880921633305906,0.1562881562881563,0.8327228327228328,1.0102928445211805,0.26593552430098194,1.37142857142859,0.47374847374847373,0.33455433455433453,0.24786324786324787,0.16727716727716727,21.64855439548507,14.320455786950253,4,4,165
17,pre_retest_extension,extension_0.5,pre-retest continuation ≤ 0.5 ATR,True,False,519,262,257,38.46297045207494,18.462970452074924,-37.78203362672003,56.24500407879495,0.17148362235067438,0.8227360308285164,1.226355662323362,0.47469109989029656,1.3333333333333273,0.45472061657032753,0.33911368015414256,0.26396917148362237,0.17533718689788053,29.055291664274826,34.66772340032446,4,4,93
17,pre_retest_extension,extension_1,pre-retest continuation ≤ 1 ATR,True,True,628,320,308,37.05066504001533,17.050665040015314,-35.594457071663534,52.645122111678866,0.1735668789808917,0.821656050955414,1.2098045003152602,0.4427852535727553,1.3446428571428934,0.4681528662420382,0.34235668789808915,0.267515923566879,0.18312101910828024,39.938667816095375,34.258615609366686,4,4,116
17,pre_retest_extension,extension_2,pre-retest continuation ≤ 2 ATR,True,False,758,364,394,29.01004475875854,9.010044758758518,-31.789176439895943,40.79922119865447,0.16490765171503957,0.8258575197889182,1.1121242796120612,0.3335100078762381,1.4125586854459726,0.4815303430079156,0.3482849604221636,0.2598944591029024,0.17282321899736147,39.53111721857653,38.753892249005645,4,4,153
17,pre_retest_extension,extension_3,pre-retest continuation ≤ 3 ATR,True,False,836,398,438,24.526307960474384,4.526307960474366,-29.9955487358567,34.52185669633107,0.16028708133971292,0.8265550239234449,1.0557729077345548,0.27579575331657535,1.405026210299107,0.4820574162679426,0.3444976076555024,0.25239234449760767,0.16626794258373206,32.68123052372144,19.001926909638318,4,4,169
18,path_variation,path_1.5,K1→K2 path variation ≤ 1.5 ATR,True,False,526,270,256,37.89118340621296,17.891183406212942,-32.72197999296588,50.613163399178816,0.17870722433460076,0.8155893536121673,1.2254920719361895,0.5129464962988153,1.4805194805194806,0.4847908745247148,0.3612167300380228,0.2813688212927757,0.1958174904942966,37.624870197675165,16.055020078142906,4,4,97
18,path_variation,path_3,K1→K2 path variation ≤ 3 ATR,True,False,584,300,284,34.21593344850631,14.215933448506293,-33.540384047973895,47.75631749648021,0.1695205479452055,0.8253424657534246,1.1743961857815162,0.44458878963988113,1.3970428353989988,0.4691780821917808,0.3441780821917808,0.2671232876712329,0.18493150684931506,35.990938898272844,29.925770954240193,4,4,107
18,path_variation,path_5,K1→K2 path variation ≤ 5 ATR,True,False,614,311,303,36.34957223956604,16.349572239566015,-35.39730773651328,51.7468799760793,0.17100977198697068,0.8241042345276873,1.2002698265153968,0.43723213958243773,1.3707006878899444,0.47068403908794787,0.34364820846905536,0.2687296416938111,0.18566775244299674,42.15441918385734,27.78833705923359,4,4,113
