segment,horizon_bars,n,gross_bp,net_bp,control_net_bp,paired_excess_bp
development_non_btc,12,558,25.88385608184627,5.883856081846255,-28.12220342605954,34.00605950790579
development_non_btc,24,558,45.77864781876458,25.778647818764572,-35.14928473562889,60.92793255439346
development_non_btc,48,558,48.955714504609176,28.955714504609166,-36.87075190998302,65.82646641459219
validation_non_btc,12,388,-8.207250988828093,-28.207250988828108,-17.773318595717683,-10.433932393110416
validation_non_btc,24,388,5.479507358505633,-14.520492641494382,-13.144459172048673,-1.3760334694457033
validation_non_btc,48,388,2.403199175270615,-17.5968008247294,-12.938678646310965,-4.658122178418433
btc_transfer_preholdout,12,25,-0.05451738139559126,-20.05451738139559,-36.765687013675226,16.71116963227964
btc_transfer_preholdout,24,25,6.76422078775758,-13.235779212242418,-34.94255487264167,21.70677566039925
btc_transfer_preholdout,48,25,50.772708960595516,30.77270896059551,-27.63312602955799,58.4058349901535
