gate_id,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,baseline_top_decile_events,baseline_top_decile_event_capture,baseline_top_decile_positive_pnl_capture,candidate_p95_net_bp,baseline_p95_net_bp,candidate_p95_net_retention,selection_rate,candidate_minus_v16_mean_net_bp,minimum_fold_events,positive_folds,folds_beating_v16,familywise_permutation_p
minimum_0p75,77,19.775490656473135,-0.22450934352677976,-49.48533752977,0.2727272727272727,0.9961554655278255,0.1679541433295888,-0.17501618505135041,27.0,224.1007344237099,697.275504776673,0.40444954570963915,19,0.631578947368421,0.6248749266506071,369.10957363001444,273.69915667331327,1.3485959478880778,0.4230769230769231,22.09911931021204,16,1,3,0.35427291454170917
minimum_0p80,66,20.51807083120379,0.5180708312038756,-51.4795736701645,0.2878787878787879,1.008750728409905,-0.014295752852803933,-0.15006715334012588,28.5,229.4177879505535,697.275504776673,0.40511781245582384,19,0.5263157894736842,0.5367628004771993,365.64864316482976,273.69915667331327,1.3359509309751627,0.3626373626373626,22.841699484942694,14,2,3,0.34119317613647726
minimum_0p85,54,24.590664868649636,4.590664868649699,-51.4795736701645,0.2962962962962963,1.0773220645956814,0.028814080623340343,-0.12480396498565538,25.5,240.05189500424143,697.275504776673,0.4458551654096422,19,0.47368421052631576,0.46793190862223777,362.1095785111781,273.69915667331327,1.3230204393482707,0.2967032967032967,26.91429352238852,11,2,3,0.2755944881102378
minimum_0p90,44,35.70780919951993,15.707809199519994,-46.538139894251,0.3181818181818182,1.2704025591336199,0.09176000437292164,-0.10745877301745821,33.0,273.3058802429327,697.275504776673,0.48675038037307783,19,0.42105263157894735,0.4375295282291,366.53340932824267,273.69915667331327,1.3391835538818857,0.24175824175824176,38.031437853258815,8,2,4,0.1493370132597348
minimum_0p95,37,50.95497762569306,30.954977625693104,-26.026209366846,0.3783783783783784,1.54493281291985,0.20140442098036915,-0.08080083234461066,36.0,312.0379846906937,697.275504776673,0.5164316965956546,19,0.42105263157894735,0.4375295282291,369.1095736300144,273.69915667331327,1.3485959478880776,0.2032967032967033,53.278606279431926,7,3,4,0.056478870422591546
minimum_1p00,28,76.78175681427336,56.781756814273386,-20.2614189531895,0.4642857142857143,1.9989955500024799,0.2987222719433946,-0.06770640302119801,49.0,361.6671954294717,697.275504776673,0.561207370827565,19,0.42105263157894735,0.4375295282291,371.91985750748233,273.69915667331327,1.3588637320918204,0.15384615384615385,79.1053854680122,4,4,4,0.009079818403631928
minimum_1p05,22,66.4444411357035,46.44444113570353,-37.926753053578004,0.4090909090909091,1.6865017930538007,0.22918369914726577,-0.0677064030211979,46.5,359.1466403685261,697.275504776673,0.586559352015484,19,0.3157894736842105,0.35704895649284146,373.7933800924609,273.69915667331327,1.365708921560982,0.12087912087912088,68.76806978944235,3,3,4,0.019239615207695845
geometric_mean_0p75,115,5.833429828638892,-14.166570171361009,-63.780517462098,0.23478260869565218,0.7707203018577475,-0.09724451335718376,-0.3162740450224857,22.0,195.90856855769775,697.275504776673,0.3761913929935359,19,0.7894736842105263,0.7686233266118744,361.6671954294717,273.69915667331327,1.3214041278949094,0.6318681318681318,8.15705848237781,25,1,3,0.6575068498630028
geometric_mean_0p80,89,5.934237776489287,-14.065762223510646,-68.478426627855,0.24719101123595505,0.7818556177768087,0.0034262044214787846,-0.24974295656616485,22.0,188.98461679906123,697.275504776673,0.3952590741922061,19,0.631578947368421,0.6248749266506071,364.32149391971035,273.69915667331327,1.331101996615078,0.489010989010989,8.257866430228173,19,1,2,0.6549269014619707
geometric_mean_0p85,75,9.275607850485091,-10.724392149514829,-64.713841002284,0.26666666666666666,0.8296582282431825,0.07599451172073013,-0.20927885757699216,23.0,195.90856855769775,697.275504776673,0.39647592679133414,19,0.5263157894736842,0.5315873065733685,361.6671954294717,273.69915667331327,1.3214041278949094,0.41208791208791207,11.59923650422399,16,1,2,0.5732485350292994
geometric_mean_0p90,63,14.332942558862417,-5.66705744113751,-53.131850600019,0.2857142857142857,0.9079502176879498,-0.03225810239078186,-0.1501684726346797,24.0,199.37054443701584,697.275504776673,0.4024183981471284,19,0.47368421052631576,0.46793190862223777,351.1837448978097,273.69915667331327,1.283101304243264,0.34615384615384615,16.656571212601307,12,1,3,0.46029079418411634
geometric_mean_0p95,50,31.66808831572472,11.668088315724816,-49.107308584155504,0.3,1.2047577553367188,0.09337151912391084,-0.10485839235926919,31.5,258.4748876787958,697.275504776673,0.4431607225041046,19,0.47368421052631576,0.46793190862223777,363.8791108380039,273.69915667331327,1.3294856851617165,0.27472527472527475,33.99171696946364,11,2,4,0.1883362332753345
geometric_mean_1p00,40,47.57557933437217,27.575579334372268,-24.904576672410997,0.35,1.5144456019121926,0.17842492575528834,-0.073765663654766,34.5,288.5505285664243,697.275504776673,0.4628085735091998,19,0.42105263157894735,0.4375295282291,368.1728123375251,273.69915667331327,1.3451733531534968,0.21978021978021978,49.89920798811109,7,3,4,0.07125857482850342
geometric_mean_1p05,33,58.36417254735507,38.364172547355146,-26.026209366846,0.36363636363636365,1.6783238949048789,0.2183115504338864,-0.06822141822544225,30.0,343.35459285638666,697.275504776673,0.4912051190198304,19,0.42105263157894735,0.4375295282291,370.3585886866668,273.69915667331327,1.3531594075341855,0.1813186813186813,60.68780120109396,6,4,4,0.03469930601387972
