failure_category,events,mean_net_bp
armed_profit_given_back,6,-28.75382717733467
early_stop_then_later_recovered,13,-115.4279425457507
false_launch_or_other_loss,10,-135.51029588919022
winner_large_giveback,7,176.10411632130942
winner_retained,1,205.620188400959
