scope,minutes,definition,side,bars,duration_hours,start_utc,last_open_utc,end_close_utc,break_bar_open_utc,left_censored,right_censored,right_boundary,start_close,end_close,price_change_pct,zero_volume_bars,max_wick_dip_into_ma_pct,rank
common,5,body,above,351,29.25,2026-01-13T03:15:00+00:00,2026-01-14T08:25:00+00:00,2026-01-14T08:30:00+00:00,2026-01-14T08:30:00+00:00,False,False,condition_failed,3108.55,3335.85,7.31209084621447,0,0.1181472605126626,1
common,5,body,below,365,30.416666666666668,2026-01-19T21:10:00+00:00,2026-01-21T03:30:00+00:00,2026-01-21T03:35:00+00:00,2026-01-21T03:35:00+00:00,False,False,condition_failed,3213.42,2971.95,-7.514423884832988,0,0.01714998186082089,1
common,5,close,above,352,29.333333333333332,2026-01-13T03:10:00+00:00,2026-01-14T08:25:00+00:00,2026-01-14T08:30:00+00:00,2026-01-14T08:30:00+00:00,False,False,condition_failed,3108.0,3335.85,7.33108108108107,0,0.11944813702904605,1
common,5,close,below,366,30.5,2026-01-19T21:05:00+00:00,2026-01-21T03:30:00+00:00,2026-01-21T03:35:00+00:00,2026-01-21T03:35:00+00:00,False,False,condition_failed,3216.85,2971.95,-7.613037598893335,0,0.06600569887855069,1
common,5,wick,above,258,21.5,2026-04-13T13:50:00+00:00,2026-04-14T11:15:00+00:00,2026-04-14T11:20:00+00:00,2026-04-14T11:20:00+00:00,False,False,condition_failed,2202.98,2373.32,7.732253583781978,0,0.0,1
common,5,wick,below,297,24.75,2026-01-20T02:50:00+00:00,2026-01-21T03:30:00+00:00,2026-01-21T03:35:00+00:00,2026-01-21T03:35:00+00:00,False,False,condition_failed,3194.06,2971.95,-6.9538455758501705,0,0.0,1
common,15,body,above,290,72.5,2026-07-02T01:00:00+00:00,2026-07-05T01:15:00+00:00,2026-07-05T01:30:00+00:00,2026-07-05T01:30:00+00:00,False,False,condition_failed,1608.59,1767.77,9.895622874691501,0,0.2777225188933411,1
common,15,body,below,457,114.25,2026-06-02T05:30:00+00:00,2026-06-06T23:30:00+00:00,2026-06-06T23:45:00+00:00,2026-06-06T23:45:00+00:00,False,False,condition_failed,1991.11,1566.85,-21.307712783321865,0,0.17551767607013513,1
common,15,close,above,291,72.75,2026-07-02T00:45:00+00:00,2026-07-05T01:15:00+00:00,2026-07-05T01:30:00+00:00,2026-07-05T01:30:00+00:00,False,False,condition_failed,1602.82,1767.77,10.291236695324502,0,0.27872229362413714,1
common,15,close,below,458,114.5,2026-06-02T05:15:00+00:00,2026-06-06T23:30:00+00:00,2026-06-06T23:45:00+00:00,2026-06-06T23:45:00+00:00,False,False,condition_failed,1991.28,1566.85,-21.314430918805993,0,0.4042291055669408,1
common,15,wick,above,289,72.25,2026-07-02T01:00:00+00:00,2026-07-05T01:00:00+00:00,2026-07-05T01:15:00+00:00,2026-07-05T01:15:00+00:00,False,False,condition_failed,1608.59,1771.1,10.102636470449266,0,0.0,1
common,15,wick,below,454,113.5,2026-06-02T06:00:00+00:00,2026-06-06T23:15:00+00:00,2026-06-06T23:30:00+00:00,2026-06-06T23:30:00+00:00,False,False,condition_failed,1981.35,1559.44,-21.294067176420107,0,0.0,1
common,60,body,above,199,199.0,2025-12-30T08:00:00+00:00,2026-01-07T14:00:00+00:00,2026-01-07T15:00:00+00:00,2026-01-07T15:00:00+00:00,False,False,condition_failed,2976.16,3190.15,7.190137627009308,0,0.37956237440128227,1
