tg_order,episode_id,direction,detection_time_utc,detection_time_cst,representative_confidence,max_confidence,confidence_uplift,episode_candidate_count,max_confidence_delay_bars,max_confidence_delay_minutes,window_len,confirmation_bars
1,ETH30D_001,SHORT,2026-07-31 07:15,2026-07-31 15:15,0.9235097765922546,0.9541950225830078,0.030685245990753174,29,1,15,22,4
2,ETH30D_002,SHORT,2026-07-31 14:00,2026-07-31 22:00,0.3900721371173858,0.9096084833145142,0.5195363461971283,21,2,30,22,4
3,ETH30D_003,SHORT,2026-08-01 17:45,2026-08-02 01:45,0.4013944566249847,0.9727977514266968,0.571403294801712,58,7,105,22,4
4,ETH30D_004,SHORT,2026-08-02 12:00,2026-08-02 20:00,0.6500332951545715,0.6500332951545715,0.0,6,0,0,18,4
5,ETH30D_005,LONG,2026-08-02 19:00,2026-08-03 03:00,0.6868403553962708,0.8009026050567627,0.11406224966049194,34,3,45,21,4
6,ETH30D_006,SHORT,2026-08-03 06:45,2026-08-03 14:45,0.2527659833431244,0.951438009738922,0.6986720263957976,35,2,30,22,4
7,ETH30D_007,SHORT,2026-08-04 01:00,2026-08-04 09:00,0.3277471959590912,0.3277471959590912,0.0,1,0,0,18,4
8,ETH30D_008,LONG,2026-08-04 13:00,2026-08-04 21:00,0.6359238028526306,0.6359238028526306,0.0,5,0,0,18,4
9,ETH30D_009,LONG,2026-08-05 12:45,2026-08-05 20:45,0.3072969019412994,0.3072969019412994,0.0,3,0,0,20,4
10,ETH30D_010,LONG,2026-08-05 16:45,2026-08-06 00:45,0.8515395522117615,0.9284402132034302,0.0769006609916687,57,7,105,19,4
11,ETH30D_011,LONG,2026-08-07 12:00,2026-08-07 20:00,0.6444012522697449,0.9495334029197692,0.3051321506500243,42,2,30,20,5
12,ETH30D_012,LONG,2026-08-09 23:00,2026-08-10 07:00,0.5284726023674011,0.7037622332572937,0.17528963088989258,13,1,15,20,4
13,ETH30D_013,SHORT,2026-08-10 13:00,2026-08-10 21:00,0.429350197315216,0.9737104177474976,0.5443602204322815,96,11,165,22,5
14,ETH30D_014,SHORT,2026-08-11 16:15,2026-08-12 00:15,0.9548729062080384,0.9660810232162476,0.011208117008209117,34,1,15,18,4
15,ETH30D_015,LONG,2026-08-12 04:15,2026-08-12 12:15,0.404719740152359,0.404719740152359,0.0,3,0,0,22,5
16,ETH30D_016,LONG,2026-08-12 09:30,2026-08-12 17:30,0.4231960773468017,0.9565327763557434,0.5333366990089417,47,4,60,25,4
17,ETH30D_017,LONG,2026-08-13 05:15,2026-08-13 13:15,0.4732913374900818,0.4732913374900818,0.0,4,0,0,18,4
18,ETH30D_018,LONG,2026-08-13 07:30,2026-08-13 15:30,0.2731485366821289,0.2731485366821289,0.0,1,0,0,23,4
19,ETH30D_019,SHORT,2026-08-14 06:30,2026-08-14 14:30,0.3667784035205841,0.9203401803970336,0.5535617768764495,35,2,30,19,4
20,ETH30D_020,LONG,2026-08-16 00:00,2026-08-16 08:00,0.2870043516159057,0.2870043516159057,0.0,1,0,0,21,4
21,ETH30D_021,LONG,2026-08-16 16:30,2026-08-17 00:30,0.2556270062923431,0.5425562858581543,0.2869292795658112,19,1,15,21,4
22,ETH30D_022,SHORT,2026-08-16 22:00,2026-08-17 06:00,0.276500940322876,0.276500940322876,0.0,1,0,0,19,4
23,ETH30D_023,LONG,2026-08-17 01:30,2026-08-17 09:30,0.2741339206695556,0.9133248329162598,0.6391909122467041,35,6,90,23,4
24,ETH30D_024,LONG,2026-08-17 10:45,2026-08-17 18:45,0.3539064824581146,0.5635521411895752,0.20964565873146057,15,1,15,20,4
25,ETH30D_025,LONG,2026-08-17 23:30,2026-08-18 07:30,0.490182101726532,0.490182101726532,0.0,11,0,0,19,4
26,ETH30D_026,SHORT,2026-08-18 15:15,2026-08-18 23:15,0.3078018128871918,0.3078018128871918,0.0,3,0,0,22,5
27,ETH30D_027,LONG,2026-08-19 08:45,2026-08-19 16:45,0.3971830606460571,0.7839663028717041,0.38678324222564703,12,1,15,21,4
28,ETH30D_028,LONG,2026-08-19 12:45,2026-08-19 20:45,0.365675538778305,0.9138342142105104,0.5481586754322054,80,12,180,23,4
29,ETH30D_029,LONG,2026-08-19 21:15,2026-08-20 05:15,0.6291767358779907,0.6513599157333374,0.02218317985534668,41,2,30,23,4
30,ETH30D_030,LONG,2026-08-21 08:45,2026-08-21 16:45,0.646161675453186,0.646161675453186,0.0,8,0,0,23,4
31,ETH30D_031,LONG,2026-08-21 21:45,2026-08-22 05:45,0.8545548915863037,0.8750864863395691,0.02053159475326538,61,2,30,19,4
32,ETH30D_032,LONG,2026-08-22 06:15,2026-08-22 14:15,0.3245846629142761,0.3245846629142761,0.0,2,0,0,25,6
33,ETH30D_033,SHORT,2026-08-23 05:00,2026-08-23 13:00,0.2969611883163452,0.961488664150238,0.6645274758338928,43,1,15,25,4
34,ETH30D_034,LONG,2026-08-23 13:30,2026-08-23 21:30,0.3097401559352875,0.9385806918144226,0.6288405358791351,40,1,15,25,4
35,ETH30D_035,LONG,2026-08-23 21:30,2026-08-24 05:30,0.6742486357688904,0.6742486357688904,0.0,9,0,0,23,4
36,ETH30D_036,LONG,2026-08-24 10:30,2026-08-24 18:30,0.5777601599693298,0.9436683654785156,0.3659082055091858,39,6,90,22,4
37,ETH30D_037,LONG,2026-08-25 02:45,2026-08-25 10:45,0.9093719720840454,0.9093719720840454,0.0,8,0,0,18,4
38,ETH30D_038,SHORT,2026-08-25 13:45,2026-08-25 21:45,0.5054307579994202,0.5054307579994202,0.0,5,0,0,18,4
39,ETH30D_039,SHORT,2026-08-25 21:00,2026-08-26 05:00,0.7666659355163574,0.920728087425232,0.15406215190887462,24,1,15,23,4
40,ETH30D_040,LONG,2026-08-26 21:30,2026-08-27 05:30,0.9820557236671448,0.9820557236671448,0.0,41,0,0,23,4
41,ETH30D_041,LONG,2026-08-27 08:30,2026-08-27 16:30,0.7896889448165894,0.7896889448165894,0.0,35,0,0,25,4
