threshold,candidate_boxes,episodes,long_episodes,short_episodes,detection_days,episodes_dropped_vs_025,same_time_as_025,median_extra_delay_bars,p90_extra_delay_bars,max_extra_delay_bars,median_extra_delay_minutes,p90_extra_delay_minutes
0.25,1057,41,27,14,24,0,41,0.0,0.0,0,0.0,0.0
0.3,953,38,25,13,24,3,34,0.0,0.30000000000000426,6,0.0,4.500000000000064
0.35,853,34,23,11,22,7,29,0.0,1.0,6,0.0,15.0
0.4,763,34,23,11,22,7,24,0.0,1.0,6,0.0,15.0
0.5,616,31,20,11,21,10,18,0.0,1.0,6,0.0,15.0
0.6,484,28,18,10,20,13,15,0.0,2.6000000000000014,6,0.0,39.00000000000002
0.75,276,22,13,9,18,19,8,1.0,3.900000000000002,6,15.0,58.50000000000003
0.8,207,20,11,9,17,21,6,1.0,6.0,11,15.0,90.0
0.9,81,18,9,9,15,23,4,1.5,6.300000000000001,12,22.5,94.50000000000001
0.95,18,8,2,6,8,33,2,1.0,7.8999999999999995,10,15.0,118.49999999999999
