score_type,confidence_bin,episodes,share
earliest_visible,0.25-<0.35,12,0.2926829268292683
earliest_visible,0.35-<0.50,11,0.2682926829268293
earliest_visible,0.50-<0.75,10,0.24390243902439024
earliest_visible,0.75-<0.90,4,0.0975609756097561
earliest_visible,0.90-1.00,4,0.0975609756097561
episode_max,0.25-<0.35,7,0.17073170731707318
episode_max,0.35-<0.50,3,0.07317073170731707
episode_max,0.50-<0.75,9,0.21951219512195122
episode_max,0.75-<0.90,4,0.0975609756097561
episode_max,0.90-1.00,18,0.43902439024390244
