arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1523,closed,,ARBUSDT,ARB,4h,2024-09-13 20:00:00+00:00
v9_long,1557,closed,,ARBUSDT,ARB,4h,2024-09-19 12:00:00+00:00
v9_long,1570,skipped_in_position,binance_um:ARBUSDT:4h:v9_long:1557,ARBUSDT,ARB,4h,2024-09-21 16:00:00+00:00
v9_long,1848,closed,,ARBUSDT,ARB,4h,2024-11-07 00:00:00+00:00
v9_long,2941,closed,,ARBUSDT,ARB,4h,2025-05-08 04:00:00+00:00
v9_long,3738,closed,,ARBUSDT,ARB,4h,2025-09-18 00:00:00+00:00
v9_long,4377,closed,,ARBUSDT,ARB,4h,2026-01-02 12:00:00+00:00
v9_long,4447,closed,,ARBUSDT,ARB,4h,2026-01-14 04:00:00+00:00
v10_4,2941,closed,,ARBUSDT,ARB,4h,2025-05-08 04:00:00+00:00
box_chart,2941,closed,,ARBUSDT,ARB,4h,2025-05-08 04:00:00+00:00
box_any,2941,closed,,ARBUSDT,ARB,4h,2025-05-08 04:00:00+00:00
