timeframe_min,arm,policy,kind,bucket,period,earlier_closed,later_closed,taken,closed,censored,weeks,symbols,win_rate,mean_net_bp,mean_net_r,wins,sum_net_r,mean_gross_bp,median_net_bp,ge5r,ge10r,pf_r,ge5r_rate,win_rate_low,win_rate_high,mean_net_bp_low,mean_net_bp_high,mean_net_r_low,mean_net_r_high,matched,paired_target_mean_net_bp,random_mean_net_bp,random_win_rate,mean_excess_bp,random_coverage,paired_weeks,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,holm_p_48_slots
15,joint,baseline,overall,0,all,1323,1411,2789,2736,53,10,511,0.2737573099415205,-4.975603852947959,0.02418725193242265,749.0,66.17632128710837,15.024396147052045,-142.34561147434198,89.0,38.0,1.0319400867849045,0.03252923976608187,0.20417806548755144,0.33973612074392223,-60.857532322053736,52.06315454319853,-0.3426444293645641,0.45794664578176747,2418,1.1041379856440696,10.049848304188908,0.2990074441687345,-8.94571031854483,0.8837719298245614,,,,,,
15,joint,baseline,overall,0,earlier,1323,1411,1323,1323,0,5,486,0.29327286470143615,34.26926315963701,0.2654098648838838,388.0,351.13725124137824,54.26926315963702,-121.933216168717,60.0,28.0,1.3568610431531527,0.045351473922902494,0.2224352828379674,0.3449931412894376,-27.395394567617807,113.76072481155535,-0.23917638653394857,0.9844134805189372,1164,46.01179370380525,35.260373389017396,0.3006872852233677,10.751420314787858,0.8798185941043084,,,,,,
15,joint,baseline,overall,0,later,1323,1411,1464,1411,53,5,491,0.25584691708008506,-40.58221492002653,-0.20115545069680602,361.0,-283.83034093319327,-20.582214920026516,-155.22079019649098,29.0,10.0,0.7388379739794989,0.020552799433026223,0.15815085158150852,0.3911300550248531,-107.02512390569323,49.85051510405895,-0.5899233516171398,0.34140348742970394,1247,-39.03919785870198,-12.106347270917087,0.2983159582999198,-26.932850587784902,0.8837703756201276,,,,,,
15,joint,baseline,overall,0,cross,1323,1411,2,2,0,1,2,0.0,-844.9910248539825,-0.5652945105382968,0.0,-1.1305890210765936,-824.9910248539824,-844.9910248539825,0.0,0.0,0.0,0.0,,,,,,,0,,,,,0.0,,,,,,
15,joint,baseline,4h,0,all,177,140,323,318,5,10,237,0.279874213836478,-27.749408085205648,-0.14725672597885558,89.0,-46.82763886127608,-7.749408085205641,-143.38151095624949,5.0,3.0,0.8054167672698994,0.015723270440251572,0.2117236811872356,0.35241189759036146,-87.18430979489436,36.988937224280455,-0.513745697454387,0.4591681831740428,55,-71.41631282323135,-80.6662715181897,0.2727272727272727,9.249958694958371,0.17295597484276728,9.0,0.41796875,-55.22577939957487,77.21656823154886,0.001953125,1.0
15,joint,baseline,4h,0,earlier,177,140,177,177,0,5,148,0.3050847457627119,-8.753054445838648,0.07503935779866004,54.0,13.281966330362827,11.246945554161348,-116.300050684237,4.0,3.0,1.1030875120345862,0.022598870056497175,0.22758620689655173,0.4117647058823529,-71.25439439742239,90.42240993195715,-0.4417032589704116,1.2452828143172001,30,-22.22959232064642,-73.15849341438285,0.3,50.92890109373639,0.1694915254237288,,,,,,
15,joint,baseline,4h,0,later,177,140,145,140,5,5,126,0.25,-43.38858351637832,-0.424784738296954,35.0,-59.46986336157356,-23.388583516378304,-166.133129105396,1.0,0.0,0.46507727445845737,0.007142857142857143,0.15142045454545455,0.35,-149.05683527011288,60.057795713246385,-0.7451667639184555,-0.09538255217559355,24,-85.84958307372254,-61.36445218903625,0.25,-24.485130884686285,0.17142857142857143,,,,,,
15,joint,baseline,4h,0,cross,177,140,1,1,0,1,1,0.0,-1200.61944188899,-0.6397418300653591,0.0,-0.6397418300653591,-1180.61944188899,-1200.61944188899,0.0,0.0,0.0,0.0,,,,,,,0,,,,,0.0,,,,,,
15,joint,baseline,4h,4,all,109,108,231,217,14,10,178,0.3087557603686636,-4.17913851281702,0.022245342562432796,67.0,4.827239336047917,15.820861487182997,-135.207373271889,7.0,2.0,1.0301123186120025,0.03225806451612903,0.2374070235337154,0.38710020590253946,-54.41703628888013,48.58079867128732,-0.2575647992067224,0.28014062388152877,45,78.32012720803047,-66.15294430889853,0.3111111111111111,144.473071516929,0.2073732718894009,10.0,0.1328125,-38.40836093393723,474.9397846454389,0.0009765625,1.0
15,joint,baseline,4h,4,earlier,109,108,109,109,0,5,97,0.25688073394495414,4.4140178365625795,0.004767619112018718,28.0,0.5196704832100403,24.414017836562614,-133.81272633212498,5.0,2.0,1.005955681611778,0.045871559633027525,0.24603174603174602,0.2857142857142857,-73.88114861776482,85.3382049142288,-0.446888596724473,0.3503171234653556,19,176.3925173835415,-59.86697370934357,0.42105263157894735,236.25949109288513,0.1743119266055046,,,,,,
