side,period,arm,closed,win_rate_pct,total_net_r,mean_net_r,mean_original_r,mean_gross_bp,mean_net_bp,total_net_bp,pf_r,median_risk_pct,median_position_multiplier,widened_pct,realized_gt5r,realized_gt10r,matched,coverage_pct,paired_actual_r,random_r,excess_r,random_bp,paired_actual_bp,excess_bp,cross_split_closed
long,full,baseline,1292,31.424148606811148,-9.613650166799275,-0.007440905701857024,-0.007440905701857024,12.181795459257957,-7.818204540742057,-10101.120266638736,0.9893125690989448,2.174078437951755,1.0,0.0,38,9,1292,100.0,-0.007440905701857024,-0.03724360771855056,0.02980270201669351,4.376835080601958,-7.818204540742057,-12.195039621344003,0
long,full,sma120,1276,31.426332288401255,-30.168841525133672,-0.023643292731295982,-0.0028804773479264153,12.512817453057652,-7.48718254694236,-9553.64492989845,0.9648939026782432,2.47705587632348,1.0,42.31974921630094,26,6,1276,100.0,-0.023643292731295982,-0.03449141942715133,0.01084812669585537,17.510818265896287,-7.48718254694236,-24.998000812838633,0
long,full,htf_sma60,1266,31.911532385466035,2.611530575908013,0.002062820360116914,0.02047323753349517,15.090352149464088,-4.909647850535917,-6215.61417877847,1.003166384308414,2.5542405152555,1.0,42.25908372827804,27,5,1266,100.0,0.002062820360116914,-0.004435687411217029,0.006498507771333952,7.485487306667422,-4.909647850535917,-12.395135157203343,1
long,full,both,1263,32.066508313539195,10.94728825627135,0.008667686663714449,0.029498526469544206,14.9967746188082,-5.003225381191808,-6319.073656445254,1.0134329850985466,2.61849034523111,0.949671772428882,53.285827395091054,25,6,1263,100.0,0.008667686663714449,-0.005078194786990085,0.013745881450704524,8.68169941711302,-5.003225381191808,-13.68492479830483,1
long,earlier,baseline,785,32.35668789808917,19.800081622403134,0.02522303391388934,0.02522303391388934,13.20446509846063,-6.7955349015393836,-5334.494897708416,1.0368958393828858,2.2123552123552,1.0,0.0,21,7,785,100.0,0.02522303391388934,0.0686490589954211,-0.0434260250815318,16.829605949501612,-6.7955349015393836,-23.625140851041,0
long,earlier,sma120,774,32.55813953488372,5.019257616986103,0.006484828962514345,0.04789147153206025,16.50710024863546,-3.492899751364552,-2703.504407556163,1.0097767514497793,2.4973260916401103,1.0,41.60206718346253,14,5,772,99.74160206718346,-0.0008022787423929836,0.011863013137825597,-0.01266529188021859,28.64514690803766,-5.007350187946856,-33.652497095984515,0
long,earlier,htf_sma60,764,33.50785340314136,34.79063802737375,0.045537484329023235,0.061325929574050767,20.16496944976935,0.16496944976934044,126.03665962377607,1.0721809820022739,2.61486942523819,1.0,42.67015706806283,15,4,762,99.73821989528795,0.038607590411360866,0.03932843852251675,-0.0007208481111559055,19.504006242180186,-1.3597549578937433,-20.863761200073924,1
long,earlier,both,763,33.551769331585845,37.767351618366334,0.049498494912668854,0.08298891146627785,22.30049040962726,2.300490409627243,1755.2741825455864,1.078900229799893,2.6593075765178003,0.9541029207232344,53.21100917431193,14,5,761,99.73787680209699,0.0425699047101834,0.03616513266275421,0.006404772047429155,19.837718678080375,0.7793748291810473,-19.058343848899323,1
long,later,baseline,507,29.980276134122285,-29.413731789202423,-0.05801525007732233,-0.05801525007732233,10.598372053391893,-9.401627946608114,-4766.625368930313,0.9189437635294806,2.1155830753354,1.0,0.0,17,2,507,100.0,-0.05801525007732233,-0.20119970904097215,0.14318445896364992,-14.904082339686477,-9.401627946608114,5.502454393078362,0
long,later,sma120,502,29.681274900398407,-35.18809914211975,-0.07009581502414293,-0.0811623268162724,6.354301748322158,-13.645698251677846,-6850.140522342278,0.8982928895449517,2.4083943250737696,1.0,43.42629482071713,12,1,502,100.0,-0.07009581502414293,-0.10853811028603949,0.03844229526189656,-0.3832378727686181,-13.645698251677846,-13.262460378909221,0
long,later,htf_sma60,501,29.540918163672654,-32.03344891488037,-0.06393901979018038,-0.041202743321355685,7.406066737812308,-12.593933262187692,-6309.560564356034,0.906507167197892,2.45464247598719,1.0,41.51696606786427,12,1,501,100.0,-0.06393901979018038,-0.07255343210899835,0.00861441231881799,-12.274037257871973,-12.593933262187692,-0.3198960043157279,1
long,later,both,499,29.859719438877757,-26.674404825509612,-0.053455721093205635,-0.05164846381676336,3.883251372856461,-16.116748627143544,-8042.257564944628,0.9206444388128696,2.54464285714287,0.944363103953147,53.3066132264529,11,1,499,100.0,-0.053455721093205635,-0.06954077162760337,0.01608505053439773,-9.81038955931651,-16.116748627143544,-6.306359067827041,1
short,full,baseline,1408,33.94886363636363,254.6198962610501,0.1808379945035867,0.1808379945035867,49.04814726172968,29.04814726172967,40899.791344515375,1.26634521133591,2.1171762892258648,1.0,0.0,62,14,1404,99.7159090909091,0.1839973641259147,-0.05300456217484111,0.23700192630075584,-13.075888418981817,30.168661531982508,43.24454995096434,1
short,full,sma120,1382,35.45586107091172,198.8857307047778,0.14391152728276252,0.19793332005713968,55.162767335562584,35.16276733556256,48594.944457747464,1.2259064454350546,2.4863017745028153,1.0,47.03328509406657,41,7,1376,99.56584659913169,0.14854931982851413,-0.08282796499067388,0.231377284819188,-29.472532581856257,36.580925604584884,66.05345818644113,1
short,full,htf_sma60,1372,34.839650145772595,224.1190363742999,0.16335206732820692,0.2183070829191604,52.20804096541712,32.20804096541711,44189.43220455228,1.2611196366151987,2.6343997334658953,1.0,49.052478134110785,45,8,1366,99.56268221574344,0.16816113851252049,-0.05057469736876589,0.2187358358812864,-37.331388751279036,33.62360276626178,70.95499151754085,1
short,full,both,1363,35.730007336757154,233.57677293937664,0.17136960597166298,0.24817410947833282,59.18650679920966,39.186506799209646,53411.20876732274,1.28214439855985,2.72586872586873,0.8981132075471769,59.06089508437271,38,7,1357,99.55979457079971,0.17619374083908204,-0.05762374234539336,0.2338174831844754,-40.3508205110069,40.64231241082098,80.9931329218279,1
short,earlier,baseline,798,33.583959899749374,122.35170621416265,0.1533229401179983,0.1533229401179983,35.32659224079565,15.32659224079563,12230.620608154913,1.2263020149986967,2.204815049041755,1.0,0.0,30,11,798,100.0,0.1533229401179983,1.0800844716465563e-05,0.15331213927328183,-2.3160247206823823,15.32659224079563,17.64261696147803,1
short,earlier,sma120,788,34.390862944162436,80.82821842255312,0.10257388124689483,0.14779003635032853,36.51133922794249,16.511339227942486,13010.93531161868,1.1612713829138692,2.608813503392635,1.0,48.223350253807105,19,4,788,100.0,0.10257388124689483,-0.0582357984462004,0.16080967969309523,-24.321086619338203,16.511339227942486,40.83242584728069,1
short,earlier,htf_sma60,785,32.738853503184714,66.08443432333516,0.08418399276857982,0.1054670422983456,26.28919189690732,6.289191896907306,4937.015639072235,1.1316915731915373,2.75934152077347,1.0,48.789808917197455,21,5,785,100.0,0.08418399276857982,-0.03573874114646478,0.11992273391504461,-35.00930535424434,6.289191896907306,41.298497251151645,1
short,earlier,both,780,33.589743589743584,72.79867257514162,0.09333163150659182,0.13793758100301193,34.21217747224446,14.212177472244456,11085.498428350675,1.1505088275590984,2.860186213591815,0.8973324658425519,59.23076923076923,16,4,780,100.0,0.09333163150659182,-0.051622810452252796,0.14495444195884463,-36.85945065582296,14.212177472244456,51.0716281280674,1
short,later,baseline,609,34.48275862068966,132.91672129688746,0.2182540579587643,0.2182540579587643,67.21204098362377,47.21204098362375,28752.132959026865,1.320534791664911,1.99244245963585,1.0,0.0,32,3,605,99.3431855500821,0.22583326325392,-0.12106588794280737,0.3468991511967275,-27.07531789798258,49.93246678580981,77.00778468379238,1
short,later,sma120,593,36.930860033726816,118.70604353222467,0.20017882551808544,0.26599296951923806,80.14666335378618,60.146663353786174,35666.9713687952,1.3135829852327028,2.30897405379672,1.0,45.531197301854974,22,3,587,98.98819561551433,0.21162551432961219,-0.11396815756286058,0.3255936718924728,-36.21702945780108,63.7263723048663,99.94340176266739,1
short,later,htf_sma60,586,37.71331058020478,158.4298972890599,0.27035818650010224,0.37094576930185463,87.12521977499397,67.12521977499394,39335.378788146445,1.4449119076471926,2.4811997638434597,1.0,49.31740614334471,24,3,580,98.97610921501706,0.28279133814286733,-0.06890389933375335,0.3516952374766207,-39.98053894540773,70.8203240729444,110.80086301835215,1
short,later,both,582,38.659793814432994,161.17339560233023,0.27693023299369457,0.39745451767460205,92.86713498563313,72.86713498563311,42408.67256163847,1.4688223907712066,2.573041047941775,0.9010403007255876,58.76288659793815,22,3,576,98.96907216494846,0.28939501559303454,-0.06399958857249867,0.3533946041655332,-44.586861421988864,76.64771134687464,121.23457276886352,1
all,full,baseline,2700,32.74074074074074,245.00624609425083,0.09074305410898179,0.09074305410898179,31.4069152140284,11.406915214028391,30798.671077876657,1.132042846401503,2.1490058791339797,1.0,0.0,100,23,2696,99.85185185185185,0.09225469179005377,-0.04545146382264253,0.1377061556126963,-4.712046148409773,11.964273191492849,16.676319339902623,1
all,full,sma120,2658,33.521444695259596,168.71688917964417,0.06347512760708961,0.10153060918849245,34.6882240511095,14.688224051109492,39041.29952784903,1.0969775696695114,2.4824106442328047,1.0,44.770504138449965,67,13,2652,99.77426636568849,0.06569948060290416,-0.0595710147119956,0.12527049531489975,-6.866666940177433,15.377718213427734,22.244385153605165,1
all,full,htf_sma60,2638,33.434420015163,226.73056695020784,0.08594790255883543,0.12336483566432638,34.394927227359304,14.39492722735929,37973.818025773806,1.1347126912622714,2.58914449320427,1.0,45.79226686884003,72,13,2632,99.77255496588324,0.08826734262310448,-0.028381693339033034,0.1166490359621375,-15.774335145899013,15.088992097239792,30.863327243138805,2
all,full,both,2626,33.96801218583397,244.52406119564802,0.09311655034106932,0.1429999810167563,37.93302936438596,17.93302936438595,47092.1351108775,1.1488442560472996,2.6718552608879698,0.9260064412238326,56.28332063975628,63,13,2620,99.77151561309977,0.09543595212782659,-0.03229357953384247,0.1277295316616691,-16.714151553291078,18.638375681312525,35.352527234603606,2
all,earlier,baseline,1583,32.975363234365126,142.15178783656575,0.08979898157711039,0.08979898157711039,24.356364946586556,4.356364946586545,6896.125710446501,1.1319513161919106,2.20578860130053,1.0,0.0,51,18,1583,100.0,0.08979898157711039,0.03404809247346135,0.05575088910364906,7.178176211784092,4.356364946586545,-2.821811265197549,1
all,earlier,sma120,1562,33.48271446862996,85.8474760395392,0.054959971856299104,0.09828844277200612,26.598867416173196,6.598867416173182,10307.43090406251,1.084613734964917,2.5437379682148,1.0,44.94238156209987,33,9,1560,99.8719590268886,0.05141593540604214,-0.023545873739233676,0.07496180914527582,1.890408433952925,5.862346773412628,3.9719383394596997,1
all,earlier,htf_sma60,1549,33.11814073595868,100.87507235070895,0.0651227064885145,0.08369569941818988,23.268594124400284,3.268594124400267,5063.052298696013,1.102535749105517,2.69016697588126,1.0,45.77146546158812,36,9,1547,99.87088444157521,0.061734594839555366,0.0012368185870607008,0.060497776252494646,-8.157887489683587,2.5215787725644554,10.679466262248035,2
all,earlier,both,1543,33.570965651328585,110.56602419350799,0.07165652896533246,0.11076594467344089,28.321952437392277,8.321952437392264,12840.772610896265,1.1148909798249353,2.77777777777777,0.9291845493562204,56.25405055087492,30,9,1541,99.8703823720026,0.06826370542478338,-0.008270036467489425,0.07653374189227283,-8.860394287814882,7.578587069018463,16.43898135683335,2
all,later,baseline,1116,32.437275985663085,103.50298950768507,0.0927446142541981,0.0927446142541981,41.49239031370659,21.492390313706593,23985.507590096557,1.1331138625910933,2.01640343880542,1.0,0.0,49,5,1112,99.6415770609319,0.09641671985559282,-0.15760172184278004,0.25401844169837284,-21.526022549011245,22.879961363745164,44.40598391275641,1
all,later,sma120,1095,33.60730593607306,83.51794439010494,0.07627209533342917,0.10684049576542413,46.31674049904376,26.316740499043753,28816.83084645291,1.1152731205653148,2.34170740025007,1.0,44.5662100456621,34,4,1089,99.45205479452055,0.08175948371842294,-0.11146505037005598,0.19322453408847898,-19.698605788667667,28.059908191564958,47.75851398023262,1
all,later,htf_sma60,1087,33.94664213431462,126.39644837417956,0.11628008130099315,0.18098587525932627,50.382537464388605,30.38253746438861,33025.81822379042,1.1808964315804356,2.47753278004222,1.0,45.722171113155476,36,4,1081,99.44802207911684,0.12209576985012276,-0.07059531091598995,0.19269108076611266,-27.13969033721585,32.161172431037684,59.300862768253516,2
