arm,profitable_r_and_bp,delta_lower_positive,random_lower_positive,delta_p_pass,random_p_pass,coverage_pass,passed
sma120,False,False,False,False,False,True,False
htf_sma60,False,False,False,False,False,True,False
both,False,False,False,False,False,True,False
