side,period,arm,fixed_comparable,rescued_loss,harmed_winner,fixed_mean_delta_r,fixed_mean_delta_original_r,fixed_mean_delta_bp,serial_common_closed,serial_new_closed,serial_lost_closed
long,full,sma120,1292,24,21,-0.0037657183957371084,0.02131940537915121,2.91688517366145,1276,0,16
long,full,htf_sma60,1292,33,24,0.02057177318129165,0.04623829866977232,6.486636289162732,1266,0,26
long,full,both,1292,40,28,0.027478946069081894,0.05812159722095582,6.5471517487195,1263,0,29
long,earlier,sma120,785,18,13,0.005109693011824309,0.05359344632417529,8.366379553566107,774,0,11
long,earlier,htf_sma60,784,23,12,0.03482018854766574,0.06131901257429891,11.482725537297346,764,0,21
long,earlier,both,784,27,15,0.03929071447786123,0.08649576768500047,13.72490541282189,763,0,22
long,later,sma120,507,6,8,-0.017507726196399252,-0.028651249732966944,-5.52069488200947,502,0,5
long,later,htf_sma60,507,10,12,-0.003463903964823518,0.021253515030880615,-1.4197007727721436,501,0,6
long,later,both,507,13,13,0.007224804204312045,0.012603901069024686,-4.7326850896634625,499,0,8
short,full,sma120,1408,36,15,-0.03515024225519776,0.01919470372978826,5.576002956479874,1382,0,26
short,full,htf_sma60,1408,41,31,-0.025854811909784017,0.028105041476897175,1.1120549395694463,1372,0,36
short,full,both,1408,55,32,-0.01668179214906875,0.0591372011589484,8.208752365155814,1363,0,45
short,earlier,sma120,798,20,14,-0.04827396263274819,-0.003437561299757296,0.8200398242654774,788,0,10
short,earlier,htf_sma60,798,15,25,-0.08294244748394483,-0.06680518017695533,-12.593956531682636,785,0,13
short,earlier,both,798,23,26,-0.0699816873268718,-0.029815487387195038,-4.358388504905245,780,0,18
short,later,sma120,609,16,1,-0.018011361107365172,0.0488822935447425,11.817110645254205,593,0,16
short,later,htf_sma60,609,26,6,0.0484913988691418,0.15251630899947713,19.073482212145358,586,0,23
short,later,both,609,32,6,0.05271623502307085,0.17579300191589656,24.68951946971063,582,0,27
all,full,sma120,2700,60,36,-0.02013216639355955,0.02021141281533527,4.303565854479355,2658,0,42
all,full,htf_sma60,2700,74,55,-0.003638831192128541,0.03678214084474706,3.6838916446340857,2638,0,62
all,full,both,2700,95,60,0.00444993887976482,0.05865121586713862,7.413645699809251,2626,0,74
all,earlier,sma120,1583,38,27,-0.021801334912603266,0.02484376591741711,4.562223455030478,1562,0,21
all,earlier,htf_sma60,1582,38,37,-0.024582203078898884,-0.003310005008192158,-0.662149488648307,1549,0,34
all,earlier,both,1582,50,41,-0.015828992627181085,0.027825488577786807,4.60324387910112,1543,0,40
all,later,sma120,1116,22,9,-0.017782559225770437,0.013658721464277726,3.940526951416677,1095,0,21
all,later,htf_sma60,1116,36,18,0.024888048925754327,0.09288348055675452,9.763407146416707,1087,0,29
all,later,both,1116,45,19,0.03204942908659172,0.1016560179290112,11.322980301607885,1081,0,35
