segment,n_events,n_long,n_short,mean_gross_bp,mean_net_bp,control_net_bp,paired_excess_bp,win_rate,stop_rate,profit_factor,mean_terminal_r,median_mfe_r,hit_1r_rate,hit_2r_rate,hit_3r_rate,hit_5r_rate,robust_score,worst_fold_excess_bp,positive_folds,fold_count,min_fold_n,paired_signflip_p,paired_excess_ci95_low_bp,paired_excess_ci95_high_bp,quality_auc_net_positive,quality_top_decile_n,quality_top_decile_gross_bp,quality_top_decile_net_bp,quality_top_decile_control_net_bp,quality_top_decile_permutation_p,single_feature,single_feature_top_decile_n,single_feature_top_decile_gross_bp,single_feature_top_decile_net_bp,single_feature_top_decile_permutation_p,profile
historical,5688,3031,2657,2.1543304641739285,-17.845669535826087,-16.038455326989418,-1.8072142088366585,0.17721518987341772,0.8066104078762306,0.8165020722204053,0.05877277779764744,1.0000000000000369,0.4808368495077356,0.3194444444444444,0.2310126582278481,0.12974683544303797,-13.457529852204631,-29.1411849018962,2,7,370,0.6613338666133387,-11.257474911912595,7.504505748344389,0.5046987349070682,569.0,-13.467823834061416,-33.46782383406141,-20.766871984744828,0.9282071792820717,k2_wick_share,569.0,21.792982306140317,1.7929823061403183,0.04229577042295771,single_sma40_core_2_8
historical,14,10,4,-134.18117264687288,-154.1811726468729,-42.367094391876904,-111.81407825499595,0.07142857142857142,0.9285714285714286,0.037384821846686775,-0.8814676616915417,0.8373055279708741,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.07142857142857142,-159.08745356512213,-442.8408170331227,2,6,1,0.9839016098390161,-239.01172387565032,-22.441723484138404,0.15384615384615385,2.0,-170.47225873011052,-190.47225873011052,-19.240944493815924,0.6872312768723128,k2_wick_share,2.0,-120.6628428094042,-140.6628428094042,0.43425657434256576,owner_anchor_morphology_3_6
historical,2,2,0,-251.63812798483121,-271.6381279848312,-253.87598770709099,-17.762140277740226,0.0,1.0,0.0,-1.0,0.7551976025472971,0.0,0.0,0.0,0.0,-22.005411863855194,-26.24868344997016,0,2,1,1.0,-26.24868344997016,-9.275597105510291,,0.0,,,,,k2_wick_share,0.0,,,,owner_anchor_state_3_6
historical,4,3,1,34.80336461410549,14.803364614105474,-170.93591811906606,185.73928273317154,0.5,0.5,1.1089932751629927,1.136749482401651,2.0125858123569946,0.5,0.5,0.5,0.25,163.17323556750745,140.6071884018434,2,2,2,0.24397560243975602,-17.762140277740226,389.2407057440833,0.5,0.0,,,,,k2_wick_share,0.0,,,,owner_anchor_state_2_8
historical,998,571,427,-11.509769643912925,-31.509769643912936,-25.57996156092286,-5.92980808299007,0.1933867735470942,0.7885771543086172,0.6965351820628797,-0.03225379397707681,1.0417743324720024,0.48997995991983967,0.3306613226452906,0.22845691382765532,0.11723446893787576,-21.78174072889368,-21.687624084187288,2,7,51,0.7350264973502649,-22.810417626851656,13.410980878704178,0.46443536188974355,100.0,-44.14330451550058,-64.14330451550057,-34.27221112691689,0.9245075492450755,k2_wick_share,100.0,16.48747322761497,-3.5125267723850317,0.1250874912508749,sma40_anchor_score_70
historical,87,57,30,-6.677351376996826,-26.67735137699684,-34.12165682969313,7.444305452696298,0.2413793103448276,0.7241379310344828,0.7389135117868776,-0.1041829589863442,0.8888888888888717,0.4482758620689655,0.28735632183908044,0.19540229885057472,0.09195402298850575,-46.8368002488932,-86.65391213417851,3,7,5,0.40755924407559246,-50.11631241440595,67.6738480317756,0.5194805194805194,9.0,-97.58259180876804,-117.58259180876804,-80.48699325731853,0.9069093090690931,k2_wick_share,9.0,112.02761721240017,92.02761721240017,0.0731926807319268,sma40_anchor_score_80
historical,2,1,1,-230.0513738903237,-250.05137389032373,-119.28948480123492,-130.7618890890888,0.0,1.0,0.0,-1.0,0.6066096692995443,0.0,0.0,0.0,0.0,-130.7618890890888,-130.7618890890888,0,1,2,1.0,-235.27509472820748,-26.24868344997016,,0.0,,,,,k2_wick_share,0.0,,,,sma40_anchor_score_90
fresh_preholdout,335,170,165,-0.5771699100412307,-20.577169910041246,-13.785307113556499,-6.791862796484738,0.18507462686567164,0.8,0.7556729136967968,0.1334732175641338,0.9322033898304996,0.47761194029850745,0.33432835820895523,0.23582089552238805,0.1373134328358209,-6.791862796484738,-6.791862796484738,0,1,335,0.6759324067593241,-36.38980007898687,23.636241777802077,0.4561030367481981,34.0,-47.502525969305616,-67.50252596930561,-14.103009816643798,0.9233076692330767,k2_wick_share,34.0,-8.087542883414747,-28.08754288341475,0.5611438856114389,single_sma40_core_2_8
fresh_preholdout,2,2,0,-91.86694531521988,-111.86694531521988,275.1251536375708,-386.99209895279074,0.0,1.0,0.0,-1.0,0.0708333333333427,0.0,0.0,0.0,0.0,-386.99209895279074,-386.99209895279074,0,1,2,1.0,-541.0630955528425,-232.9211023527389,,0.0,,,,,k2_wick_share,0.0,,,,owner_anchor_morphology_3_6
fresh_preholdout,0,0,0,,,,,,,,,,,,,,-inf,-inf,0,0,0,,,,,,,,,,,,,,,owner_anchor_state_3_6
fresh_preholdout,0,0,0,,,,,,,,,,,,,,-inf,-inf,0,0,0,,,,,,,,,,,,,,,owner_anchor_state_2_8
