profile,segment,fold,n,net_bp,control_net_bp,paired_excess_bp
single_sma40_core_2_8,historical,2023H1,647,-20.172879263783308,-16.46091796278536,-3.711961300997947
single_sma40_core_2_8,historical,2023H2,757,-22.99336957876276,-18.743754367926652,-4.249615210836097
single_sma40_core_2_8,historical,2024H1,822,-21.70634323402938,-16.34085281479697,-5.365490419232398
single_sma40_core_2_8,historical,2024H2,966,2.2880956501968015,-31.659601282384855,33.94769693258168
single_sma40_core_2_8,historical,2025H1,1095,-34.69447611023795,-5.553291208341739,-29.1411849018962
single_sma40_core_2_8,historical,2025H2,1031,-18.775460288837206,-11.846496108549802,-6.928964180287396
single_sma40_core_2_8,historical,2026H1,370,5.22143236161129,-11.02040731858726,16.24183968019855
owner_anchor_morphology_3_6,historical,2023H1,2,-135.45365282518594,307.3871642079368,-442.8408170331227
owner_anchor_morphology_3_6,historical,2023H2,1,-240.74508346751512,71.43064010768992,-312.17572357520504
owner_anchor_morphology_3_6,historical,2024H1,3,-158.59630241489324,-77.67042539283852,-80.9258770220547
owner_anchor_morphology_3_6,historical,2024H2,3,-179.9056015553639,-113.6117859127217,-66.29381564264217
owner_anchor_morphology_3_6,historical,2025H1,4,-132.51325370568557,-150.27277097766142,17.75951727197587
owner_anchor_morphology_3_6,historical,2025H2,1,-101.32530120481985,-104.4065721825138,3.0812709776939506
owner_anchor_state_3_6,historical,2024H2,1,-261.5766052129687,-252.30100810745836,-9.275597105510291
owner_anchor_state_3_6,historical,2025H1,1,-281.6996507566938,-255.45096730672364,-26.24868344997016
owner_anchor_state_2_8,historical,2024H2,2,-13.714797812693359,-154.32198621453674,140.6071884018434
owner_anchor_state_2_8,historical,2025H1,2,43.32152704090431,-187.54985002359538,230.87137706449968
sma40_anchor_score_70,historical,2023H1,137,-20.05357037732941,-2.200763781007799,-17.852806596321606
sma40_anchor_score_70,historical,2023H2,110,-40.99232695093974,-19.304702866752447,-21.687624084187288
sma40_anchor_score_70,historical,2024H1,133,-58.897221298523085,-45.898492474959056,-12.998728823564019
sma40_anchor_score_70,historical,2024H2,173,-28.24500995794002,-29.317962157291074,1.072952199351066
sma40_anchor_score_70,historical,2025H1,196,-24.702344012820102,-16.14119388465275,-8.561150128167338
sma40_anchor_score_70,historical,2025H2,198,-35.8401528532388,-30.668010624439294,-5.172142228799498
sma40_anchor_score_70,historical,2026H1,51,9.166114677521591,-52.771227981340175,61.93734265886178
sma40_anchor_score_80,historical,2023H1,11,-45.31703806881363,41.33687406536491,-86.65391213417851
sma40_anchor_score_80,historical,2023H2,5,66.58040967009039,-94.31331378139613,160.8937234514865
sma40_anchor_score_80,historical,2024H1,16,-53.706792347726065,-51.78887980164941,-1.91791254607665
sma40_anchor_score_80,historical,2024H2,16,-41.89982104497753,-32.82561635287795,-9.074204692099572
sma40_anchor_score_80,historical,2025H1,17,17.309488291269894,-48.35760046670122,65.66708875797113
sma40_anchor_score_80,historical,2025H2,16,-66.59300622979327,-3.222633438069597,-63.370372791723675
sma40_anchor_score_80,historical,2026H1,6,24.26473560268909,-120.708318096644,144.9730536993331
sma40_anchor_score_90,historical,2025H1,2,-250.05137389032373,-119.28948480123492,-130.7618890890888
single_sma40_core_2_8,fresh_preholdout,2026H1,335,-20.577169910041246,-13.785307113556499,-6.791862796484738
owner_anchor_morphology_3_6,fresh_preholdout,2026H1,2,-111.86694531521988,275.1251536375708,-386.99209895279074
sma40_anchor_score_70,fresh_preholdout,2026H1,72,-54.41543414052193,-4.518191224541054,-49.89724291598087
sma40_anchor_score_80,fresh_preholdout,2026H1,4,-156.65106393424222,-50.32174131078128,-106.32932262346091
