source_file,source_sha256,source_rows,hourly_rows,incomplete_hours_dropped,hourly_gap_count,first_hour,last_hour,symbol,broad_pairs,broad_k2_events
data/kline_deep/okx_AAVE_USDT_SWAP_15m_158499.csv,d469875fb530b050e70ea4703386b1611bbc43863d3b47d40d419bfdfe5182e4,151815,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,AAVE,394,343
data/kline_deep/okx_ADA_USDT_SWAP_15m_158499.csv,b92d632f46c2bee65eb8646e3a702b6a9a9bcf4cd6a0a2f1fcda6d7cd7977061,151815,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,ADA,342,311
data/kline_deep/okx_APE_USDT_SWAP_15m_151496.csv,e36774d8861572ae5cbf9e0eb0e618d48fd5938b094ddff2367b1ae1b00f50f1,144812,36203,0,0,2022-03-17T13:00:00+00:00,2026-05-03T23:00:00+00:00,APE,426,379
data/kline_deep/okx_APT_USDT_SWAP_15m_130807.csv,a3038e53b72a76a893e2143cfbc8a1bee08c0601eb0d7ac61b6a4276af25dad0,124123,31030,1,0,2022-10-19T02:00:00+00:00,2026-05-03T23:00:00+00:00,APT,346,305
data/kline_deep/okx_ARB_USDT_SWAP_15m_115876.csv,4a7fa76e28f01fa0aca060088af494cea1dffd06c102d84c6ab128819bfc019b,109192,27298,0,0,2023-03-23T14:00:00+00:00,2026-05-03T23:00:00+00:00,ARB,254,232
data/kline_deep/okx_ATOM_USDT_SWAP_15m_158499.csv,1ff5ba9bbf9df7e991ce403c90662cc6b9c4fed53ca95e01c0d8c93c2d32337e,151815,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,ATOM,397,369
data/kline_deep/okx_AVAX_USDT_SWAP_15m_158499.csv,b42a7da313b0dbba5011bf9fb507d6b9f29587d0d18f2ca90b71d2ebcac7bd9f,151815,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,AVAX,354,325
data/kline_deep/okx_BCH_USDT_SWAP_15m_158499.csv,93df91235d3463c349abd411a9c69b2203e25c9fb46993e1f185344d8bf8689a,151815,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,BCH,355,312
data/kline_deep/okx_BNB_USDT_SWAP_15m_124547.csv,0006f82cfc238644e949377235e8fd68d6545d3dd5e59f42fde2bdbfcd4b0918,117861,29465,1,0,2022-12-23T07:00:00+00:00,2026-05-03T23:00:00+00:00,BNB,355,322
data/kline_deep/okx_BTC_USDT_SWAP_15m_158499.csv,1d8ba1a07963743ca2e8d0acc21af102544dbe36125bda87793de29f5032a3b3,151813,37953,1,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,BTC,294,276
data/kline_deep/okx_CFX_USDT_SWAP_15m_158499.csv,e4957200534a5ee0394691f387c8a2fe100324f2f0af0a8dcc6b9bdb3146d995,151812,37953,0,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,CFX,449,397
data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,ff887d3536e7cda8167e657e02d2d1134b3c239a6ec3f70fc9a299566cc3d147,151812,37953,0,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,CHZ,362,337
data/kline_deep/okx_CRV_USDT_SWAP_15m_158499.csv,1323759d58a0a271a826710f970fe9c15ab10b08e28fdf346458e6b15aeff3f5,151812,37953,0,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,CRV,459,405
data/kline_deep/okx_DOGE_USDT_SWAP_15m_158499.csv,3d6958eb9606a56b20d1790f6d483a0e730381f40629765a035b8001ffd8621f,151812,37953,0,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,DOGE,309,286
data/kline_deep/okx_DOT_USDT_SWAP_15m_158499.csv,248668f0237f1265e2df5c8acf0988851917676f8cf0451454bfa58ec11887fe,151812,37953,0,0,2022-01-03T15:00:00+00:00,2026-05-03T23:00:00+00:00,DOT,331,299
data/kline_deep/okx_EIGEN_USDT_SWAP_15m_62341.csv,c9c74245b9ea18dae1b0a09fe287ea9aa05a12b09bc5de1718b032ebbbfd0961,55654,13913,1,0,2024-10-01T07:00:00+00:00,2026-05-03T23:00:00+00:00,EIGEN,123,114
data/kline_deep/okx_ENA_USDT_SWAP_15m_28642.csv,e389d8811d7ddfefdc00d5a0dc612955e7461225bb6fb64898ea4fe41cdb672c,21954,5488,1,0,2025-09-17T08:00:00+00:00,2026-05-03T23:00:00+00:00,ENA,33,29
data/kline_deep/okx_ETC_USDT_SWAP_15m_158499.csv,5e7fe833e223d185ec82a607601f15e73c354fdde7e7a7ad3b9c7564cbb14825,151811,37952,1,0,2022-01-03T16:00:00+00:00,2026-05-03T23:00:00+00:00,ETC,350,307
data/kline_deep/okx_ETH_USDT_SWAP_15m_158499.csv,f6d8c10a995ca328f2de33e3e1a2a74b06f1e621cc657ccd50a6e9b16565ebe4,151810,37952,1,0,2022-01-03T16:00:00+00:00,2026-05-03T23:00:00+00:00,ETH,276,254
