segment,gap_bars,n_pairs,net_bp,control_net_bp,paired_excess_bp
historical,1,2011,-33.003172221513125,-12.9573297523251,-20.045842469188017
historical,2,1503,-23.080114050044397,-16.38751179564787,-6.6926022543965225
historical,3,1226,-7.47736482420468,-13.817921225421,6.340556401216328
historical,4,1012,-25.045261290166597,-10.682577514495136,-14.36268377567145
historical,5,993,-13.090347374311984,-30.149687091394153,17.059339717082175
historical,6,850,-23.96679120874119,-12.17034763968407,-11.796443569057104
historical,7,910,-24.096712791824697,-19.477371855319056,-4.619340936505627
historical,8,790,-13.430564431473316,-3.293713251275271,-10.136851180198034
historical,9,764,-4.4757522219493175,-9.679864932027202,5.204112710077892
historical,10,695,3.48395678993984,-16.443029876769426,19.926986666709276
historical,11,670,-15.832205993389078,-22.175708571124204,6.343502577735134
historical,12,749,-9.109213141222448,-14.91334886655898,5.804135725336544
fresh,1,83,-30.389487367427222,-25.329604586689435,-5.0598827807377775
fresh,2,98,-13.543869044273771,-14.787499165593088,1.2436301213193273
fresh,3,74,-17.93875360466721,-28.917279003600523,10.978525398933327
fresh,4,74,-2.6686034060241424,-21.058001793897862,18.389398387873726
fresh,5,41,-2.4996946938894866,-5.789780615752177,3.2900859218626923
fresh,6,72,-33.14238528183532,-3.2791718129962897,-29.863213468839025
fresh,7,51,-10.426743354676,14.040785741649376,-24.467529096325386
fresh,8,44,-37.417232562557565,-16.740936288998803,-20.676296273558748
fresh,9,53,-41.89735758804786,-14.450697491030015,-27.446660097017862
fresh,10,50,-63.14009934770676,32.21258932896891,-95.35268867667565
fresh,11,46,-3.175099882831124,-16.242162102392008,13.067062219560887
fresh,12,35,21.35821092807982,-27.805640784022255,49.16385171210209
